quarter,complete_panel_rows,complete_panel_columns,missing_self_contained_columns,missing_columns,required_period_or_flag_blank_cells,accepted_rows_with_period_context_missing_reason,fact_end_not_target_period_count,financial_provenance_required_blank_cells,derived_qtd_missing_source_json,final_to_complete_key_mismatch_count,final_to_complete_value_mismatch_count,schema_version
2022Q2,1009,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2022Q3,1014,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2022Q4,1026,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2023Q1,975,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2023Q2,1030,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2023Q3,1031,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2023Q4,1042,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2024Q1,1014,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2024Q2,1059,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2024Q3,1064,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2024Q4,1063,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2025Q1,1006,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2025Q2,1054,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2025Q3,1068,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2025Q4,1065,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2026Q1,1019,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
2026Q2,1103,528,0,,0,0,0,0,0,0,0,fundamental_complete_panel_v2
