quarter,financial_field_checks,missing_provenance_errors,future_filed_errors,future_period_errors,wrong_accession_errors,non_consolidated_errors
2022Q2,6054,0,0,0,0,0
2022Q3,6090,0,0,0,0,0
2022Q4,6156,0,0,0,0,0
2023Q1,5850,0,0,0,0,0
2023Q2,6180,0,0,0,0,0
2023Q3,6186,0,0,0,0,0
2023Q4,6252,0,0,0,0,0
2024Q1,6084,0,0,0,0,0
2024Q2,6360,0,0,0,0,0
2024Q3,6396,0,0,0,0,0
2024Q4,6396,0,0,0,0,0
2025Q1,6036,0,0,0,0,0
2025Q2,6324,0,0,0,0,0
2025Q3,6414,0,0,0,0,0
2025Q4,6390,0,0,0,0,0
2026Q1,6114,0,0,0,0,0
2026Q2,6624,0,0,0,0,0
