removed_column,reason
ticker_mapping_missing_reason,removed because column was 100% blank after source-file enrichment
execution_date,removed because column was 100% blank after source-file enrichment
execution_price,removed because column was 100% blank after source-file enrichment
execution_price_source,removed because column was 100% blank after source-file enrichment
prior_entry_open,removed because column was 100% blank after source-file enrichment
revenue_value_missing_reason,removed because column was 100% blank after source-file enrichment
net_income_value_missing_reason,removed because column was 100% blank after source-file enrichment
assets_value_missing_reason,removed because column was 100% blank after source-file enrichment
operating_cash_flow_value_missing_reason,removed because column was 100% blank after source-file enrichment
investing_cash_flow_value_missing_reason,removed because column was 100% blank after source-file enrichment
financing_cash_flow_value_missing_reason,removed because column was 100% blank after source-file enrichment
pre_llm_fundamental_missing_fields,removed because column was 100% blank after source-file enrichment
missing_fields,removed because column was 100% blank after source-file enrichment
missing_inputs,removed because column was 100% blank after source-file enrichment
revenue_value_fact_missing_reason,removed because column was 100% blank after source-file enrichment
revenue_value_fact_dimensions,removed because column was 100% blank after source-file enrichment
revenue_value_fact_segment,removed because column was 100% blank after source-file enrichment
net_income_value_fact_missing_reason,removed because column was 100% blank after source-file enrichment
net_income_value_fact_dimensions,removed because column was 100% blank after source-file enrichment
net_income_value_fact_segment,removed because column was 100% blank after source-file enrichment
assets_value_fact_start,removed because column was 100% blank after source-file enrichment
assets_value_fact_missing_reason,removed because column was 100% blank after source-file enrichment
assets_value_fact_dimensions,removed because column was 100% blank after source-file enrichment
assets_value_fact_segment,removed because column was 100% blank after source-file enrichment
assets_value_derivation_formula,removed because column was 100% blank after source-file enrichment
assets_value_derivation_source_facts_json,removed because column was 100% blank after source-file enrichment
operating_cash_flow_value_fact_missing_reason,removed because column was 100% blank after source-file enrichment
operating_cash_flow_value_fact_dimensions,removed because column was 100% blank after source-file enrichment
operating_cash_flow_value_fact_segment,removed because column was 100% blank after source-file enrichment
investing_cash_flow_value_fact_missing_reason,removed because column was 100% blank after source-file enrichment
investing_cash_flow_value_fact_dimensions,removed because column was 100% blank after source-file enrichment
investing_cash_flow_value_fact_segment,removed because column was 100% blank after source-file enrichment
financing_cash_flow_value_fact_missing_reason,removed because column was 100% blank after source-file enrichment
financing_cash_flow_value_fact_dimensions,removed because column was 100% blank after source-file enrichment
financing_cash_flow_value_fact_segment,removed because column was 100% blank after source-file enrichment
tier_bucket,removed because column was 100% blank after source-file enrichment
hp_adjusted_raw_score,removed because column was 100% blank after source-file enrichment
hp_adjusted_entry_score,removed because column was 100% blank after source-file enrichment
hp_adjusted_entry_score_bucket,removed because column was 100% blank after source-file enrichment
llm_status_missing_reason,removed because column was 100% blank after source-file enrichment
accession,removed because column was 100% blank after source-file enrichment
exhibit_doc,removed because column was 100% blank after source-file enrichment
source_doc_type,removed because column was 100% blank after source-file enrichment
text_len,removed because column was 100% blank after source-file enrichment
text_path,removed because column was 100% blank after source-file enrichment
snippet_count,removed because column was 100% blank after source-file enrichment
quality_flags,removed because column was 100% blank after source-file enrichment
post_llm_fundamental_score_missing_reason,removed because column was 100% blank after source-file enrichment
post_llm_score_delta,removed because column was 100% blank after source-file enrichment
llm_generated_at,removed because column was 100% blank after source-file enrichment
llm_cache_key,removed because column was 100% blank after source-file enrichment
