quarter,as_of,role,status,final,gates_passed,llm_complete,llm_completed_count,llm_expected_count,top15_selected_count,shadow_selected_count
2022Q2,2022-06-30,bootstrap_prior,pass,True,True,True,397,397,15,15
2022Q3,2022-09-30,walkforward,pass,True,True,True,374,374,15,15
2022Q4,2022-12-31,walkforward,pass,True,True,True,435,435,15,15
2023Q1,2023-03-31,walkforward,pass,True,True,True,436,436,15,15
2023Q2,2023-06-30,walkforward,pass,True,True,True,352,352,15,15
2023Q3,2023-09-30,walkforward,pass,True,True,True,488,488,15,15
2023Q4,2023-12-31,walkforward,pass,True,True,True,478,478,15,15
2024Q1,2024-03-31,walkforward,pass,True,True,True,469,469,15,15
2024Q2,2024-06-30,walkforward,pass,True,True,True,392,392,15,15
2024Q3,2024-09-30,walkforward,pass,True,True,True,465,465,15,15
2024Q4,2024-12-31,walkforward,pass,True,True,True,454,454,15,15
2025Q1,2025-03-31,walkforward,pass,True,True,True,425,425,15,15
2025Q2,2025-06-30,walkforward,pass,True,True,True,457,457,15,15
2025Q3,2025-09-30,walkforward,pass,True,True,True,548,548,15,15
2025Q4,2025-12-31,walkforward,pass,True,True,True,469,469,15,15
2026Q1,2026-03-31,walkforward,pass,True,True,True,498,498,15,15
2026Q2,2026-05-15,walkforward,pass,True,True,True,412,412,15,15
