quarter,selected_theme_rows,theme_source_model,selected_theme_rows_missing_llm_packet_metadata,late_theme_source_document_errors
2022Q2,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2022Q3,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2022Q4,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2023Q1,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2023Q2,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2023Q3,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2023Q4,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2024Q1,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2024Q2,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2024Q3,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2024Q4,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2025Q1,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2025Q2,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2025Q3,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2025Q4,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2026Q1,30,llm_packet_source_documents_for_selected_complete_rows,0,0
2026Q2,30,llm_packet_source_documents_for_selected_complete_rows,0,0
