variant,quarter,selection_rank,ticker,return_90d_pct,contribution_to_quarter_avg_pct_points,quarter_avg_return_90d_pct,rm_signal_bucket,rm_flags_active,hp_signal_bucket,hp_flags_active,entry_score_0_100,hc_score,market_repricing_score,repricing_momentum_priority,risk_penalty_score,winner_90d_30pct,loser_90d_minus30pct,primary_theme
entry_score_top10,2025Q1,1,SLQT,-58.3333,-5.83333,-19.78009,2+,rm_buy_review_flag,0,,95,95.000000,14,Repricing momentum priority,0,False,True,
entry_score_top10,2025Q1,10,SABR,-37.6812,-3.7681199999999997,-19.78009,0,,0,,82,82.000000,0,,2,False,True,
entry_score_top10,2025Q1,2,ULCC,-56.7118,-5.67118,-19.78009,2+,rm_buy_review_flag,0,,95,95.000000,15,Repricing momentum priority,1,False,True,
entry_score_top10,2025Q1,3,AIOT,-27.5126,-2.75126,-19.78009,1,,0,,93,93.000000,10,,0,False,False,
entry_score_top10,2025Q1,4,REAL,-29.5597,-2.9559699999999998,-19.78009,2+,rm_buy_review_flag,0,,92,92.000000,14,Repricing momentum priority,0,False,False,
entry_score_top10,2025Q1,5,RBBN,-21.9616,-2.19616,-19.78009,2+,rm_buy_review_flag,0,,88,88.000000,6,Repricing momentum priority,2,False,False,
entry_score_top10,2025Q1,6,ORN,65.1837,6.51837,-19.78009,1,rm_buy_review_flag,0,,85,85.000000,0,,1,True,False,
entry_score_top10,2025Q1,7,PTON,-24.8268,-2.4826799999999998,-19.78009,0,,0,,85,85.000000,0,,1,False,False,
entry_score_top10,2025Q1,8,IRTC,20.0607,2.0060700000000002,-19.78009,0,,2+,hp_LLM_best,84,84.000000,10,,1,False,False,
entry_score_top10,2025Q1,9,AAOI,-26.4583,-2.64583,-19.78009,2+,rm_buy_review_flag,0,,82,82.000000,6,Repricing momentum priority,1,False,False,CATV and datacenter capacity ramp
high_conviction_top10_v1,2025Q1,1,SLQT,-58.3333,-5.83333,-15.93004,2+,rm_buy_review_flag,0,,95,95.000000,14,Repricing momentum priority,0,False,True,
high_conviction_top10_v1,2025Q1,10,PTON,-24.8268,-2.4826799999999998,-15.93004,0,,0,,85,85.000000,0,,1,False,False,
high_conviction_top10_v1,2025Q1,2,ULCC,-56.7118,-5.67118,-15.93004,2+,rm_buy_review_flag,0,,95,95.000000,15,Repricing momentum priority,1,False,True,
high_conviction_top10_v1,2025Q1,3,AIOT,-27.5126,-2.75126,-15.93004,1,,0,,93,93.000000,10,,0,False,False,
high_conviction_top10_v1,2025Q1,4,REAL,-29.5597,-2.9559699999999998,-15.93004,2+,rm_buy_review_flag,0,,92,92.000000,14,Repricing momentum priority,0,False,False,
high_conviction_top10_v1,2025Q1,5,IRTC,20.0607,2.0060700000000002,-15.93004,0,,2+,hp_LLM_best,84,92.000000,10,,1,False,False,
high_conviction_top10_v1,2025Q1,6,RBBN,-21.9616,-2.19616,-15.93004,2+,rm_buy_review_flag,0,,88,88.000000,6,Repricing momentum priority,2,False,False,
high_conviction_top10_v1,2025Q1,7,ONC,-8.7182,-0.8718199999999999,-15.93004,0,,2+,hp_LLM_best,80,88.000000,6,,0,False,False,
high_conviction_top10_v1,2025Q1,8,RELY,-16.9208,-1.69208,-15.93004,0,,2+,hp_LLM_best,80,88.000000,6,,1,False,False,
high_conviction_top10_v1,2025Q1,9,ORN,65.1837,6.51837,-15.93004,1,rm_buy_review_flag,0,,85,85.000000,0,,1,True,False,
high_conviction_top10_v2_final,2025Q1,1,SLQT,-58.3333,-5.83333,-15.93004,2+,rm_buy_review_flag,0,,95,101.000000,14,Repricing momentum priority,0,False,True,
high_conviction_top10_v2_final,2025Q1,10,PTON,-24.8268,-2.4826799999999998,-15.93004,0,,0,,85,85.000000,0,,1,False,False,
high_conviction_top10_v2_final,2025Q1,2,ULCC,-56.7118,-5.67118,-15.93004,2+,rm_buy_review_flag,0,,95,101.000000,15,Repricing momentum priority,1,False,True,
high_conviction_top10_v2_final,2025Q1,3,REAL,-29.5597,-2.9559699999999998,-15.93004,2+,rm_buy_review_flag,0,,92,98.000000,14,Repricing momentum priority,0,False,False,
high_conviction_top10_v2_final,2025Q1,4,AIOT,-27.5126,-2.75126,-15.93004,1,,0,,93,93.000000,10,,0,False,False,
high_conviction_top10_v2_final,2025Q1,5,IRTC,20.0607,2.0060700000000002,-15.93004,0,,2+,hp_LLM_best,84,92.000000,10,,1,False,False,
high_conviction_top10_v2_final,2025Q1,6,RBBN,-21.9616,-2.19616,-15.93004,2+,rm_buy_review_flag,0,,88,88.000000,6,Repricing momentum priority,2,False,False,
high_conviction_top10_v2_final,2025Q1,7,ONC,-8.7182,-0.8718199999999999,-15.93004,0,,2+,hp_LLM_best,80,88.000000,6,,0,False,False,
high_conviction_top10_v2_final,2025Q1,8,RELY,-16.9208,-1.69208,-15.93004,0,,2+,hp_LLM_best,80,88.000000,6,,1,False,False,
high_conviction_top10_v2_final,2025Q1,9,ORN,65.1837,6.51837,-15.93004,1,rm_buy_review_flag,0,,85,85.000000,0,,1,True,False,
