field,available_count,missing_count,used_in_selection,used_as_label,interpretation
ticker,22304,0,yes,no,Selection-time feature from PIT panel.
quarter,22304,0,yes,no,Selection-time feature from PIT panel.
tradable_date,22304,0,yes,no,Selection-time feature from PIT panel.
entry_open,22304,0,yes,no,Selection-time feature from PIT panel.
entry_qoq_pct,21025,1279,yes,no,Selection-time feature from PIT panel.
prior_entry_qoq_pct,19714,2590,yes,no,Selection-time feature from PIT panel.
score_change,20874,1430,yes,no,Selection-time feature from PIT panel.
pre_llm_fundamental_score,22152,152,yes,no,Selection-time feature from PIT panel.
pre_llm_fundamental_bucket,22304,0,yes,no,Selection-time feature from PIT panel.
revenue_bucket,22203,101,yes,no,Selection-time feature from PIT panel.
tier_0_bucket,6756,15548,yes,no,Selection-time feature from PIT panel.
tier_1_bucket,3925,18379,yes,no,Selection-time feature from PIT panel.
tier_2_bucket,2341,19963,yes,no,Selection-time feature from PIT panel.
tier_3_bucket,1304,21000,yes,no,Selection-time feature from PIT panel.
tier_4_bucket,763,21541,yes,no,Selection-time feature from PIT panel.
hp0_high_price_broad,15305,6999,yes,no,Selection-time feature from PIT panel.
hp1_quality_pullback,842,21462,yes,no,Selection-time feature from PIT panel.
hp2_dislocation_momentum_priority,416,21888,yes,no,Selection-time feature from PIT panel.
hp2_dislocation_momentum_watch,110,22194,yes,no,Selection-time feature from PIT panel.
hp3_large_quality_theme_exception,214,22090,yes,no,Selection-time feature from PIT panel.
hp4_score_reacceleration_watch,895,21409,yes,no,Selection-time feature from PIT panel.
hp_production_extension,1462,20842,yes,no,Selection-time feature from PIT panel.
hp_research_extension,2416,19888,yes,no,Selection-time feature from PIT panel.
hp_LLM_best,22304,0,yes,no,Selection-time feature from PIT panel.
rm1_low_price_dislocation_momentum,402,21902,yes,no,Selection-time feature from PIT panel.
rm2_weak_acceleration,313,21991,yes,no,Selection-time feature from PIT panel.
rm3_mid_price_dislocation_momentum,149,22155,yes,no,Selection-time feature from PIT panel.
rm4_persistent_repricing_wave,67,22237,yes,no,Selection-time feature from PIT panel.
repricing_momentum_extension,402,21902,yes,no,Selection-time feature from PIT panel.
repricing_momentum_priority,358,21946,yes,no,Selection-time feature from PIT panel.
market_repricing_score,22304,0,yes,no,Selection-time feature from PIT panel.
rm_buy_review_flag,22304,0,yes,no,Selection-time feature from PIT panel.
