variant,quarter,ticker,return_90d_pct,right_tail_bucket,mechanical_exclusion_category,mechanical_detail,candidate_rank_if_eligible,candidate_hc_score_if_eligible,entry_score_0_100,rm_signal_bucket,hp_signal_bucket,rm_flags_active,hp_flags_active,primary_theme
entry_score_top10,2024Q4,CRNC,431.0526,5x_to_10x,not_variant_eligible,entry_score_below_70,,,29,2+,0,rm_buy_review_flag,,
entry_score_top10,2023Q2,CVNA,416.351,5x_to_10x,not_variant_eligible,entry_score_below_70,,,27,1,0,rm_buy_review_flag,,
entry_score_top10,2024Q2,EBS,330.8475,2x_to_5x,eligible_but_ranked_below_top10,entry_score_ge_70,11,82.000000,82,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q3,SNDK,324.9837,2x_to_5x,not_variant_eligible,entry_score_below_70,,,22,1,2+,rm_buy_review_flag,,
entry_score_top10,2023Q2,AAOI,311.875,2x_to_5x,not_variant_eligible,entry_score_below_70,,,20,1,0,rm_buy_review_flag,,CATV inventory digestion
entry_score_top10,2025Q3,BE,290.5009,2x_to_5x,not_variant_eligible,entry_score_below_70,,,33,1,2+,rm_buy_review_flag,,
entry_score_top10,2023Q2,BVS,274.5902,2x_to_5x,not_variant_eligible,entry_score_below_70,,,9,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q3,PACS,252.8915,2x_to_5x,not_variant_eligible,entry_score_below_70,,,23,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q2,IREN,223.4733,2x_to_5x,not_variant_eligible,entry_score_below_70,,,0,1,0,rm_buy_review_flag,,AI data center power capacity pivot
entry_score_top10,2023Q2,SMCI,215.7159,2x_to_5x,not_variant_eligible,entry_score_below_70,,,33,2+,0,rm_buy_review_flag,,
entry_score_top10,2024Q4,REAL,211.1111,2x_to_5x,eligible_but_ranked_below_top10,entry_score_ge_70,40,72.000000,72,1,0,rm_buy_review_flag,,
entry_score_top10,2022Q4,SHC,196.9106,2x_to_5x,not_variant_eligible,entry_score_below_70,,,29,1,0,rm_buy_review_flag,,
entry_score_top10,2026Q1,AXTI,196.7843,2x_to_5x,not_variant_eligible,entry_score_below_70,,,37,2+,0,rm_buy_review_flag,,
