variant,ticker,pick_count,quarters_selected,avg_return_90d_pct,total_return_90d_pct_points,winner_30_count,loser_minus30_count,best_quarter,best_return_90d_pct,worst_quarter,worst_return_90d_pct,primary_themes_seen,positive_contribution_rank,negative_contribution_rank
entry_score_top10,CIFR,5,2023Q3;2024Q1;2024Q2;2025Q3;2025Q4,70.51734,352.5867,2,0,2025Q3,337.7016,2025Q4,-24.7143,AI data center power shortage monetization;Bitcoin mining production growth;Flexible power infrastructure for HPC and bitcoin mining;Post-halving bitcoin mining economics;bitcoin_mining_halving_positioning,1,83
entry_score_top10,KLXE,2,2021Q4;2022Q3,142.4796,284.9592,2,0,2021Q4,157.5581,2022Q3,127.4011,,2,82
entry_score_top10,AAOI,6,2023Q3;2023Q4;2024Q3;2025Q1;2025Q2;2025Q3,43.87866666666667,263.272,3,0,2023Q4,103.3369,2025Q1,-26.4583,800G and CATV demand ramp;CATV and datacenter capacity ramp;datacenter optical network transition;datacenter optical upgrade cycle;hyperscale 400G optical ramp;next-generation datacenter optical qualification,3,81
entry_score_top10,ARLO,9,2021Q4;2022Q1;2022Q3;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2,16.822844444444446,151.40560000000002,3,1,2023Q1,133.9759,2022Q3,-42.2222,,4,80
entry_score_top10,ORN,5,2023Q4;2025Q1;2025Q2;2025Q3;2025Q4,30.052340000000004,150.26170000000002,2,0,2025Q1,65.1837,2023Q4,7.7075,,5,79
entry_score_top10,CTLP,6,2022Q2;2023Q1;2023Q2;2023Q3;2023Q4;2024Q3,24.33656666666667,146.01940000000002,1,0,2024Q3,59.7316,2023Q3,4.9419,,6,78
entry_score_top10,RSI,5,2023Q4;2024Q1;2024Q2;2024Q3;2025Q2,24.93972,124.6986,2,0,2023Q4,42.7397,2024Q3,-6.4348,,7,77
entry_score_top10,MEC,1,2022Q4,108.3333,108.3333,1,0,2022Q4,108.3333,2022Q4,108.3333,,8,76
entry_score_top10,LITE,1,2025Q3,104.7607,104.7607,1,0,2025Q3,104.7607,2025Q3,104.7607,,9,75
entry_score_top10,ANF,2,2023Q4;2024Q1,51.19005,102.3801,2,0,2023Q4,65.0374,2024Q1,37.3427,,10,74
entry_score_top10,DCGO,5,2022Q2;2022Q3;2022Q4;2024Q3;2024Q4,19.140620000000002,95.7031,1,0,2022Q2,45.3526,2022Q3,-12.1739,,11,73
entry_score_top10,IRWD,1,2025Q4,93.6,93.6,1,0,2025Q4,93.6,2025Q4,93.6,,12,72
entry_score_top10,MU,2,2024Q4;2025Q4,46.64495,93.2899,1,0,2025Q4,79.9906,2024Q4,13.2993,AI data center memory growth;AI memory and storage acceleration,13,71
entry_score_top10,SMHI,2,2023Q2;2023Q3,43.638,87.276,2,0,2023Q2,47.9218,2023Q3,39.3542,,14,70
entry_score_top10,ATRO,2,2023Q1;2025Q2,39.36985,78.7397,2,0,2025Q2,41.5482,2023Q1,37.1915,,15,69
entry_score_top10,LMB,3,2022Q1;2022Q3;2022Q4,23.848866666666666,71.5466,2,0,2022Q4,50.3132,2022Q1,-12.8843,,16,68
entry_score_top10,ADTN,1,2026Q1,69.4332,69.4332,1,0,2026Q1,69.4332,2026Q1,69.4332,,17,67
entry_score_top10,SWIM,2,2024Q3;2025Q3,33.72715,67.4543,1,0,2024Q3,65.3266,2025Q3,2.1277,,18,66
entry_score_top10,TH,2,2021Q4;2022Q2,33.68045,67.3609,1,0,2022Q2,84.3609,2021Q4,-17.0,,19,65
entry_score_top10,HRTG,4,2023Q2;2023Q3;2024Q1;2024Q2,15.795600000000002,63.18240000000001,1,0,2023Q3,55.2361,2024Q1,-7.9096,,20,64
entry_score_top10,AMRX,1,2023Q4,54.5198,54.5198,1,0,2023Q4,54.5198,2023Q4,54.5198,,21,63
entry_score_top10,KOS,2,2022Q1;2022Q2,25.8401,51.6802,1,0,2022Q1,56.6802,2022Q2,-5.0,,22,62
entry_score_top10,CWK,2,2025Q2;2025Q3,25.3731,50.7462,1,0,2025Q2,34.0173,2025Q3,16.7289,,23,61
entry_score_top10,GEV,1,2024Q4,49.4349,49.4349,1,0,2024Q4,49.4349,2024Q4,49.4349,,24,60
entry_score_top10,COMP,6,2023Q3;2024Q1;2024Q2;2024Q3;2024Q4;2025Q2,7.935516666666667,47.6131,0,1,2025Q2,22.5373,2023Q3,-42.8571,,25,59
entry_score_top10,AIOT,4,2023Q2;2023Q4;2024Q1;2025Q1,11.180750000000002,44.723000000000006,2,0,2023Q4,56.25,2025Q1,-27.5126,,26,58
entry_score_top10,RES,3,2021Q4;2022Q1;2023Q1,13.385533333333333,40.1566,1,0,2022Q1,58.2812,2023Q1,-25.3535,,27,57
entry_score_top10,POWL,2,2022Q3;2022Q4,17.14885,34.2977,1,0,2022Q4,37.9375,2022Q3,-3.6398,,28,56
entry_score_top10,TWI,2,2021Q4;2022Q2,16.7084,33.4168,0,0,2022Q2,18.5056,2021Q4,14.9112,,29,55
entry_score_top10,MG,1,2023Q1,29.7683,29.7683,0,0,2023Q1,29.7683,2023Q1,29.7683,,30,54
entry_score_top10,PAYO,1,2022Q2,29.0909,29.0909,0,0,2022Q2,29.0909,2022Q2,29.0909,,31,53
entry_score_top10,BTSGU,1,2025Q4,26.1418,26.1418,0,0,2025Q4,26.1418,2025Q4,26.1418,,32,52
entry_score_top10,NPKI,4,2023Q1;2023Q2;2023Q4;2024Q2,5.905774999999999,23.623099999999997,1,0,2023Q2,43.5567,2023Q1,-17.759,,33,51
entry_score_top10,GNE,1,2022Q1,23.0435,23.0435,0,0,2022Q1,23.0435,2022Q1,23.0435,,34,50
entry_score_top10,TALO,1,2025Q4,22.9744,22.9744,0,0,2025Q4,22.9744,2025Q4,22.9744,,35,49
entry_score_top10,WTTR,5,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2,4.50764,22.5382,0,0,2022Q3,25.7845,2022Q2,-17.2254,,36,48
entry_score_top10,RELL,1,2021Q4,21.6554,21.6554,0,0,2021Q4,21.6554,2021Q4,21.6554,,37,47
entry_score_top10,IRTC,1,2025Q1,20.0607,20.0607,0,0,2025Q1,20.0607,2025Q1,20.0607,,38,46
entry_score_top10,GBTG,2,2023Q2;2024Q3,8.729,17.458,0,0,2023Q2,8.7379,2024Q3,8.7201,,39,45
entry_score_top10,EPM,1,2024Q3,14.959,14.959,0,0,2024Q3,14.959,2024Q3,14.959,,40,44
entry_score_top10,SXC,2,2021Q4;2022Q4,7.2911,14.5822,0,0,2022Q4,19.8381,2021Q4,-5.2559,,41,43
entry_score_top10,BVS,1,2024Q1,14.5614,14.5614,0,0,2024Q1,14.5614,2024Q1,14.5614,,42,42
entry_score_top10,PBI,2,2024Q3;2024Q4,5.92705,11.8541,0,0,2024Q3,13.2208,2024Q4,-1.3667,,43,41
entry_score_top10,CDE,1,2024Q4,11.1285,11.1285,0,0,2024Q4,11.1285,2024Q4,11.1285,,44,40
entry_score_top10,EZPW,2,2022Q1;2022Q4,4.54085,9.0817,0,0,2022Q1,9.9541,2022Q4,-0.8724,,45,39
entry_score_top10,CXM,1,2023Q1,8.4627,8.4627,0,0,2023Q1,8.4627,2023Q1,8.4627,,46,38
entry_score_top10,NVRI,1,2024Q1,7.6825,7.6825,0,0,2024Q1,7.6825,2024Q1,7.6825,,47,37
entry_score_top10,HLX,1,2023Q3,5.2743,5.2743,0,0,2023Q3,5.2743,2023Q3,5.2743,,48,36
entry_score_top10,DNOW,1,2021Q4,2.6509,2.6509,0,0,2021Q4,2.6509,2021Q4,2.6509,,49,35
