quarter,variant_a,variant_b,overlap_count,a_only_count,b_only_count,avg_return_90d_a,avg_return_90d_b,avg_return_90d_delta_b_minus_a,common_tickers,a_only_tickers,b_only_tickers
2021Q4,entry_score_top10,high_conviction_top10_v1,10,0,0,19.131140000000002,19.131140000000002,0.0,ARLO;CRK;DNOW;KLXE;RELL;RES;SMCI;SXC;TH;TWI,,
2021Q4,high_conviction_top10_v1,high_conviction_top10_v2_final,10,0,0,19.131140000000002,19.131140000000002,0.0,ARLO;CRK;DNOW;KLXE;RELL;RES;SMCI;SXC;TH;TWI,,
2021Q4,entry_score_top10,high_conviction_top10_v2_final,10,0,0,19.131140000000002,19.131140000000002,0.0,ARLO;CRK;DNOW;KLXE;RELL;RES;SMCI;SXC;TH;TWI,,
2022Q1,entry_score_top10,high_conviction_top10_v1,9,1,1,1.87791,-3.0637400000000015,-4.941650000000001,ARLO;EZPW;GNE;GTX;HLIT;KOS;LMB;ORGO;ZETA,RES,UFCS
2022Q1,high_conviction_top10_v1,high_conviction_top10_v2_final,10,0,0,-3.0637400000000015,-3.0637400000000015,0.0,ARLO;EZPW;GNE;GTX;HLIT;KOS;LMB;ORGO;UFCS;ZETA,,
2022Q1,entry_score_top10,high_conviction_top10_v2_final,9,1,1,1.87791,-3.0637400000000015,-4.941650000000001,ARLO;EZPW;GNE;GTX;HLIT;KOS;LMB;ORGO;ZETA,RES,UFCS
2022Q2,entry_score_top10,high_conviction_top10_v1,10,0,0,16.077360000000002,16.077360000000002,0.0,CTLP;DCGO;KOS;PAYO;RNGR;SMCI;STGW;TH;TWI;WTTR,,
2022Q2,high_conviction_top10_v1,high_conviction_top10_v2_final,10,0,0,16.077360000000002,16.077360000000002,0.0,CTLP;DCGO;KOS;PAYO;RNGR;SMCI;STGW;TH;TWI;WTTR,,
2022Q2,entry_score_top10,high_conviction_top10_v2_final,10,0,0,16.077360000000002,16.077360000000002,0.0,CTLP;DCGO;KOS;PAYO;RNGR;SMCI;STGW;TH;TWI;WTTR,,
2022Q3,entry_score_top10,high_conviction_top10_v1,8,2,2,5.74699,11.533629999999999,5.7866399999999985,ARLO;DCGO;HIMS;KLXE;LMB;POWL;RDNW;STKL,ALTG;WTTR,HAE;INSW
2022Q3,high_conviction_top10_v1,high_conviction_top10_v2_final,10,0,0,11.533629999999999,11.533629999999999,0.0,ARLO;DCGO;HAE;HIMS;INSW;KLXE;LMB;POWL;RDNW;STKL,,
2022Q3,entry_score_top10,high_conviction_top10_v2_final,8,2,2,5.74699,11.533629999999999,5.7866399999999985,ARLO;DCGO;HIMS;KLXE;LMB;POWL;RDNW;STKL,ALTG;WTTR,HAE;INSW
2022Q4,entry_score_top10,high_conviction_top10_v1,9,1,1,24.54534,23.95317,-0.5921699999999994,DCGO;EZPW;GTX;LMB;MEC;NRDS;NTNX;POWL;WTTR,SXC,FET
2022Q4,high_conviction_top10_v1,high_conviction_top10_v2_final,10,0,0,23.95317,23.95317,0.0,DCGO;EZPW;FET;GTX;LMB;MEC;NRDS;NTNX;POWL;WTTR,,
2022Q4,entry_score_top10,high_conviction_top10_v2_final,9,1,1,24.54534,23.95317,-0.5921699999999994,DCGO;EZPW;GTX;LMB;MEC;NRDS;NTNX;POWL;WTTR,SXC,FET
2023Q1,entry_score_top10,high_conviction_top10_v1,7,3,3,16.60358,18.868180000000002,2.2646000000000015,ARLO;ATRO;CTLP;CXM;HIMS;STKL;WTTR,MG;NPKI;RES,MELI;OKTA;RPD
2023Q1,high_conviction_top10_v1,high_conviction_top10_v2_final,9,1,1,18.868180000000002,13.914169999999999,-4.954010000000004,ARLO;ATRO;CTLP;HIMS;MELI;OKTA;RPD;STKL;WTTR,CXM,AAOI
2023Q1,entry_score_top10,high_conviction_top10_v2_final,6,4,4,16.60358,13.914169999999999,-2.6894100000000023,ARLO;ATRO;CTLP;HIMS;STKL;WTTR,CXM;MG;NPKI;RES,AAOI;MELI;OKTA;RPD
2023Q2,entry_score_top10,high_conviction_top10_v1,7,3,3,14.1821,22.049,7.866899999999999,ARLO;CCL;CTLP;GBTG;NPKI;SMHI;WTTR,AIOT;HIMS;HRTG,EXAS;GRBK;TAP
2023Q2,high_conviction_top10_v1,high_conviction_top10_v2_final,10,0,0,22.049,22.049,0.0,ARLO;CCL;CTLP;EXAS;GBTG;GRBK;NPKI;SMHI;TAP;WTTR,,
2023Q2,entry_score_top10,high_conviction_top10_v2_final,7,3,3,14.1821,22.049,7.866899999999999,ARLO;CCL;CTLP;GBTG;NPKI;SMHI;WTTR,AIOT;HIMS;HRTG,EXAS;GRBK;TAP
2023Q3,entry_score_top10,high_conviction_top10_v1,7,3,3,4.86021,4.0667,-0.7935100000000004,AAOI;ARLO;CIFR;HLX;MTRX;SMCI;SMHI,COMP;CTLP;HRTG,ANF;APP;MEG
2023Q3,high_conviction_top10_v1,high_conviction_top10_v2_final,9,1,1,4.0667,9.6637,5.597,AAOI;ANF;APP;ARLO;CIFR;HLX;MTRX;SMCI;SMHI,MEG,VRT
2023Q3,entry_score_top10,high_conviction_top10_v2_final,7,3,3,4.86021,9.6637,4.80349,AAOI;ARLO;CIFR;HLX;MTRX;SMCI;SMHI,COMP;CTLP;HRTG,ANF;APP;VRT
2023Q4,entry_score_top10,high_conviction_top10_v1,8,2,2,31.468700000000002,35.150490000000005,3.681790000000003,AAOI;AIOT;ANF;ARLO;CTLP;MTRX;NPKI;RSI,AMRX;ORN,CDRE;POWL
2023Q4,high_conviction_top10_v1,high_conviction_top10_v2_final,10,0,0,35.150490000000005,35.150490000000005,0.0,AAOI;AIOT;ANF;ARLO;CDRE;CTLP;MTRX;NPKI;POWL;RSI,,
