variant,criterion,value,baseline,passed
high_conviction_top15_v3_exception_sleeve,avg_90d_not_worse,17.278760,15.502696,True
high_conviction_top15_v3_exception_sleeve,winner_rate_close_or_better,0.288902,0.268518,True
high_conviction_top15_v3_exception_sleeve,loser_rate_delta_lte_2pp,-1.8999999999991246e-05,0,True
high_conviction_top15_v3_exception_sleeve,2025Q1_drawdown_not_materially_worse,-0.9571149999999999,0,True
high_conviction_top15_v3_exception_sleeve,exception_sleeve_positive_avg_90d,35.387233,0,True
top15_conservative_10_core_3_exception,avg_90d_not_worse,16.290022,15.502696,True
top15_conservative_10_core_3_exception,winner_rate_close_or_better,0.278283,0.268518,True
top15_conservative_10_core_3_exception,loser_rate_delta_lte_2pp,-0.0025249999999999995,0,True
top15_conservative_10_core_3_exception,2025Q1_drawdown_not_materially_worse,-0.9571149999999999,0,True
top15_conservative_10_core_3_exception,exception_sleeve_positive_avg_90d,28.548956,0,True
top15_rm1_priority_max2_rm2plus,avg_90d_not_worse,17.278760,15.502696,True
top15_rm1_priority_max2_rm2plus,winner_rate_close_or_better,0.288902,0.268518,True
top15_rm1_priority_max2_rm2plus,loser_rate_delta_lte_2pp,-1.8999999999991246e-05,0,True
top15_rm1_priority_max2_rm2plus,2025Q1_drawdown_not_materially_worse,-0.9571149999999999,0,True
top15_rm1_priority_max2_rm2plus,exception_sleeve_positive_avg_90d,35.387233,0,True
