ticker,quarter,selection_rank,selected_sleeve,entry_score_0_100,score_change,negative_revision_risk,pre_llm_fundamental_bucket,primary_theme,core_deterioration_review_flag,core_deterioration_downgrade_flag,core_deterioration_strict_override_required,core_deterioration_recommended_action,core_deterioration_reason_codes
HLIT,2022Q1,4,core,82,-2,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;primary_theme_blank;pre_llm_fundamental_bucket_weak
ORGO,2022Q1,8,core,81,-1,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;selection_rank_7_or_8;primary_theme_blank;pre_llm_fundamental_bucket_weak
EZPW,2022Q1,9,core,80,-7,2,mixed,,1,1,0,manual_review_before_buy_underwriting,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;primary_theme_blank
CTLP,2023Q1,9,core,80,-4,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;primary_theme_blank;pre_llm_fundamental_bucket_weak
MTRX,2023Q3,4,core,95,-3,2,mixed,,1,1,0,manual_review_before_buy_underwriting,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;primary_theme_blank
LFST,2024Q2,4,core,91,-1,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;primary_theme_blank;pre_llm_fundamental_bucket_weak
KRO,2024Q2,7,core,86,-7,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;selection_rank_7_or_8;primary_theme_blank;pre_llm_fundamental_bucket_weak
SWIM,2024Q3,9,core,83,-4,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;primary_theme_blank;pre_llm_fundamental_bucket_weak
VSCO,2024Q4,2,core,85,-1.0000,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;primary_theme_blank;pre_llm_fundamental_bucket_weak
PTON,2024Q4,6,core,84,-1,3,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;primary_theme_blank;pre_llm_fundamental_bucket_weak
RELY,2025Q1,8,core,80,-1.0000,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;selection_rank_7_or_8;primary_theme_blank;pre_llm_fundamental_bucket_weak
AAOI,2025Q3,2,core,86,-1,3,weak,next-generation datacenter optical qualification,1,1,0,manual_review_before_buy_underwriting,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;pre_llm_fundamental_bucket_weak
CRSR,2025Q3,8,core,88,-5,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;selection_rank_7_or_8;primary_theme_blank;pre_llm_fundamental_bucket_weak
IREN,2025Q4,1,core,99,-2,2,weak,AI cloud GPU infrastructure,1,1,0,manual_review_before_buy_underwriting,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;pre_llm_fundamental_bucket_weak
CIFR,2025Q4,3,core,92,-3,2,weak,AI data center power shortage monetization,1,1,0,manual_review_before_buy_underwriting,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;pre_llm_fundamental_bucket_weak
APPN,2025Q4,8,core,81,-1.0000,2,weak,,1,1,1,move_from_core_buy_underwriting_to_scout_review_unless_pm_override,entry_score_gte_80;score_change_lte_minus_1;negative_revision_risk_gte_2;selection_rank_7_or_8;primary_theme_blank;pre_llm_fundamental_bucket_weak
