ticker,quarter,return_90d_pct,mechanical_status_after,old_v2_status,top15_status,selected_sleeve,selected_sleeve_rank,right_tail_exception_score,mechanical_exclusion_before
AAOI,2023Q2,311.8750,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
AEHR,2025Q2,116.4051,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
AEHR,2025Q3,110.2090,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
AEHR,2026Q1,188.1172,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
AI,2022Q4,106.6611,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
APEI,2023Q4,112.3809,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
APP,2024Q3,140.6138,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
ARWR,2025Q3,154.6624,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
AXTI,2025Q3,130.8696,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
AXTI,2026Q1,196.7843,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
BBBY,2025Q2,123.9131,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
BE,2024Q4,124.2534,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
BE,2025Q3,290.5009,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
BVS,2023Q1,156.8807,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
BVS,2023Q2,274.5902,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
CODI,2026Q1,113.5802,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
CORZ,2024Q1,151.7341,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
CORZ,2024Q2,169.0411,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
CRK,2022Q1,125.7104,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
CRNC,2024Q4,431.0526,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
CTEV,2023Q2,170.8333,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
CTEV,2024Q4,112.4318,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
CTEV,2025Q2,155.4419,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
CVNA,2023Q2,416.351,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
EBS,2024Q1,144.3223,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
EBS,2024Q2,330.8475,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
EVER,2022Q4,148.0127,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
EXPI,2023Q2,113.2155,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
FLNC,2022Q2,155.8779,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
FLNC,2025Q2,101.4303,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
FLNC,2025Q3,181.5246,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
FUBO,2024Q4,177.3333,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
FWRD,2025Q2,106.8063,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
GEO,2024Q3,108.3399,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
GOLD,2025Q4,146.2188,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
GRPN,2023Q2,112.2995,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
GRPN,2025Q1,166.2041,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
HOOD,2025Q2,107.5306,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
ICHR,2026Q1,144.9206,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IREN,2023Q1,151.4970,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IREN,2023Q4,117.4194,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IREN,2024Q2,111.3903,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IREN,2025Q2,223.4733,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IRWD,2025Q3,132.9545,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
LFCR,2023Q1,159.0909,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
MSTR,2024Q1,151.7569,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
NNBR,2023Q2,183.8095,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
NNBR,2023Q4,120.9091,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
NOK,2026Q1,102.6688,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
OSCR,2023Q1,165.1341,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
PACS,2025Q3,252.8915,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
PGY,2025Q2,164.3068,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
PTON,2024Q3,104.5147,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
RBLX,2022Q2,116.0128,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
RDNW,2025Q3,112.1212,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
REAL,2024Q1,100.6944,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
REAL,2024Q4,211.1111,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
RRGB,2023Q1,106.3536,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
SHC,2022Q4,196.9106,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
SHLS,2022Q2,101.8405,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
SHLS,2025Q3,100.4338,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
SILC,2026Q1,101.8229,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
SLQT,2023Q1,175.4663,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
SLQT,2024Q1,117.3913,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
SLQT,2024Q4,102.9703,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
SMCI,2023Q2,215.7159,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
SMCI,2023Q4,103.1025,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
SMCI,2024Q1,167.1424,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
SMCI,2025Q2,101.3393,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
SNBR,2025Q4,137.4280,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
SNDK,2025Q3,324.9837,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
SNDK,2025Q4,136.1943,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
SYM,2023Q2,137.3552,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
SYM,2025Q2,161.2126,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
TNDM,2024Q1,109.7551,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
TPC,2024Q1,107.1698,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
TROX,2025Q4,120.0637,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
ULCC,2024Q3,100.9375,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
UPST,2023Q2,163.4929,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
VITL,2024Q1,141.4474,NOT_RANKED_IN_SELECTED_SLOTS,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS
VSAT,2025Q2,149.3308,POST_LLM_DEMOTE,missed,missed,,,,POST_LLM_DEMOTE
WLDN,2025Q2,112.1667,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
XMTR,2023Q4,101.2743,ENTRY_SCORE_BELOW_EXCEPTION_MIN,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN
