queue,row_count,avg_right_tail_evidence_score
top15_exception_candidate,0,
right_tail_scout,18,31.444444444444443
demote_review_full_audit,332,4.9397590361445785
demote_review_priority_1_daily,99,11.858585858585858
demote_review_priority_2,233,2.0
demote_review_low_priority,0,
thin_signal_watchlist_full_audit,1213,12.530915086562242
thin_signal_watchlist_top25_daily,25,31.84
thin_signal_watchlist_top50_daily,50,26.92
thin_signal_watchlist_top100_daily,100,24.46
diagnostics,21182,0.05381928052119724
