field,mode,filled_rows
assets_value,companyfacts_extended_relaxed_filed_date,33
assets_value,companyfacts_extended_strict,39
financing_cash_flow_value,companyfacts_extended_relaxed_filed_date,33
financing_cash_flow_value,companyfacts_extended_strict,47
investing_cash_flow_value,companyfacts_extended_relaxed_filed_date,35
investing_cash_flow_value,companyfacts_extended_strict,53
net_income_value,companyfacts_extended_relaxed_filed_date,30
net_income_value,companyfacts_extended_strict,39
operating_cash_flow_value,companyfacts_extended_relaxed_filed_date,33
operating_cash_flow_value,companyfacts_extended_strict,75
revenue_value,companyfacts_extended_relaxed_filed_date,34
revenue_value,companyfacts_extended_strict,63
