variant,quarter,snapshot_date,miss_rank,ticker,why_missed,entry_score_0_100,tier_0_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,hp0_high_price_broad,hp1_quality_pullback,hp2_dislocation_momentum_priority,hp2_dislocation_momentum_watch,hp3_large_quality_theme_exception,hp4_score_reacceleration_watch,hp_production_extension,hp_research_extension,hp_LLM_best,rm1_low_price_dislocation_momentum,rm2_weak_acceleration,rm3_mid_price_dislocation_momentum,rm4_persistent_repricing_wave,rm_buy_review_flag,primary_theme,secondary_themes,theme_role,theme_confidence,theme_driver_type,theme_momentum,theme_acceleration_score,theme_tailwind_score,theme_acceleration_research_visibility,theme_acceleration_rescan_flag,akg_universe_tier,tier_structure_score,hp_structure_score,scoring_formula_version,tier_rule_version,hp_rule_version,rm_rule_version,theme_rule_version,return_20d_pct,return_60d_pct,winner_90d_30pct,loser_90d_minus30pct,return_10d_pct,return_30d_pct,return_90d_pct
entry_score_top10,2021Q4,11/4/21,1,RMNI,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-14.7239,-27.6074,False,True,-12.8834,-26.3804,-40
entry_score_top10,2021Q4,11/18/21,2,UTI,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,5.0315,-8.3019,False,False,1.2579,-2.3899,7.4214
entry_score_top10,2021Q4,11/11/21,3,PAYO,NOT_IN_TOP10,75,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,-3.6129,-16,False,True,5.0323,-17.2903,-34.0645
entry_score_top10,2021Q4,11/3/21,4,EXTR,NOT_IN_TOP10,74,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,18,0,,,,,,15.9307,36.4502,False,False,3.4632,14.3723,8.1385
entry_score_top10,2021Q4,11/5/21,5,GNE,NOT_IN_TOP10,74,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-11.5658,-1.6014,False,False,-5.3381,-7.4733,-9.7865
entry_score_top10,2021Q4,11/10/21,6,ORGO,NOT_IN_TOP10,74,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,-5.8052,-22.0037,False,False,-4.7753,-9.5506,-28.1835
entry_score_top10,2021Q4,11/10/21,7,PANL,NOT_IN_TOP10,74,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,0,,,,,,,,0,,,,30,0,,,,,,-19.4093,-20.2532,False,False,-17.5105,-19.1983,-6.5401
entry_score_top10,2021Q4,11/10/21,8,RLGT,NOT_IN_TOP10,73,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-0.7895,-7.8947,False,False,13.6842,-1.4474,-15.3947
entry_score_top10,2021Q4,11/10/21,9,ZETA,NOT_IN_TOP10,72,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,-18.2532,-19.9215,False,False,-18.6457,-17.0756,2.3553
entry_score_top10,2021Q4,11/2/21,10,HLIT,NOT_IN_TOP10,70,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,9.4175,16.699,False,False,4.5631,4.2718,4.466
entry_score_top10,2021Q4,10/26/21,11,ARLP,NOT_IN_TOP10,69,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,18,0,,,,,,-12.8583,-0.9009,False,False,-4.3407,-14.742,12.1212
entry_score_top10,2021Q4,11/10/21,12,ECVT,NOT_IN_TOP10,69,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,18,0,,,,,,-26.1004,-23.5521,False,False,-23.2432,-24.2471,-24.4788
