variant,dimension,bucket,pick_count,avg_return_90d_pct,winner_90d_30pct_rate,loser_90d_minus30pct_rate
entry_score_top10,hp,0,158,14.758959,0.234177,0.050633
entry_score_top10,hp,2+,15,18.929567,0.400000,0.200000
entry_score_top10,rm,0,72,4.557646,0.138889,0.069444
entry_score_top10,rm,1,36,44.731697,0.583333,0.027778
entry_score_top10,rm,2+,65,10.421038,0.184615,0.076923
entry_score_top10,tier,0,15,18.929567,0.400000,0.200000
entry_score_top10,tier,2+,158,14.758959,0.234177,0.050633
high_conviction_top10_v1,hp,0,121,15.615589,0.247934,0.049587
high_conviction_top10_v1,hp,2+,52,14.760571,0.307692,0.134615
high_conviction_top10_v1,rm,0,82,5.858083,0.182927,0.085366
high_conviction_top10_v1,rm,1,35,46.485094,0.600000,0.028571
high_conviction_top10_v1,rm,2+,56,9.815980,0.178571,0.089286
high_conviction_top10_v1,tier,0,52,14.760571,0.307692,0.134615
high_conviction_top10_v1,tier,2+,121,15.615589,0.247934,0.049587
high_conviction_top10_v2_final,hp,0,121,15.178432,0.247934,0.057851
high_conviction_top10_v2_final,hp,2+,52,15.836917,0.307692,0.115385
high_conviction_top10_v2_final,rm,0,81,6.399460,0.185185,0.074074
high_conviction_top10_v2_final,rm,1,36,45.693189,0.583333,0.027778
high_conviction_top10_v2_final,rm,2+,56,8.871409,0.178571,0.107143
high_conviction_top10_v2_final,tier,0,52,15.836917,0.307692,0.115385
high_conviction_top10_v2_final,tier,2+,121,15.178432,0.247934,0.057851
