variant,quarter,snapshot_date,tradable_date,selection_rank,ticker,hc_score,entry_score_0_100,score,composite_score,tier_0_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,hp0_high_price_broad,hp1_quality_pullback,hp2_dislocation_momentum_priority,hp2_dislocation_momentum_watch,hp3_large_quality_theme_exception,hp4_score_reacceleration_watch,hp_production_extension,hp_research_extension,hp_LLM_best,rm1_low_price_dislocation_momentum,rm2_weak_acceleration,rm3_mid_price_dislocation_momentum,rm4_persistent_repricing_wave,rm_buy_review_flag,primary_theme,secondary_themes,theme_role,theme_confidence,theme_driver_type,theme_momentum,theme_acceleration_score,theme_tailwind_score,theme_acceleration_research_visibility,theme_acceleration_rescan_flag,akg_universe_tier,tier_structure_score,hp_structure_score,scoring_formula_version,tier_rule_version,hp_rule_version,rm_rule_version,theme_rule_version,repricing_momentum_priority,market_repricing_score,macro_entry_action,risk_penalty_score,post_llm_demote_flag,return_20d_pct,return_60d_pct,winner_90d_30pct,loser_90d_minus30pct,return_10d_pct,return_30d_pct,return_90d_pct,entry_open,entry_qoq_pct,prior_entry_qoq_pct,score_change,pre_llm_fundamental_score,pre_llm_fundamental_bucket,revenue_bucket,repricing_momentum_extension,post_llm_candidate_flag,post_llm_high_priority_flag,causal_change,negative_revision_risk,narrative_delta_bucket,operating_leverage_quality,durability,score_addition,macro_mode,macro_spy,macro_position_size_multiplier,total_structure_score,llm_business_improvement_score,fundamental_rerating_score,entry_raw_score,selected
entry_score_top10,2021Q4,11/4/21,11/4/21,1,DNOW,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,9.4191,-1.5228,False,False,11.3367,-4.0045,2.6509,8.865,,,,6,strong,$1B-$2B,,1,1,3,1,inflecting,2,2,3,,,,25,45,11,81,True
entry_score_top10,2021Q4,12/13/21,12/13/21,2,KLXE,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,1,,,,,,,,0,,,,30,0,,,,,,,0,,3,0,1.7442,65.6977,True,False,-1.4535,27.6163,157.5581,3.44,,,,-2,weak,$100M-$500M,,1,1,3,2,inflecting,2,1,3,,,,30,45,9,81,True
entry_score_top10,2021Q4,10/28/21,10/28/21,3,RES,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,-22.3752,-18.0723,False,False,-7.401,-27.7108,7.2289,5.81,,,,5,good,$100M-$500M,,1,1,3,2,inflecting,2,1,3,,,,25,45,9,79,True
entry_score_top10,2021Q4,11/3/21,11/3/21,4,SMCI,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,0,,,,,,,,0,,,,30,0,,,,,,,0,,2,0,0.8935,10.1666,False,False,4.057,4.3951,0.7003,4.141,,,,7,strong,$2B-$10B,,1,0,3,2,constructive,1,2,1,,,,30,40,11,79,True
entry_score_top10,2021Q4,11/2/21,11/2/21,5,SXC,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,-10.9267,-5.6708,False,False,-6.5007,-12.0332,-5.2559,7.23,,,,7,strong,$1B-$2B,,1,1,3,0,inflecting,2,2,3,,,,25,45,9,79,True
entry_score_top10,2021Q4,11/3/21,11/3/21,6,TH,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,0,,,,,,,,0,,,,30,0,,,,,,,0,,2,0,-0.5,-5.75,False,False,20,-11.25,-17,4,,,,6,strong,$100M-$500M,,1,1,3,0,inflecting,2,2,3,,,,30,45,6,79,True
entry_score_top10,2021Q4,11/5/21,11/5/21,7,TWI,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,-11.1243,39.645,False,False,-2.1302,-11.1243,14.9112,8.45,,,,4,good,$500M-$1B,,1,1,3,1,inflecting,2,2,3,,,,25,45,9,79,True
entry_score_top10,2021Q4,10/7/21,10/7/21,8,RELL,78.000000,78,78.000000,78.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,,0,,0,0,4.4273,3.2724,False,False,18.768,12.3195,21.6554,10.39,,,,0,mixed,$100M-$500M,,1,1,3,1,inflecting,2,2,3,,,,22,45,11,78,True
entry_score_top10,2021Q4,11/10/21,11/10/21,9,ARLO,77.000000,77,77.000000,77.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,29,0,,,,,,,0,,0,0,5.2989,30.0272,False,False,9.2391,22.6902,19.5652,7.36,,,,-2,weak,$100M-$500M,,1,0,3,2,constructive,1,2,1,,,,29,40,8,77,True
entry_score_top10,2021Q4,11/3/21,11/3/21,10,CRK,76.000000,76,76.000000,76.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,-6.7027,-8,False,False,0.3243,-17.8378,-10.7027,9.25,,,,7,strong,$100M-$500M,,1,1,3,2,inflecting,2,2,3,,,,25,45,6,76,True
entry_score_top10,2022Q1,3/2/22,3/2/22,1,ARLO,91.000000,91,91.000000,91.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,RM1 - Low-price dislocation momentum,RM2 - Weak-bucket acceleration,,,1,,,,,,,,0,,,,29,0,,,,,,Repricing momentum priority,6,,0,0,-8.8088,-21.021,False,False,-8.7087,-12.2122,-29.1291,9.99,35.73,,0,-2,weak,$100M-$500M,Repricing momentum extension,1,1,3,2,inflecting,2,2,3,,,,29,45,11,91,True
entry_score_top10,2022Q1,2/24/22,2/24/22,2,ZETA,83.000000,83,83.000000,83.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,,0,,1,0,10.7833,16.175,False,False,10.2747,15.1577,-24.0081,9.83,-3.53,,0,0,mixed,$100M-$500M,,1,1,3,1,inflecting,2,2,3,,,,29,45,10,83,True
entry_score_top10,2022Q1,2/1/22,2/1/22,3,HLIT,82.000000,82,82.000000,82.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,,0,,1,0,-7.8571,-5,False,False,-6.5306,-6.2245,-12.2449,9.8,-4.85,,-2,-3,weak,$100M-$500M,,1,0,3,2,constructive,1,2,1,,,,29,45,9,82,True
entry_score_top10,2022Q1,3/11/22,3/11/22,4,GNE,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,-2.1739,-8.9855,False,False,-5.2174,-3.4783,23.0435,6.9,22.78,,1,7,strong,$100M-$500M,,1,1,3,1,inflecting,2,2,3,,,,25,45,11,81,True
entry_score_top10,2022Q1,2/15/22,2/15/22,5,GTX,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,-10.0559,-1.257,False,False,-0.1397,1.5363,-19.8324,7.16,4.68,,7,6,strong,$2B-$10B,,1,1,3,1,inflecting,2,2,3,,,,25,45,11,81,True
entry_score_top10,2022Q1,3/17/22,3/17/22,6,LMB,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,2.489,-12.2987,False,False,0.1464,-4.6852,-12.8843,6.83,-18.2,,2,7,strong,$500M-$1B,,1,1,3,1,inflecting,2,2,3,,,,25,45,11,81,True
entry_score_top10,2022Q1,3/2/22,3/2/22,7,ORGO,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,,0,,4,0,-5.8968,-18.059,False,True,-10.1966,-3.0713,-31.0811,8.14,-23.78,,-1,-3,weak,$100M-$500M,,1,1,3,2,inflecting,2,2,3,,,,29,45,11,81,True
entry_score_top10,2022Q1,2/3/22,2/3/22,8,EZPW,80.000000,80,80.000000,80.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,,0,,0,0,-4.7473,-8.8821,False,False,-4.5942,-14.8545,9.9541,6.53,-19.38,,-7,0,mixed,$100M-$500M,,1,1,3,2,inflecting,2,2,3,,,,29,45,6,80,True
entry_score_top10,2022Q1,3/1/22,3/1/22,9,KOS,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,1,,,,,,,,0,,,,30,0,,,,,,,0,,2,0,32.996,38.2591,True,False,26.3158,45.5466,56.6802,4.94,39.94,,6,4,good,$1B-$2B,,1,1,3,2,inflecting,2,2,3,,,,30,45,6,79,True
entry_score_top10,2022Q1,1/27/22,1/27/22,10,RES,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,24.375,66.7187,True,False,10.3125,37.0313,58.2812,6.4,10.15,,0,5,good,$100M-$500M,,1,1,3,1,inflecting,2,1,3,,,,25,45,9,79,True
entry_score_top10,2022Q2,5/10/22,5/10/22,1,KOS,86.000000,86,86.000000,86.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,RM1 - Low-price dislocation momentum,RM2 - Weak-bucket acceleration,,RM4 - Persistent repricing wave,1,,,,,,,,0,,,,29,0,,,,,,Repricing momentum priority,11,,4,0,24.8387,-13.871,False,False,11.6129,31.129,-5,6.2,25.51,39.94,-8,-4,weak,$100M-$500M,Repricing momentum extension,1,1,3,1,inflecting,2,2,3,,,,29,45,5,86,True
entry_score_top10,2022Q2,5/11/22,5/11/22,2,TH,86.000000,86,86.000000,86.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,RM1 - Low-price dislocation momentum,RM2 - Weak-bucket acceleration,,RM4 - Persistent repricing wave,1,,,,,,,,0,,,,29,0,,,,,,Repricing momentum priority,11,,4,0,-4.5113,36.391,True,False,-10.6767,-0.7519,84.3609,6.65,35.71,22.5,-10,-4,weak,<$100M,Repricing momentum extension,1,1,3,1,inflecting,2,2,3,,,,29,45,5,86,True
entry_score_top10,2022Q2,5/6/22,5/6/22,3,CTLP,82.000000,82,82.000000,82.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,,0,,0,0,-4.6468,5.7621,False,False,-16.171,-0.3717,18.5874,5.38,-32.58,-34.86,-6,-2,weak,<$100M,,1,1,2,1,inflecting,2,2,3,,,,29,45,8,82,True
entry_score_top10,2022Q2,5/11/22,5/11/22,4,DCGO,82.000000,82,82.000000,82.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,,0,,0,0,20.9936,19.2308,True,False,2.5641,9.2949,45.3526,6.24,-10.73,-32.46,,-2,weak,<$100M,,1,1,3,1,inflecting,2,2,3,,,,29,45,8,82,True
entry_score_top10,2022Q2,4/19/22,4/19/22,5,SMCI,82.000000,82,82.000000,82.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,0,,,,,,,,0,,,,30,0,,,,,,,0,,2,0,17.0714,7.2143,False,False,0.2381,19.9762,1.1905,4.2,-3.49,5.1,1,7,strong,$1B-$2B,,1,1,3,1,inflecting,2,1,3,,,,30,45,9,82,True
entry_score_top10,2022Q2,5/13/22,5/13/22,6,PAYO,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,0,,,,,,,,0,,,,30,0,,,,,,,0,,3,0,21.8182,2.2727,False,False,12.9545,-8.6364,29.0909,4.4,8.64,-47.74,1,-3,weak,$100M-$500M,,1,1,3,1,inflecting,2,2,3,,,,30,45,9,81,True
entry_score_top10,2022Q2,5/3/22,5/3/22,7,TWI,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,RM1 - Low-price dislocation momentum,RM2 - Weak-bucket acceleration,,RM4 - Persistent repricing wave,1,,,,,,,,0,,,,22,0,,,,,,Repricing momentum priority,11,,1,0,18.8548,-3.352,False,False,16.6201,34.2179,18.5056,14.32,24.85,35.74,-2,-1,weak,$100M-$500M,Repricing momentum extension,1,1,3,1,inflecting,2,2,3,,,,22,45,4,81,True
entry_score_top10,2022Q2,5/4/22,5/4/22,8,WTTR,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,-1.9653,-27.052,False,False,-7.5144,0.6936,-17.2254,8.65,13.67,27.58,3,8,strong,$1B-$2B,,1,1,3,1,inflecting,2,1,3,,,,25,45,11,81,True
