variant,quarter,pick_count,eligible_count,shortfall,avg_return_10d_pct,avg_return_20d_pct,avg_return_30d_pct,avg_return_60d_pct,avg_return_90d_pct,winner_90d_30pct_rate,loser_90d_minus30pct_rate
entry_score_top10,2021Q4,10,1194,False,4.623970,-2.984590,-1.693950,10.979300,19.131140,0.100000,0.000000
entry_score_top10,2022Q1,10,1201,False,1.166220,3.110350,5.474590,4.564950,1.877910,0.200000,0.100000
entry_score_top10,2022Q2,10,1209,False,2.130850,11.123990,10.721400,1.245010,16.077360,0.200000,0.000000
entry_score_top10,2022Q3,10,1218,False,-0.548790,-0.937610,-0.121960,-6.397100,5.746990,0.200000,0.300000
entry_score_top10,2022Q4,10,1221,False,10.290290,9.041210,8.733900,12.153750,24.545340,0.300000,0.000000
entry_score_top10,2023Q1,10,1221,False,3.817440,3.464690,6.728150,9.011290,16.603580,0.200000,0.000000
entry_score_top10,2023Q2,10,1220,False,10.687120,9.115350,12.445560,16.640780,14.182100,0.300000,0.000000
entry_score_top10,2023Q3,10,1246,False,8.026160,7.946400,7.721390,2.283860,4.860210,0.200000,0.100000
entry_score_top10,2023Q4,10,1251,False,9.837820,11.900700,18.237800,30.986910,31.468700,0.500000,0.000000
entry_score_top10,2024Q1,10,1263,False,8.072730,14.623130,7.666930,13.326640,20.036150,0.400000,0.000000
entry_score_top10,2024Q2,10,1261,False,6.476630,4.501780,1.454600,3.524130,1.449240,0.000000,0.000000
entry_score_top10,2024Q3,10,1276,False,6.559450,10.977130,16.335120,25.270340,31.746090,0.400000,0.000000
entry_score_top10,2024Q4,10,1247,False,0.534910,6.315320,6.381990,-1.195680,4.841020,0.100000,0.100000
entry_score_top10,2025Q1,10,1248,False,-9.100260,-15.239270,-25.071850,-32.517020,-19.780090,0.100000,0.300000
entry_score_top10,2025Q2,10,1247,False,10.177550,6.681590,7.056680,15.763490,13.823440,0.500000,0.000000
entry_score_top10,2025Q3,10,1265,False,2.934720,7.103830,14.091450,34.110130,51.726520,0.300000,0.100000
entry_score_top10,2025Q4,10,1260,False,0.071860,6.095830,10.763300,18.545210,17.662700,0.200000,0.100000
entry_score_top10,2026Q1,3,134,True,-6.597700,-2.156200,1.068400,6.304500,18.625033,0.333333,0.000000
high_conviction_top10_v1,2021Q4,10,1194,False,4.623970,-2.984590,-1.693950,10.979300,19.131140,0.100000,0.000000
high_conviction_top10_v1,2022Q1,10,1201,False,-0.190890,0.357500,1.725910,-1.746020,-3.063740,0.100000,0.100000
high_conviction_top10_v1,2022Q2,10,1209,False,2.130850,11.123990,10.721400,1.245010,16.077360,0.200000,0.000000
high_conviction_top10_v1,2022Q3,10,1218,False,2.281400,0.890910,2.510310,-2.029910,11.533630,0.300000,0.300000
high_conviction_top10_v1,2022Q4,10,1221,False,9.140790,8.319430,7.296120,11.061860,23.953170,0.300000,0.000000
high_conviction_top10_v1,2023Q1,10,1221,False,5.344080,2.304480,3.981610,8.428170,18.868180,0.200000,0.000000
high_conviction_top10_v1,2023Q2,10,1220,False,10.948500,9.103130,13.866300,24.431050,22.049000,0.400000,0.000000
high_conviction_top10_v1,2023Q3,10,1246,False,10.352540,9.621700,8.634940,4.150420,4.066700,0.200000,0.100000
high_conviction_top10_v1,2023Q4,10,1251,False,9.894920,10.628170,15.516950,29.399400,35.150490,0.500000,0.000000
high_conviction_top10_v1,2024Q1,10,1263,False,5.736710,8.050690,5.717960,11.614130,19.291840,0.400000,0.100000
high_conviction_top10_v1,2024Q2,10,1261,False,2.821020,4.760680,0.661880,3.575640,-3.358260,0.000000,0.000000
