variant,quarter,mode,demoted_ticker,replacement_ticker,demoted_core_candidate_rank,replacement_core_candidate_rank,demoted_entry_score_0_100,replacement_entry_score_0_100,demoted_score_change,demoted_negative_revision_risk,demoted_pre_llm_fundamental_bucket,demoted_primary_theme,demoted_rm_count,demoted_hp_count,demoted_market_repricing_score,high_score_deterioration_flag,weak_no_theme_repricing_stack_flag,core_deterioration_review_flag,core_deterioration_downgrade_flag,core_deterioration_strict_override_required,core_deterioration_reason_codes,demoted_return_90d_pct,replacement_return_90d_pct,replacement_delta_90d_pct
top15_v4_core_deterioration_refill_downgrade,2022Q1,downgrade,ARLO,RES,1,11,91,79,0,2,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,-29.1291,58.2812,87.410300
top15_v4_core_deterioration_refill_downgrade,2022Q1,downgrade,HLIT,SMCI,4,12,82,79,-2,2,weak,,0,0,0.0,1,0,1,1,0,high_score_deterioration,-12.2449,-0.6664,11.578500
top15_v4_core_deterioration_refill_downgrade,2022Q1,downgrade,ORGO,SXC,8,13,81,79,-1,2,weak,,0,0,0.0,1,0,1,1,0,high_score_deterioration;selection_rank_7_or_8,-31.0811,19.5714,50.652500
top15_v4_core_deterioration_refill_downgrade,2022Q2,downgrade,KOS,ARCB,1,11,86,71,-8,1,weak,,4,0,11.0,0,1,1,1,0,weak_no_theme_repricing_stack,-5,19.294,24.294000
top15_v4_core_deterioration_refill_downgrade,2022Q2,downgrade,TH,FELE,2,12,86,71,-10,1,weak,,4,0,11.0,0,1,1,1,0,weak_no_theme_repricing_stack,84.3609,20.6931,-63.667800
top15_v4_core_deterioration_refill_downgrade,2022Q2,downgrade,TWI,SKY,7,13,81,71,-2,1,weak,,4,0,11.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,18.5056,16.6061,-1.899500
top15_v4_core_deterioration_refill_downgrade,2022Q3,downgrade,KLXE,ALTG,1,11,95,82,0,1,weak,,3,0,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,127.4011,-8.0303,-135.431400
top15_v4_core_deterioration_refill_downgrade,2022Q3,downgrade,DCGO,WTTR,3,12,91,82,0,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,-12.1739,25.7845,37.958400
top15_v4_core_deterioration_refill_downgrade,2022Q3,downgrade,RDNW,RLGT,4,13,82,81,0.0000,2,weak,,0,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,-40.1298,-25.7143,14.415500
top15_v4_core_deterioration_refill_downgrade,2022Q3,downgrade,HIMS,SMCI,5,14,88,81,0,2,weak,,3,0,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,-31.0448,3.3079,34.352700
top15_v4_core_deterioration_refill_downgrade,2022Q3,downgrade,INSW,CVGI,6,15,80,80,0.0000,2,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,64.2545,-30.821,-95.075500
top15_v4_core_deterioration_refill_downgrade,2022Q3,downgrade,ARLO,GHM,7,16,85,79,-6,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,-42.2222,25,67.222200
top15_v4_core_deterioration_refill_downgrade,2022Q3,downgrade,HAE,MEC,9,17,77,79,-8.0000,1,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,11.3661,10.7649,-0.601200
top15_v4_core_deterioration_refill_downgrade,2022Q4,downgrade,WTTR,SXC,3,11,91,79,0,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,-4.3722,19.8381,24.210300
top15_v4_core_deterioration_refill_downgrade,2022Q4,downgrade,POWL,ZETA,4,12,90,79,0,1,weak,,4,0,11.0,0,1,1,1,0,weak_no_theme_repricing_stack,37.9375,7.9667,-29.970800
top15_v4_core_deterioration_refill_downgrade,2022Q4,downgrade,FET,HIMS,6,13,77,78,-4.0000,1,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,13.9164,33.5605,19.644100
top15_v4_core_deterioration_refill_strict,2023Q1,strict,CTLP,CXM,9,11,80,79,-4,2,weak,,3,0,10.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,24.4444,8.4627,-15.981700
top15_v4_core_deterioration_refill_downgrade,2023Q1,downgrade,OKTA,MG,5,12,75,79,0.0000,2,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,12.2222,29.7683,17.546100
top15_v4_core_deterioration_refill_downgrade,2023Q1,downgrade,RPD,NPKI,6,13,75,79,0.0000,2,weak,,0,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,-10.3702,-17.759,-7.388800
top15_v4_core_deterioration_refill_downgrade,2023Q1,downgrade,HIMS,RES,7,14,81,79,0,2,weak,,3,0,10.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,-16.6979,-25.3535,-8.655600
top15_v4_core_deterioration_refill_downgrade,2023Q1,downgrade,CTLP,GNE,9,15,80,78,-4,2,weak,,3,0,10.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,24.4444,54.1667,29.722300
top15_v4_core_deterioration_refill_downgrade,2023Q1,downgrade,ATRO,AIOT,10,17,79,77,0,2,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,37.1915,9.5082,-27.683300
top15_v4_core_deterioration_refill_downgrade,2023Q2,downgrade,ARLO,AIOT,1,11,96,79,1,2,weak,,3,0,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,38.0567,-23.3333,-61.390000
top15_v4_core_deterioration_refill_downgrade,2023Q2,downgrade,CCL,HRTG,7,12,81,79,0,2,weak,,3,0,10.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,-5.7627,17.0157,22.778400
top15_v4_core_deterioration_refill_downgrade,2023Q2,downgrade,EXAS,HIMS,8,13,72,78,0.0000,2,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,5.9694,-26.6821,-32.651500
top15_v4_core_deterioration_refill_downgrade,2023Q2,downgrade,TAP,PKOH,10,14,72,78,-5.0000,2,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,1.2019,42.9506,41.748700
top15_v4_core_deterioration_refill_downgrade,2023Q3,downgrade,ARLO,GBX,3,13,97,78,0,1,weak,,4,0,11.0,0,1,1,1,0,weak_no_theme_repricing_stack,-5.5556,4.6905,10.246100
top15_v4_core_deterioration_refill_downgrade,2023Q3,downgrade,VRT,SHAK,6,14,80,78,-3.0000,1,weak,,1,5,14.0,0,1,1,1,0,weak_no_theme_repricing_stack,17.9765,-26.8144,-44.790900
top15_v4_core_deterioration_refill_downgrade,2023Q3,downgrade,ANF,UBER,9,15,81,78,-7.0000,1,weak,,0,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,42.682,-6.0254,-48.707400
top15_v4_core_deterioration_refill_downgrade,2023Q3,downgrade,HLX,COMP,10,16,88,85,-8,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,5.2743,-42.8571,-48.131400
top15_v4_core_deterioration_refill_downgrade,2023Q4,downgrade,NPKI,GIII,1,12,93,75,-3,1,weak,,4,0,11.0,0,1,1,1,0,weak_no_theme_repricing_stack,-7.9387,-0.5061,7.432600
top15_v4_core_deterioration_refill_downgrade,2023Q4,downgrade,POWL,AMRX,4,13,81,81,1.0000,2,weak,,1,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,83.6631,54.5198,-29.143300
top15_v4_core_deterioration_refill_downgrade,2024Q1,downgrade,HRTG,COMP,2,11,95,87,0,1,weak,,3,0,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,-7.9096,14.0401,21.949700
top15_v4_core_deterioration_refill_downgrade,2024Q1,downgrade,AIOT,BVS,3,13,94,86,0,1,weak,,3,0,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,39.3189,14.5614,-24.757500
top15_v4_core_deterioration_refill_downgrade,2024Q1,downgrade,ANF,CIFR,4,14,85,86,0.0000,1,weak,,0,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,37.3427,31.8493,-5.493400
top15_v4_core_deterioration_refill_downgrade,2024Q1,downgrade,RBBN,NVRI,7,15,91,86,-1,1,weak,,3,0,10.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,2.4845,7.6825,5.198000
top15_v4_core_deterioration_refill_strict,2024Q2,strict,LFST,COMP,4,11,91,84,-1,2,weak,,3,0,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,-17.4095,13.6612,31.070700
top15_v4_core_deterioration_refill_strict,2024Q2,strict,KRO,HRTG,7,12,86,83,-7,2,weak,,4,0,11.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack;selection_rank_7_or_8,-17.9549,-1.1598,16.795100
top15_v4_core_deterioration_refill_downgrade,2024Q2,downgrade,REAL,HRTG,3,12,94,83,0,1,weak,,3,0,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,-21.1196,-1.1598,19.959800
top15_v4_core_deterioration_refill_downgrade,2024Q2,downgrade,LFST,RSI,4,13,91,83,-1,2,weak,,3,0,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,-17.4095,27.3537,44.763200
top15_v4_core_deterioration_refill_downgrade,2024Q2,downgrade,NPKI,WAB,5,14,91,75,0,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,5.7641,-3.1646,-8.928700
top15_v4_core_deterioration_refill_downgrade,2024Q2,downgrade,KRO,EBS,7,15,86,82,-7,2,weak,,4,0,11.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack;selection_rank_7_or_8,-17.9549,330.8475,348.802400
top15_v4_core_deterioration_refill_downgrade,2024Q2,downgrade,NTRA,AMRX,9,18,77,79,-1.0000,2,weak,,0,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,-0.3792,-1.7595,-1.380300
top15_v4_core_deterioration_refill_downgrade,2024Q2,downgrade,VST,CTLP,10,19,77,79,-3.0000,2,weak,,0,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,-17.4297,6.8323,24.262000
top15_v4_core_deterioration_refill_strict,2024Q3,strict,SWIM,DRS,9,11,83,75,-4,2,weak,,3,0,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,65.3266,0.141,-65.185600
top15_v4_core_deterioration_refill_downgrade,2024Q3,downgrade,COMP,GLW,1,12,90,75,-1,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,18.0467,1.2859,-16.760800
top15_v4_core_deterioration_refill_downgrade,2024Q3,downgrade,EVER,RBLX,6,13,77,75,-3.0000,1,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,-37.957,35.5879,73.544900
top15_v4_core_deterioration_refill_downgrade,2024Q3,downgrade,VERX,EPM,7,14,77,82,-4.0000,1,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,41.9686,14.9590,-27.009600
top15_v4_core_deterioration_refill_downgrade,2024Q3,downgrade,GBTG,LFST,8,15,84,82,0,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,8.7201,33.3333,24.613200
top15_v4_core_deterioration_refill_downgrade,2024Q3,downgrade,SWIM,CIFR,9,22,83,79,-4,2,weak,,3,0,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,65.3266,83.7500,18.423400
top15_v4_core_deterioration_refill_strict,2024Q4,strict,VSCO,PBI,2,11,85,86,-1.0000,2,weak,,0,5,10.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,-55.5265,-1.3667,54.159800
top15_v4_core_deterioration_refill_strict,2024Q4,strict,PTON,CNK,6,12,84,78,-1,3,weak,,4,0,15.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,-4.7226,-3.2528,1.469800
top15_v4_core_deterioration_refill_downgrade,2024Q4,downgrade,VSCO,CNK,2,12,85,78,-1.0000,2,weak,,0,5,10.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,-55.5265,-3.2528,52.273700
top15_v4_core_deterioration_refill_downgrade,2024Q4,downgrade,GEV,TRUP,3,13,84,78,1.0000,2,weak,,0,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,49.4349,-8.919,-58.353900
top15_v4_core_deterioration_refill_downgrade,2024Q4,downgrade,PTON,DCGO,6,15,84,84,-1,3,weak,,4,0,15.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack,-4.7226,29.8942,34.616800
top15_v4_core_deterioration_refill_downgrade,2024Q4,downgrade,CDE,RBLX,7,17,89,75,0,1,weak,,4,0,11.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,11.1285,39.6596,28.531100
top15_v4_core_deterioration_refill_downgrade,2024Q4,downgrade,XMTR,AIOT,8,18,81,82,0.0000,2,weak,,1,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,25.7205,60.5660,34.845500
top15_v4_core_deterioration_refill_downgrade,2024Q4,downgrade,LFST,TBLA,9,19,88,82,0,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,3.5019,17.7711,14.269200
top15_v4_core_deterioration_refill_downgrade,2024Q4,downgrade,PAR,EPM,10,20,80,81,0.0000,2,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,-3.3784,-4.8474,-1.469000
top15_v4_core_deterioration_refill_strict,2025Q1,strict,RELY,CEG,8,11,80,75,-1.0000,2,weak,,0,5,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack;selection_rank_7_or_8,-16.9208,-9.7001,7.220700
top15_v4_core_deterioration_refill_downgrade,2025Q1,downgrade,SLQT,CEG,1,11,95,75,1,2,weak,,3,0,14.0,0,1,1,1,0,weak_no_theme_repricing_stack,-58.3333,-9.7001,48.633200
top15_v4_core_deterioration_refill_downgrade,2025Q1,downgrade,ULCC,RBLX,2,12,95,75,0,1,weak,,4,0,15.0,0,1,1,1,0,weak_no_theme_repricing_stack,-56.7118,5.0382,61.750000
top15_v4_core_deterioration_refill_downgrade,2025Q1,downgrade,REAL,AAOI,3,13,92,82,1,2,weak,,3,0,14.0,0,1,1,1,0,weak_no_theme_repricing_stack,-29.5597,-26.4583,3.101400
top15_v4_core_deterioration_refill_downgrade,2025Q1,downgrade,IRTC,SABR,5,14,84,82,0.0000,2,weak,,0,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,20.0607,-37.6812,-57.741900
top15_v4_core_deterioration_refill_downgrade,2025Q1,downgrade,RBBN,STGW,6,15,88,82,-3,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,-21.9616,-24.9612,-2.999600
top15_v4_core_deterioration_refill_downgrade,2025Q1,downgrade,ONC,KRO,7,17,80,81,1.0000,2,weak,,0,5,6.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,-8.7182,-16.3001,-7.581900
top15_v4_core_deterioration_refill_downgrade,2025Q1,downgrade,RELY,MAX,8,18,80,81,-1.0000,2,weak,,0,5,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack;selection_rank_7_or_8,-16.9208,7.0842,24.005000
top15_v4_core_deterioration_refill_strict,2025Q3,strict,CRSR,CWK,8,11,88,85,-5,2,weak,,3,0,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack;selection_rank_7_or_8,-35.8529,16.7289,52.581800
top15_v4_core_deterioration_refill_downgrade,2025Q3,downgrade,PGY,CWK,1,11,81,85,0.0000,2,weak,,1,5,14.0,0,1,1,1,0,weak_no_theme_repricing_stack,-8.065,16.7289,24.793900
top15_v4_core_deterioration_refill_downgrade,2025Q3,downgrade,LITE,INCY,3,16,84,75,0.0000,1,weak,,1,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,104.7607,17.7415,-87.019200
top15_v4_core_deterioration_refill_downgrade,2025Q3,downgrade,SWIM,ORN,4,17,91,82,-2,1,weak,,3,0,6.0,0,1,1,1,0,weak_no_theme_repricing_stack,2.1277,26.3614,24.233700
top15_v4_core_deterioration_refill_downgrade,2025Q3,downgrade,CRDO,RLGT,7,20,81,81,-2.0000,1,weak,,1,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack;selection_rank_7_or_8,37.0992,7.0287,-30.070500
top15_v4_core_deterioration_refill_downgrade,2025Q3,downgrade,CRSR,AIOT,8,21,88,79,-5,2,weak,,3,0,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack;selection_rank_7_or_8,-35.8529,16.3265,52.179400
top15_v4_core_deterioration_refill_downgrade,2025Q3,downgrade,MPAA,ANGO,9,22,86,79,-1,1,weak,,4,0,11.0,0,1,1,1,0,weak_no_theme_repricing_stack,-7.9456,26.6371,34.582700
top15_v4_core_deterioration_refill_strict,2025Q4,strict,APPN,XMTR,8,11,81,80,-1.0000,2,weak,,0,5,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack;selection_rank_7_or_8,-34.6033,1.2275,35.830800
top15_v4_core_deterioration_refill_downgrade,2025Q4,downgrade,VSCO,ORN,4,13,83,84,0.0000,2,weak,,1,5,14.0,0,1,1,1,0,weak_no_theme_repricing_stack,-2.8075,17.6758,20.483300
top15_v4_core_deterioration_refill_downgrade,2025Q4,downgrade,WDC,IRWD,5,16,81,82,0.0000,2,weak,,1,5,14.0,0,1,1,1,0,weak_no_theme_repricing_stack,79.0418,93.6000,14.558200
top15_v4_core_deterioration_refill_downgrade,2025Q4,downgrade,BTSGU,COMP,6,19,84,81,0.0000,2,weak,,0,5,10.0,0,1,1,1,0,weak_no_theme_repricing_stack,26.1418,47.8155,21.673700
top15_v4_core_deterioration_refill_downgrade,2025Q4,downgrade,APPN,AIOT,8,22,81,80,-1.0000,2,weak,,0,5,6.0,1,1,1,1,1,high_score_deterioration;weak_no_theme_repricing_stack;selection_rank_7_or_8,-34.6033,-7.7220,26.881300
