variant,quarter,selection_rank,selected_sleeve,selected_sleeve_rank,ticker,core_refill_source,demoted_replacement_for,right_tail_exception_score,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
top15_v4_core_deterioration_refill_strict,2021Q4,1,core,1,DNOW,original_top10,,,11.3367,9.4191,-4.0045,-1.5228,2.6509
top15_v4_core_deterioration_refill_strict,2021Q4,2,core,2,KLXE,original_top10,,,-1.4535,1.7442,27.6163,65.6977,157.5581
top15_v4_core_deterioration_refill_strict,2021Q4,3,core,3,RES,original_top10,,,-7.401,-22.3752,-27.7108,-18.0723,7.2289
top15_v4_core_deterioration_refill_strict,2021Q4,4,core,4,SMCI,original_top10,,,4.057,0.8935,4.3951,10.1666,0.7003
top15_v4_core_deterioration_refill_strict,2021Q4,5,core,5,SXC,original_top10,,,-6.5007,-10.9267,-12.0332,-5.6708,-5.2559
top15_v4_core_deterioration_refill_strict,2021Q4,6,core,6,TH,original_top10,,,20,-0.5,-11.25,-5.75,-17
top15_v4_core_deterioration_refill_strict,2021Q4,7,core,7,TWI,original_top10,,,-2.1302,-11.1243,-11.1243,39.645,14.9112
top15_v4_core_deterioration_refill_strict,2021Q4,8,core,8,RELL,original_top10,,,18.768,4.4273,12.3195,3.2724,21.6554
top15_v4_core_deterioration_refill_strict,2021Q4,9,core,9,ARLO,original_top10,,,9.2391,5.2989,22.6902,30.0272,19.5652
top15_v4_core_deterioration_refill_strict,2021Q4,10,core,10,CRK,original_top10,,,0.3243,-6.7027,-17.8378,-8,-10.7027
top15_v4_core_deterioration_refill_strict,2021Q4,11,right_tail_exception,1,EXTR,,,97.0,3.4632,15.9307,14.3723,36.4502,8.1385
top15_v4_core_deterioration_refill_strict,2021Q4,12,right_tail_exception,2,STX,,,80.0,7.5742,19.2685,14.0535,28.2425,9.6738
top15_v4_core_deterioration_refill_downgrade,2021Q4,1,core,1,DNOW,original_top10,,,11.3367,9.4191,-4.0045,-1.5228,2.6509
top15_v4_core_deterioration_refill_downgrade,2021Q4,2,core,2,KLXE,original_top10,,,-1.4535,1.7442,27.6163,65.6977,157.5581
top15_v4_core_deterioration_refill_downgrade,2021Q4,3,core,3,RES,original_top10,,,-7.401,-22.3752,-27.7108,-18.0723,7.2289
top15_v4_core_deterioration_refill_downgrade,2021Q4,4,core,4,SMCI,original_top10,,,4.057,0.8935,4.3951,10.1666,0.7003
top15_v4_core_deterioration_refill_downgrade,2021Q4,5,core,5,SXC,original_top10,,,-6.5007,-10.9267,-12.0332,-5.6708,-5.2559
top15_v4_core_deterioration_refill_downgrade,2021Q4,6,core,6,TH,original_top10,,,20,-0.5,-11.25,-5.75,-17
top15_v4_core_deterioration_refill_downgrade,2021Q4,7,core,7,TWI,original_top10,,,-2.1302,-11.1243,-11.1243,39.645,14.9112
top15_v4_core_deterioration_refill_downgrade,2021Q4,8,core,8,RELL,original_top10,,,18.768,4.4273,12.3195,3.2724,21.6554
top15_v4_core_deterioration_refill_downgrade,2021Q4,9,core,9,ARLO,original_top10,,,9.2391,5.2989,22.6902,30.0272,19.5652
top15_v4_core_deterioration_refill_downgrade,2021Q4,10,core,10,CRK,original_top10,,,0.3243,-6.7027,-17.8378,-8,-10.7027
top15_v4_core_deterioration_refill_downgrade,2021Q4,11,right_tail_exception,1,EXTR,,,97.0,3.4632,15.9307,14.3723,36.4502,8.1385
top15_v4_core_deterioration_refill_downgrade,2021Q4,12,right_tail_exception,2,STX,,,80.0,7.5742,19.2685,14.0535,28.2425,9.6738
top15_v4_core_deterioration_refill_strict,2022Q1,1,core,1,ARLO,original_top10,,,-8.7087,-8.8088,-12.2122,-21.021,-29.1291
top15_v4_core_deterioration_refill_strict,2022Q1,2,core,2,ZETA,original_top10,,,10.2747,10.7833,15.1577,16.175,-24.0081
top15_v4_core_deterioration_refill_strict,2022Q1,3,core,3,UFCS,original_top10,,,-3.2586,-3.1535,-0.4555,3.609,8.8647
top15_v4_core_deterioration_refill_strict,2022Q1,4,core,4,HLIT,original_top10,,,-6.5306,-7.8571,-6.2245,-5,-12.2449
top15_v4_core_deterioration_refill_strict,2022Q1,5,core,5,GNE,original_top10,,,-5.2174,-2.1739,-3.4783,-8.9855,23.0435
top15_v4_core_deterioration_refill_strict,2022Q1,6,core,6,GTX,original_top10,,,-0.1397,-10.0559,1.5363,-1.257,-19.8324
top15_v4_core_deterioration_refill_strict,2022Q1,7,core,7,LMB,original_top10,,,0.1464,2.489,-4.6852,-12.2987,-12.8843
top15_v4_core_deterioration_refill_strict,2022Q1,8,core,8,ORGO,original_top10,,,-10.1966,-5.8968,-3.0713,-18.059,-31.0811
top15_v4_core_deterioration_refill_strict,2022Q1,9,core,9,EZPW,original_top10,,,-4.5942,-4.7473,-14.8545,-8.8821,9.9541
top15_v4_core_deterioration_refill_strict,2022Q1,10,core,10,KOS,original_top10,,,26.3158,32.996,45.5466,38.2591,56.6802
top15_v4_core_deterioration_refill_strict,2022Q1,11,right_tail_exception,1,ASIX,,,105.0,25.4908,43.9496,57.3103,38.2948,31.4679
top15_v4_core_deterioration_refill_strict,2022Q1,12,right_tail_exception,2,RES,,,102.0,10.3125,24.375,37.0313,66.7187,58.2812
top15_v4_core_deterioration_refill_strict,2022Q1,13,right_tail_exception,3,TH,,,102.0,18.1633,22.449,16.1224,36.9388,36.3265
top15_v4_core_deterioration_refill_strict,2022Q1,14,right_tail_exception,4,CROX,,,85.0,-11.4343,-22.6042,-13.846,-22.784,-41.5697
top15_v4_core_deterioration_refill_strict,2022Q1,15,right_tail_exception,5,PZZA,,,85.0,-10.4469,-4.6684,-3.0458,-8.6061,-19.3662
top15_v4_core_deterioration_refill_downgrade,2022Q1,1,core,1,ZETA,original_top10,,,10.2747,10.7833,15.1577,16.175,-24.0081
top15_v4_core_deterioration_refill_downgrade,2022Q1,2,core,2,UFCS,original_top10,,,-3.2586,-3.1535,-0.4555,3.609,8.8647
top15_v4_core_deterioration_refill_downgrade,2022Q1,3,core,3,GNE,original_top10,,,-5.2174,-2.1739,-3.4783,-8.9855,23.0435
top15_v4_core_deterioration_refill_downgrade,2022Q1,4,core,4,GTX,original_top10,,,-0.1397,-10.0559,1.5363,-1.257,-19.8324
top15_v4_core_deterioration_refill_downgrade,2022Q1,5,core,5,LMB,original_top10,,,0.1464,2.489,-4.6852,-12.2987,-12.8843
top15_v4_core_deterioration_refill_downgrade,2022Q1,6,core,6,EZPW,original_top10,,,-4.5942,-4.7473,-14.8545,-8.8821,9.9541
top15_v4_core_deterioration_refill_downgrade,2022Q1,7,core,7,KOS,original_top10,,,26.3158,32.996,45.5466,38.2591,56.6802
top15_v4_core_deterioration_refill_downgrade,2022Q1,8,core,8,RES,next_ranked_core_candidate,ARLO,,10.3125,24.375,37.0313,66.7187,58.2812
top15_v4_core_deterioration_refill_downgrade,2022Q1,9,core,9,SMCI,next_ranked_core_candidate,HLIT,,-12.523,-9.9724,-4.4807,-13.2813,-0.6664
top15_v4_core_deterioration_refill_downgrade,2022Q1,10,core,10,SXC,next_ranked_core_candidate,ORGO,,10.1429,10.2857,39,26.7143,19.5714
top15_v4_core_deterioration_refill_downgrade,2022Q1,11,right_tail_exception,1,ASIX,,,105.0,25.4908,43.9496,57.3103,38.2948,31.4679
top15_v4_core_deterioration_refill_downgrade,2022Q1,12,right_tail_exception,2,TH,,,102.0,18.1633,22.449,16.1224,36.9388,36.3265
top15_v4_core_deterioration_refill_downgrade,2022Q1,13,right_tail_exception,3,CRK,,,99.0,12.3139,29.0934,27.0636,144.3843,125.7104
top15_v4_core_deterioration_refill_downgrade,2022Q1,14,right_tail_exception,4,CROX,,,85.0,-11.4343,-22.6042,-13.846,-22.784,-41.5697
top15_v4_core_deterioration_refill_downgrade,2022Q1,15,right_tail_exception,5,PZZA,,,85.0,-10.4469,-4.6684,-3.0458,-8.6061,-19.3662
top15_v4_core_deterioration_refill_strict,2022Q2,1,core,1,KOS,original_top10,,,11.6129,24.8387,31.129,-13.871,-5
top15_v4_core_deterioration_refill_strict,2022Q2,2,core,2,TH,original_top10,,,-10.6767,-4.5113,-0.7519,36.391,84.3609
