variant,quarter,selected_exception_count,available_exception_candidate_count,warning_codes,selected_exception_tickers,single_rm_exception_count,rm2plus_exception_count,no_theme_no_llm_exception_count
high_conviction_top15_v3_exception_sleeve,2021Q4,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;EXCEPTION_SHORTFALL_SELECTED_3_OF_5;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,KLXE;TWI;STX,2,0,2
top15_conservative_10_core_3_exception,2021Q4,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,KLXE;TWI;STX,2,0,2
top15_rm1_priority_max2_rm2plus,2021Q4,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;EXCEPTION_SHORTFALL_SELECTED_3_OF_5;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,KLXE;TWI;STX,2,0,2
high_conviction_top15_v3_exception_sleeve,2022Q1,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,ARLO;ASIX;KOS;UFCS;CROX,3,0,2
top15_conservative_10_core_3_exception,2022Q1,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,ARLO;ASIX;KOS,3,0,2
top15_rm1_priority_max2_rm2plus,2022Q1,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,ARLO;ASIX;KOS;UFCS;CROX,3,0,2
high_conviction_top15_v3_exception_sleeve,2022Q2,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,KOS;TH;ARCB;FELE;SKY,2,0,2
top15_conservative_10_core_3_exception,2022Q2,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,KOS;TH;ARCB,2,0,2
top15_rm1_priority_max2_rm2plus,2022Q2,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,KOS;TH;ARCB;FELE;SKY,2,0,2
high_conviction_top15_v3_exception_sleeve,2022Q3,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,KLXE;HIMS;RDNW;INSW;HAE,2,0,2
top15_conservative_10_core_3_exception,2022Q3,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,KLXE;HIMS;RDNW,2,0,2
top15_rm1_priority_max2_rm2plus,2022Q3,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,KLXE;HIMS;RDNW;INSW;HAE,2,0,2
high_conviction_top15_v3_exception_sleeve,2022Q4,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,POWL;LMB;NTNX;ACLS;FET,3,0,2
top15_conservative_10_core_3_exception,2022Q4,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,POWL;LMB;NTNX,2,0,2
top15_rm1_priority_max2_rm2plus,2022Q4,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,POWL;LMB;NTNX;ACLS;FET,3,0,2
high_conviction_top15_v3_exception_sleeve,2023Q1,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,AAOI;HIMS;CTLP;DUOL;RPD,4,0,2
top15_conservative_10_core_3_exception,2023Q1,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;HIMS;CTLP,3,0,2
top15_rm1_priority_max2_rm2plus,2023Q1,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,AAOI;HIMS;CTLP;DUOL;RPD,4,0,2
high_conviction_top15_v3_exception_sleeve,2023Q2,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,ARLO;CCL;GRBK;EXAS;TAP,3,0,2
top15_conservative_10_core_3_exception,2023Q2,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,ARLO;CCL;GRBK,3,0,2
top15_rm1_priority_max2_rm2plus,2023Q2,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,ARLO;CCL;GRBK;EXAS;TAP,3,0,2
high_conviction_top15_v3_exception_sleeve,2023Q3,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;SMCI;ARLO;CIFR;VRT,5,0,1
top15_conservative_10_core_3_exception,2023Q3,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;SMCI;ARLO,3,0,1
top15_rm1_priority_max2_rm2plus,2023Q3,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;SMCI;ARLO;CIFR;VRT,5,0,1
high_conviction_top15_v3_exception_sleeve,2023Q4,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,NPKI;MTRX;AAOI;ANF;POWL,5,0,2
top15_conservative_10_core_3_exception,2023Q4,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,NPKI;MTRX;AAOI,3,0,2
top15_rm1_priority_max2_rm2plus,2023Q4,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,NPKI;MTRX;AAOI;ANF;POWL,5,0,2
high_conviction_top15_v3_exception_sleeve,2024Q1,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,HRTG;AIOT;VST;MU;CIFR,4,0,2
top15_conservative_10_core_3_exception,2024Q1,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,HRTG;AIOT;VST,3,0,2
