ticker,quarter,return_90d_pct,old_v2_status,top15_status,selected_sleeve,selected_sleeve_rank,right_tail_exception_score,mechanical_exclusion_before,mechanical_status_after
AAOI,2023Q2,311.8750,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
AAOI,2023Q4,103.3369,selected,selected,core,5,,SELECTED,SELECTED
ACLS,2022Q4,100.1217,missed,selected,right_tail_exception,1,103.0,NOT_RANKED_IN_SELECTED_SLOTS,SELECTED
AEHR,2025Q2,116.4051,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
AEHR,2025Q3,110.2090,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
AEHR,2026Q1,188.1172,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
AI,2022Q4,106.6611,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
APEI,2023Q4,112.3809,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
APP,2024Q3,140.6138,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
ARLO,2023Q1,133.9759,selected,selected,core,3,,SELECTED,SELECTED
ARWR,2025Q3,154.6624,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
AXTI,2025Q3,130.8696,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
AXTI,2026Q1,196.7843,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
BBBY,2025Q2,123.9131,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
BE,2024Q4,124.2534,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
BE,2025Q3,290.5009,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
BVS,2023Q1,156.8807,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
BVS,2023Q2,274.5902,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
CIFR,2025Q3,337.7016,selected,selected,core,5,,SELECTED,SELECTED
CODI,2026Q1,113.5802,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
CORZ,2024Q1,151.7341,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
CORZ,2024Q2,169.0411,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
CRDO,2024Q3,152.5064,missed,selected,right_tail_exception,2,105.0,NOT_RANKED_IN_SELECTED_SLOTS,SELECTED
CRK,2022Q1,125.7104,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
CRNC,2024Q4,431.0526,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
CTEV,2023Q2,170.8333,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
CTEV,2024Q4,112.4318,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
CTEV,2025Q2,155.4419,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
CVNA,2023Q2,416.351,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
EBS,2024Q1,144.3223,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
EBS,2024Q2,330.8475,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
EVER,2022Q4,148.0127,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
EXPI,2023Q2,113.2155,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
FLNC,2022Q2,155.8779,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
FLNC,2025Q2,101.4303,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
FLNC,2025Q3,181.5246,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
FUBO,2024Q4,177.3333,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
FWRD,2025Q2,106.8063,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
GEO,2024Q3,108.3399,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
GOLD,2025Q4,146.2188,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
GRPN,2023Q2,112.2995,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
GRPN,2025Q1,166.2041,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
HOOD,2025Q2,107.5306,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
ICHR,2026Q1,144.9206,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IREN,2023Q1,151.4970,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IREN,2023Q4,117.4194,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IREN,2024Q2,111.3903,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
