variant,quarter,selection_rank,selected_sleeve,selected_sleeve_rank,ticker,right_tail_exception_score,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,snapshot_date,tradable_date,hc_score,entry_score_0_100,score,composite_score,tier_0_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,hp0_high_price_broad,hp1_quality_pullback,hp2_dislocation_momentum_priority,hp2_dislocation_momentum_watch,hp3_large_quality_theme_exception,hp4_score_reacceleration_watch,hp_production_extension,hp_research_extension,hp_LLM_best,rm1_low_price_dislocation_momentum,rm2_weak_acceleration,rm3_mid_price_dislocation_momentum,rm4_persistent_repricing_wave,rm_buy_review_flag,primary_theme,secondary_themes,theme_role,theme_confidence,theme_driver_type,theme_momentum,theme_acceleration_score,theme_tailwind_score,theme_acceleration_research_visibility,theme_acceleration_rescan_flag,akg_universe_tier,tier_structure_score,hp_structure_score,scoring_formula_version,tier_rule_version,hp_rule_version,rm_rule_version,theme_rule_version,repricing_momentum_priority,market_repricing_score,macro_entry_action,risk_penalty_score,post_llm_demote_flag,winner_90d_30pct,loser_90d_minus30pct,entry_open,entry_qoq_pct,prior_entry_qoq_pct,score_change,pre_llm_fundamental_score,pre_llm_fundamental_bucket,revenue_bucket,repricing_momentum_extension,post_llm_candidate_flag,post_llm_high_priority_flag,causal_change,negative_revision_risk,narrative_delta_bucket,operating_leverage_quality,durability,score_addition,macro_mode,macro_spy,macro_position_size_multiplier,total_structure_score,llm_business_improvement_score,fundamental_rerating_score,entry_raw_score,selected,right_tail_exception_score_contributions,right_tail_exception_reason_codes,operating_setting,operating_setting_validation_status,portfolio_max_positions,rm_signal_bucket,rm_active_fields,rm_operating_guidance,hp_signal_bucket,hp_active_fields,hp_operating_guidance,macro_permission_guidance,akg_theme_validation_guidance,portfolio_treatment,right_tail_exception_warning_codes
high_conviction_top10_v2_final,2021Q4,1,core,1,DNOW,,11.3367,9.4191,-4.0045,-1.5228,2.6509,11/4/21,11/4/21,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,False,False,8.865,,,,6,strong,$1B-$2B,,1,1,3,1,inflecting,2,2,3,,,,25,45,11,81,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2021Q4,2,core,2,KLXE,,-1.4535,1.7442,27.6163,65.6977,157.5581,12/13/21,12/13/21,81.000000,81,81.000000,81.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,1,,,,,,,,0,,,,30,0,,,,,,,0,,3,0,True,False,3.44,,,,-2,weak,$100M-$500M,,1,1,3,2,inflecting,2,1,3,,,,30,45,9,81,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2021Q4,3,core,3,RES,,-7.401,-22.3752,-27.7108,-18.0723,7.2289,10/28/21,10/28/21,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,False,False,5.81,,,,5,good,$100M-$500M,,1,1,3,2,inflecting,2,1,3,,,,25,45,9,79,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2021Q4,4,core,4,SMCI,,4.057,0.8935,4.3951,10.1666,0.7003,11/3/21,11/3/21,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,0,,,,,,,,0,,,,30,0,,,,,,,0,,2,0,False,False,4.141,,,,7,strong,$2B-$10B,,1,0,3,2,constructive,1,2,1,,,,30,40,11,79,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2021Q4,5,core,5,SXC,,-6.5007,-10.9267,-12.0332,-5.6708,-5.2559,11/2/21,11/2/21,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,False,False,7.23,,,,7,strong,$1B-$2B,,1,1,3,0,inflecting,2,2,3,,,,25,45,9,79,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2021Q4,6,core,6,TH,,20,-0.5,-11.25,-5.75,-17,11/3/21,11/3/21,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,0,,,,,,,,0,,,,30,0,,,,,,,0,,2,0,False,False,4,,,,6,strong,$100M-$500M,,1,1,3,0,inflecting,2,2,3,,,,30,45,6,79,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2021Q4,7,core,7,TWI,,-2.1302,-11.1243,-11.1243,39.645,14.9112,11/5/21,11/5/21,79.000000,79,79.000000,79.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,False,False,8.45,,,,4,good,$500M-$1B,,1,1,3,1,inflecting,2,2,3,,,,25,45,9,79,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2021Q4,8,core,8,RELL,,18.768,4.4273,12.3195,3.2724,21.6554,10/7/21,10/7/21,78.000000,78,78.000000,78.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,,0,,0,0,False,False,10.39,,,,0,mixed,$100M-$500M,,1,1,3,1,inflecting,2,2,3,,,,22,45,11,78,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2021Q4,9,core,9,ARLO,,9.2391,5.2989,22.6902,30.0272,19.5652,11/10/21,11/10/21,77.000000,77,77.000000,77.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,29,0,,,,,,,0,,0,0,False,False,7.36,,,,-2,weak,$100M-$500M,,1,0,3,2,constructive,1,2,1,,,,29,40,8,77,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2021Q4,10,core,10,CRK,,0.3243,-6.7027,-17.8378,-8,-10.7027,11/3/21,11/3/21,76.000000,76,76.000000,76.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,,0,,0,0,False,False,9.25,,,,7,strong,$100M-$500M,,1,1,3,2,inflecting,2,2,3,,,,25,45,6,76,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2022Q1,1,core,1,ARLO,,-8.7087,-8.8088,-12.2122,-21.021,-29.1291,3/2/22,3/2/22,91.000000,91,91.000000,91.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,RM1 - Low-price dislocation momentum,RM2 - Weak-bucket acceleration,,,1,,,,,,,,0,,,,29,0,,,,,,Repricing momentum priority,6,,0,0,False,False,9.99,35.73,,0,-2,weak,$100M-$500M,Repricing momentum extension,1,1,3,2,inflecting,2,2,3,,,,29,45,11,91,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2022Q1,2,core,2,ZETA,,10.2747,10.7833,15.1577,16.175,-24.0081,2/24/22,2/24/22,83.000000,83,83.000000,83.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,,0,,1,0,False,False,9.83,-3.53,,0,0,mixed,$100M-$500M,,1,1,3,1,inflecting,2,2,3,,,,29,45,10,83,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2022Q1,3,core,3,UFCS,,-3.2586,-3.1535,-0.4555,3.609,8.8647,2/16/22,2/16/22,83.000000,75,83.000000,83.000000,,,,,,HP0 - High-price broad watchlist,,HP2 - Dislocation momentum re-rater,,,,HP production extension,HP research extension,1,,,,,0,,,,,,,,0,,,,0,18,,,,,,,6,,0,0,False,False,28.540001,35.5176,,-3.0000,0.0,mixed,$500M-$1B,,1,1,3,1,inflecting,2,2,3,,,,18,45,6,75,True,,,,,,,,,,,,,,,
high_conviction_top10_v2_final,2022Q1,4,core,4,HLIT,,-6.5306,-7.8571,-6.2245,-5,-12.2449,2/1/22,2/1/22,82.000000,82,82.000000,82.000000,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,,0,,1,0,False,False,9.8,-4.85,,-2,-3,weak,$100M-$500M,,1,0,3,2,constructive,1,2,1,,,,29,45,9,82,True,,,,,,,,,,,,,,,
