variant,quarter,pick_count,eligible_count,shortfall,avg_return_10d_pct,avg_return_20d_pct,avg_return_30d_pct,avg_return_60d_pct,avg_return_90d_pct,winner_90d_30pct_rate,loser_90d_minus30pct_rate
high_conviction_top10_v2_final,2021Q4,10,1194,False,4.623970,-2.984590,-1.693950,10.979300,19.131140,0.100000,0.000000
high_conviction_top15_v3_exception_sleeve,2021Q4,3,1194,True,1.330167,3.296133,10.181833,44.528400,60.714367,0.333333,0.000000
top15_conservative_10_core_3_exception,2021Q4,3,1194,True,1.330167,3.296133,10.181833,44.528400,60.714367,0.333333,0.000000
top15_rm1_priority_max2_rm2plus,2021Q4,3,1194,True,1.330167,3.296133,10.181833,44.528400,60.714367,0.333333,0.000000
high_conviction_top10_v2_final,2022Q1,10,1201,False,-0.190890,0.357500,1.725910,-1.746020,-3.063740,0.100000,0.100000
high_conviction_top15_v3_exception_sleeve,2022Q1,5,1201,True,5.681000,8.475820,15.268640,7.271580,5.262800,0.400000,0.200000
top15_conservative_10_core_3_exception,2022Q1,3,1201,True,14.365967,22.712267,30.214900,18.510967,19.673000,0.666667,0.000000
top15_rm1_priority_max2_rm2plus,2022Q1,5,1201,True,5.681000,8.475820,15.268640,7.271580,5.262800,0.400000,0.200000
high_conviction_top10_v2_final,2022Q2,10,1209,False,2.130850,11.123990,10.721400,1.245010,16.077360,0.200000,0.000000
high_conviction_top15_v3_exception_sleeve,2022Q2,5,1209,True,1.594300,1.762360,6.641440,7.426380,27.190820,0.200000,0.000000
top15_conservative_10_core_3_exception,2022Q2,3,1209,True,0.606267,4.847767,11.542300,6.216767,32.884967,0.333333,0.000000
top15_rm1_priority_max2_rm2plus,2022Q2,5,1209,True,1.594300,1.762360,6.641440,7.426380,27.190820,0.200000,0.000000
high_conviction_top10_v2_final,2022Q3,10,1218,False,2.281400,0.890910,2.510310,-2.029910,11.533630,0.300000,0.300000
high_conviction_top15_v3_exception_sleeve,2022Q3,5,1218,True,-0.345060,-2.621340,2.826680,-1.050620,26.369420,0.400000,0.400000
top15_conservative_10_core_3_exception,2022Q3,3,1218,True,-4.623700,-7.135767,-3.446667,-10.545533,18.742167,0.333333,0.666667
top15_rm1_priority_max2_rm2plus,2022Q3,5,1218,True,-0.345060,-2.621340,2.826680,-1.050620,26.369420,0.400000,0.400000
high_conviction_top10_v2_final,2022Q4,10,1221,False,9.140790,8.319430,7.296120,11.061860,23.953170,0.300000,0.000000
high_conviction_top15_v3_exception_sleeve,2022Q4,5,1221,True,14.702900,17.449500,15.568880,21.997760,40.038220,0.600000,0.000000
top15_conservative_10_core_3_exception,2022Q4,3,1221,True,13.266400,15.642133,12.672500,23.655733,28.717667,0.666667,0.000000
top15_rm1_priority_max2_rm2plus,2022Q4,5,1221,True,14.702900,17.449500,15.568880,21.997760,40.038220,0.600000,0.000000
high_conviction_top10_v2_final,2023Q1,10,1221,False,4.634470,0.755580,0.487150,4.908580,13.914170,0.200000,0.100000
high_conviction_top15_v3_exception_sleeve,2023Q1,5,1221,True,-0.194340,0.095200,-6.100060,1.611220,0.366560,0.200000,0.200000
top15_conservative_10_core_3_exception,2023Q1,3,1221,True,-4.392300,-6.404167,-15.325000,-5.657533,-11.110300,0.000000,0.333333
top15_rm1_priority_max2_rm2plus,2023Q1,5,1221,True,-0.194340,0.095200,-6.100060,1.611220,0.366560,0.200000,0.200000
high_conviction_top10_v2_final,2023Q2,10,1220,False,10.948500,9.103130,13.866300,24.431050,22.049000,0.400000,0.000000
high_conviction_top15_v3_exception_sleeve,2023Q2,5,1220,True,16.297920,13.141820,17.025840,22.916180,15.592660,0.400000,0.000000
top15_conservative_10_core_3_exception,2023Q2,3,1220,True,26.574900,23.402100,25.946200,31.405933,23.597333,0.666667,0.000000
top15_rm1_priority_max2_rm2plus,2023Q2,5,1220,True,16.297920,13.141820,17.025840,22.916180,15.592660,0.400000,0.000000
high_conviction_top10_v2_final,2023Q3,10,1246,False,10.624910,10.750550,11.704250,8.520880,9.663700,0.200000,0.000000
