column,mismatches,both_nonblank_compared,old_blank_new_value,old_value_new_blank,examples
base_entry_raw_score,20176,0,0,20176,2022Q1 A old=6 new= | 2022Q1 AAP old=3 new= | 2022Q1 AAT old=3 new= | 2022Q1 ABG old=5 new= | 2022Q1 ABM old=8 new=
base_entry_score_0_100,20176,0,0,20176,2022Q1 A old=6 new= | 2022Q1 AAP old=3 new= | 2022Q1 AAT old=3 new= | 2022Q1 ABG old=5 new= | 2022Q1 ABM old=8 new=
extended_candidate_universe,20176,7629,12547,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
extended_research_universe,20176,8187,11989,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
final_rank_score_0_100,20176,0,0,20176,2022Q1 A old=6 new= | 2022Q1 AAP old=3 new= | 2022Q1 AAT old=3 new= | 2022Q1 ABG old=5 new= | 2022Q1 ABM old=8 new=
hp0_high_price_broad,20176,13714,6462,0,2022Q1 A old=HP0 - High-price broad watchlist new=1 | 2022Q1 AAP old=HP0 - High-price broad watchlist new=1 | 2022Q1 AAT old=HP0 - High-price broad watchlist new=1 | 2022Q1 ABG old=HP0 - High-price broad watchlist new=1 | 2022Q1 ABM old=HP0 - High-price broad watchlist new=1
hp1_quality_pullback,20176,801,19375,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
hp2_dislocation_momentum_priority,20176,379,19797,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
hp2_dislocation_momentum_watch,20176,108,20068,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
hp3_large_quality_theme_exception,20176,154,20022,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
hp4_score_reacceleration_watch,20176,843,19333,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
hp_adjusted_entry_score,20176,0,0,20176,2022Q1 A old=6 new= | 2022Q1 AAP old=3 new= | 2022Q1 AAT old=3 new= | 2022Q1 ABG old=5 new= | 2022Q1 ABM old=8 new=
hp_adjusted_entry_score_bucket,20176,0,0,20176,2022Q1 A old=Low priority unless theme override exists new= | 2022Q1 AAP old=Low priority unless theme override exists new= | 2022Q1 AAT old=Low priority unless theme override exists new= | 2022Q1 ABG old=Low priority unless theme override exists new= | 2022Q1 ABM old=Low priority unless theme override exists new=
hp_adjusted_raw_score,20176,0,0,20176,2022Q1 A old=6 new= | 2022Q1 AAP old=3 new= | 2022Q1 AAT old=3 new= | 2022Q1 ABG old=5 new= | 2022Q1 ABM old=8 new=
hp_production_extension,20176,1327,18849,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
hp_research_extension,20176,2228,17948,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
in_hp1_hp4_post_llm_file,20176,2228,17948,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
monitoring_adjustment,20176,0,0,20176,2022Q1 A old=0 new= | 2022Q1 AAP old=0 new= | 2022Q1 AAT old=0 new= | 2022Q1 ABG old=0 new= | 2022Q1 ABM old=0 new=
monitoring_score_0_100,20176,0,0,20176,2022Q1 A old=6 new= | 2022Q1 AAP old=3 new= | 2022Q1 AAT old=3 new= | 2022Q1 ABG old=5 new= | 2022Q1 ABM old=8 new=
rank_score_label,20176,0,0,20176,2022Q1 A old=Avoid / stale / low priority new= | 2022Q1 AAP old=Avoid / stale / low priority new= | 2022Q1 AAT old=Avoid / stale / low priority new= | 2022Q1 ABG old=Stop / review new= | 2022Q1 ABM old=Avoid / stale / low priority new=
return_10d_pct,20176,0,0,20176,2022Q1 A old=0.3542 new= | 2022Q1 AAP old=-4.9958 new= | 2022Q1 AAT old=1.9464 new= | 2022Q1 ABG old=10.1646 new= | 2022Q1 ABM old=-3.1888 new=
return_20d_pct,20174,0,0,20174,2022Q1 A old=0.308 new= | 2022Q1 AAP old=-6.9646 new= | 2022Q1 AAT old=2.2567 new= | 2022Q1 ABG old=6.277 new= | 2022Q1 ABM old=-3.2313 new=
return_30d_pct,20171,0,0,20171,2022Q1 A old=4.4888 new= | 2022Q1 AAP old=-3.7896 new= | 2022Q1 AAT old=2.6516 new= | 2022Q1 ABG old=8.0079 new= | 2022Q1 ABM old=2.8912 new=
return_60d_pct,19923,0,0,19923,2022Q1 A old=-6.4906 new= | 2022Q1 AAP old=0.8642 new= | 2022Q1 AAT old=-0.2539 new= | 2022Q1 ABG old=-12.0885 new= | 2022Q1 ABM old=-3.1037 new=
prior_score_addition,19804,108,0,19804,2022Q1 A old=0 new= | 2022Q1 AAP old=0 new= | 2022Q1 AAT old=0 new= | 2022Q1 ABG old=0 new= | 2022Q1 ABM old=0 new=
return_90d_pct,19112,0,0,19112,2022Q1 A old=-4.2116 new= | 2022Q1 AAP old=-1.2432 new= | 2022Q1 AAT old=-8.7729 new= | 2022Q1 ABG old=9.4892 new= | 2022Q1 ABM old=6.5264 new=
pre_llm_fundamental_score,16344,20102,74,0,2022Q1 A old=5 new=7 | 2022Q1 AAP old=6 new=-1 | 2022Q1 ABG old=4 new=5 | 2022Q1 ABM old=6 new=4 | 2022Q1 ABNB old=-4 new=4
prior_pre_llm_fundamental_score,16319,19787,331,34,2022Q1 AAP old=4.0 new=-1.0 | 2022Q1 AAT old=5.0 new=6.0 | 2022Q1 ABG old=4.0 new=5.0 | 2022Q1 ABM old=5.0 new=4.0 | 2022Q1 ABNB old=-4.0 new=4.0
post_llm_candidate_flag,15980,5908,14268,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
post_llm_demote_flag,15805,5908,14268,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
