column,old_present,new_present,old_nonblank,new_nonblank
tradable_date,True,True,21994,22025
entry_open,True,True,21994,22003
entry_qoq_pct,True,True,20504,20841
prior_entry_qoq_pct,False,True,,19527
pre_llm_fundamental_score,True,True,21866,22025
pre_llm_fundamental_bucket,True,True,21994,22025
prior_pre_llm_fundamental_score,True,True,20380,21886
score_change,True,True,20379,21886
profitability_score,True,True,21910,22025
operating_cash_flow_score,True,True,21874,22025
fcf_proxy_score,True,True,21868,22025
financing_dependence_score,True,True,21902,22025
asset_efficiency_score,True,True,21915,22025
revenue_bucket,True,True,21917,22025
tier_structure_score,True,True,21994,22025
hp_structure_score,True,True,21994,22025
total_structure_score,True,True,21994,22025
llm_business_improvement_score,True,True,21994,22025
fundamental_rerating_score,True,True,21994,22025
risk_penalty_score,True,True,21994,22025
entry_raw_score,True,True,21994,22025
entry_score_0_100,True,True,21994,22025
base_entry_raw_score,True,True,21994,0
base_entry_score_0_100,True,True,21994,0
monitoring_score_0_100,True,True,21994,0
final_rank_score_0_100,True,True,21994,0
rank_score_label,True,True,21994,0
return_10d_pct,True,True,21994,0
return_20d_pct,True,True,21992,0
return_30d_pct,True,True,21986,0
return_60d_pct,True,True,21724,0
return_90d_pct,True,True,20887,0
post_llm_candidate_flag,True,True,6199,22025
post_llm_high_priority_flag,True,True,6199,22025
post_llm_demote_flag,True,True,6199,22025
has_post_llm,True,True,21994,22025
causal_change,True,True,6199,5525
negative_revision_risk,True,True,6199,5525
narrative_delta_bucket,True,True,6199,5525
