quarter,field,ticker,old,new
2022Q1,tradable_date,A,2/23/22,2022-03-04
2022Q1,tradable_date,AAP,2/15/22,2022-02-16
2022Q1,tradable_date,AAT,2/9/22,2022-02-14
2022Q1,tradable_date,ABG,2/16/22,2022-03-02
2022Q1,tradable_date,ABM,3/9/22,2022-03-10
2022Q1,entry_open,A,129.880005,135.85000610351562
2022Q1,entry_open,AAP,216.380005,221.27000427246094
2022Q1,entry_open,AAT,35.450001,35.439998626708984
2022Q1,entry_open,ABG,176.199997,192.8300018310547
2022Q1,entry_open,ABM,47.040001,46.5
2022Q1,pre_llm_fundamental_score,A,5,7
2022Q1,pre_llm_fundamental_score,AAP,6,-1
2022Q1,pre_llm_fundamental_score,ABG,4,5
2022Q1,pre_llm_fundamental_score,ABM,6,4
2022Q1,pre_llm_fundamental_score,ABNB,-4,4
2022Q1,pre_llm_fundamental_bucket,A,good,strong
2022Q1,pre_llm_fundamental_bucket,AAP,strong,weak
2022Q1,pre_llm_fundamental_bucket,ABM,strong,good
2022Q1,pre_llm_fundamental_bucket,ABNB,weak,good
2022Q1,pre_llm_fundamental_bucket,ABT,strong,mixed
2022Q1,score_change,A,-2.0000,0.0
2022Q1,score_change,AAP,2.0000,0.0
2022Q1,score_change,AAT,1.0000,0.0
2022Q1,score_change,ABM,1.0000,0.0
2022Q1,score_change,ACA,2.0000,0.0
2022Q1,entry_raw_score,A,6,3
2022Q1,entry_raw_score,AAP,3,5
2022Q1,entry_raw_score,ABG,5,3
2022Q1,entry_raw_score,ABM,8,3
2022Q1,entry_raw_score,ABNB,4,-4
2022Q1,entry_score_0_100,A,6,3
2022Q1,entry_score_0_100,AAP,3,5
2022Q1,entry_score_0_100,ABG,5,3
2022Q1,entry_score_0_100,ABM,8,3
2022Q1,entry_score_0_100,ABNB,4,0
2022Q1,tier_structure_score,ACAD,10,0
2022Q1,tier_structure_score,AHRT,18,22
2022Q1,tier_structure_score,AI,0,10
2022Q1,tier_structure_score,ARLO,29,18
2022Q1,tier_structure_score,ASB,10,0
2022Q1,hp_structure_score,ADBE,15,0
2022Q1,hp_structure_score,ADUS,15,0
2022Q1,hp_structure_score,ADV,15,0
2022Q1,hp_structure_score,AFL,8,0
2022Q1,hp_structure_score,AGYS,15,0
2022Q1,llm_business_improvement_score,ACCO,33,28
2022Q1,llm_business_improvement_score,ADBE,34,0
2022Q1,llm_business_improvement_score,ADEA,35,30
2022Q1,llm_business_improvement_score,ADUS,45,0
2022Q1,llm_business_improvement_score,ADV,30,0
2022Q1,fundamental_rerating_score,A,6,3
2022Q1,fundamental_rerating_score,AAP,4,9
2022Q1,fundamental_rerating_score,ABG,6,3
2022Q1,fundamental_rerating_score,ABM,8,3
2022Q1,fundamental_rerating_score,ABNB,8,0
2022Q1,risk_penalty_score,AAP,1,4
2022Q1,risk_penalty_score,ABG,1,0
2022Q1,risk_penalty_score,ABT,0,4
2022Q1,risk_penalty_score,ACA,1,0
2022Q1,risk_penalty_score,ACAD,4,1
2022Q2,tradable_date,A,5/25/22,2022-06-01
2022Q2,tradable_date,AAP,5/24/22,2022-05-25
2022Q2,tradable_date,AAT,4/27/22,2022-05-02
2022Q2,tradable_date,ABG,4/29/22,2022-05-05
2022Q2,tradable_date,ABM,6/9/22,2022-06-10
2022Q2,entry_open,A,127.209999,127.86000061035156
2022Q2,entry_open,AAP,175.309998,177.61000061035156
2022Q2,entry_open,AAT,35.709999,36.720001220703125
2022Q2,entry_open,ABG,173.550003,196.16000366210938
