quarter,old_rows,new_rows,common_keys,old_only_keys,new_only_keys,key_coverage_max_mismatches,price_date_max_mismatches,pre_llm_max_mismatches,qoq_max_mismatches,entry_score_max_mismatches,blank_legacy_score_aliases_max_mismatches,returns_max_mismatches,llm_max_mismatches
2021Q4,1179,0,0,1179,0,1179,0,0,0,0,0,0,0
2022Q1,1185,1197,1158,27,39,39,1158,989,881,875,1158,1158,965
2022Q2,1194,1198,1166,28,32,32,1166,954,999,788,1166,1166,897
2022Q3,1203,1204,1176,27,28,28,1176,948,963,762,1176,1176,934
2022Q4,1204,1206,1179,25,27,27,1179,990,952,807,1179,1179,875
2023Q1,1203,1206,1169,34,37,37,1169,998,980,848,1169,1169,909
2023Q2,1204,1208,1169,35,39,39,1169,954,997,829,1169,1169,964
2023Q3,1229,1219,1196,33,23,33,700,965,976,828,1196,1196,967
2023Q4,1234,1224,1201,33,23,33,701,979,967,893,1201,1201,951
2024Q1,1245,1220,1198,47,22,47,887,1004,976,917,1198,1198,973
2024Q2,1243,1231,1201,42,30,42,871,957,1008,852,1201,1201,985
2024Q3,1258,1229,1214,44,15,44,678,933,970,815,1214,1214,970
2024Q4,1229,1233,1192,37,41,41,679,949,919,817,1192,1192,990
2025Q1,1230,1223,1181,49,42,49,849,967,945,885,1181,1181,972
2025Q2,1229,1227,1183,46,44,46,839,927,975,865,1183,1183,902
2025Q3,1247,1232,1205,42,27,42,671,923,953,813,1205,1205,924
2025Q4,1242,1233,1203,39,30,39,652,948,923,845,1203,1203,937
2026Q1,1236,1221,1185,51,36,51,814,959,935,888,1185,1185,928
2026Q2,0,1314,0,0,1314,1314,0,0,0,0,0,0,0
