quarter,side,count,sample_tickers
2021Q4,old_only,1179,"A,AAP,AAT,ABG,ABM,ABNB,ABT,ACA,ACAD,ACCO,ACGL,ACH,ACIW,ACLS,ACT,ACVA,ADBE,ADEA,ADI,ADNT,ADSK,ADTN,ADUS,ADV,AEE,AEIS,AEO,AEP,AES,AFL"
2021Q4,new_only,0,
2022Q1,old_only,27,"ALTG,AVAV,AZZ,CAR,CNXC,DRI,GIII,HQY,ICFI,KBH,LILA,LILAK,MNST,MSTR,NCNO,ODFL,PRGS,RIVN,RJF,SHO,SILC,SJM,SPG,TIPT,TPG,TROW,XEL"
2022Q1,new_only,39,"AAOI,AAPL,AGX,AHR,AMKR,AMZN,ARRY,ATRO,AVGO,AXTI,BMEA,BRK-B,CIFR,CPK,CXM,DRS,EBF,EMBC,EXC,EXPE,GBTG,GOLD,GOOG,GOOGL,HAL,LUV,LXFR,LZ,META,MG"
2022Q2,old_only,28,"APO,AVAV,AZZ,CAR,CEG,CNXC,DRI,GIII,GIS,ICFI,ITW,KBH,KEQU,LILA,LILAK,MNST,ODFL,PENG,PRGS,RJF,SHO,SILC,SJM,SPG,STZ,TIPT,TPG,XEL"
2022Q2,new_only,32,"AAOI,AAPL,AHR,AMZN,AVGO,AXTI,BMEA,BRK-B,CALM,CENX,CIFR,CRDO,CTAS,ENOV,GBTG,GOLD,GOOG,GOOGL,HAL,LXFR,META,MSFT,NEOG,NVCR,OEC,ONB,RIVN,RPD,SCHL,STKL"
2022Q3,old_only,27,"APO,AVAV,AZZ,CAR,CCL,CEG,CNXC,DRI,EBF,GIII,ITW,KBH,LILA,LILAK,MNST,NEOG,ODFL,PRGS,QDEL,RJF,SHO,SILC,SJM,SPG,TIPT,TPG,XEL"
2022Q3,new_only,28,"AAOI,AAPL,AHR,AMZN,AVGO,AXTI,BMEA,BRK-B,BV,CIFR,GNTX,GOLD,GOOG,GOOGL,HAL,LXFR,META,MSFT,MTRX,MU,NVCR,OEC,PENG,RIVN,STZ,TSLA,WMT,YOU"
2022Q4,old_only,25,"APO,AVAV,AZZ,CAR,CEG,DBD,DRI,GIII,HBANL,ITW,LILA,LILAK,MNST,NEWTG,ODFL,QDEL,RJF,SHO,SILC,SJM,SPG,TIPT,TPG,TPGXL,XEL"
2022Q4,new_only,27,"AAOI,AAPL,AMZN,AVGO,AXTI,BRK-B,BRO,CIFR,GOOG,GOOGL,HAL,HURC,LXFR,META,MRNA,MSFT,MU,NATR,NEOG,NPO,NVCR,OEC,RIVN,RXO,TSLA,VVX,WMT"
2023Q1,old_only,34,"AIOT,ANGO,APO,AVAV,AZZ,BVS,CAR,CEG,CNXC,DBD,DRI,GEHC,GIII,ITW,KBH,LILA,LILAK,MNST,MSTR,NEWTG,ODFL,PRGS,QDEL,RBBN,RJF,SHO,SILC,SJM,SPG,TIPT"
2023Q1,new_only,37,"AAOI,AAPL,AGX,AMKR,AMZN,ARWR,AVGO,AXTI,BMEA,BRK-B,CELH,CIFR,EAT,EBF,ENR,GLPI,GOOG,GOOGL,HAL,LHX,LUV,LXFR,MCW,META,MSFT,MU,OXY,RIVN,RMR,RNGR"
2023Q2,old_only,35,"APO,AVAV,AZZ,CAR,CEG,CNXC,DBD,DRI,GEHC,GIII,ITW,KBH,KEQU,LILA,LILAK,MNST,MSGE,NEWTG,NXT,ODFL,PENG,PRGS,QDEL,RJF,SHO,SILC,SJM,SPG,STZ,TIPT"
2023Q2,new_only,39,"AAOI,AAPL,AMZN,ANGO,AVGO,AXTI,BMEA,BRK-B,BV,CALM,CECO,CELH,CIFR,CTAS,CWT,EAT,GOOG,GOOGL,KVUE,LHX,LXFR,MCFT,META,MLKN,MSFT,MTCH,MU,NEOG,NOW,NVCR"
2023Q3,old_only,33,"APO,AVAV,AZZ,CAR,CCL,CEG,CNXC,DRI,GEHC,GIII,ITW,KBH,KNF,LILA,LILAK,MNST,MSGE,NEWTG,NXT,ODFL,PHIN,PRGS,QDEL,RJF,SHO,SILC,SJM,SPG,TIPT,TPG"
2023Q3,new_only,23,"AAOI,AAPL,AMZN,AROC,AVGO,AXTI,BMEA,BRK-B,BRO,CIFR,CMP,FCFS,GOOG,GOOGL,META,MSFT,MU,PENG,REXR,REZI,STZ,TSLA,WMT"
2023Q4,old_only,33,"APO,AVAV,AZZ,CAR,CEG,DRI,GEHC,GIII,HG,ITW,KNF,LILA,LILAK,MNST,MSGE,NEWTG,NWE,NXT,ODFL,PHIN,QDEL,RJF,SHO,SILC,SJM,SPG,TIPT,TKO,TPG,TPGXL"
2023Q4,new_only,23,"AAOI,AAPL,AMZN,AVGO,AXTI,BMEA,BRK-B,CHEF,CIFR,CVGW,FDP,GOOG,GOOGL,HURC,LFCR,LHX,META,MSFT,MU,NVCR,SHC,TSLA,WMT"
2024Q1,old_only,47,"APO,APPN,ATO,AVAV,AVD,AZZ,BTSGU,CAR,CC,CEG,CNXC,CRH,CXM,DRI,GEHC,GIII,HG,ICFI,ITW,KBH,KNF,LILA,LILAK,MNST,MSGE,MSTR,NEWTG,NWE,NXT,ODFL"
2024Q1,new_only,22,"AAOI,AAPL,AGX,AMKR,AMZN,AVGO,AXTI,BRK-B,CIFR,EBF,GETY,GOOG,GOOGL,LOVE,LXFR,META,MSFT,MU,RNGR,TSLA,UTHR,WMT"
2024Q2,old_only,42,"APO,AVAV,AZZ,BTSGU,CAR,CEG,CNXC,CRH,DRI,GEHC,GEV,GIII,HG,ITW,KBH,KEQU,KFY,KNF,LILA,LILAK,MNST,MSGE,MSTR,NWE,NXT,ODFL,PHIN,PRGS,QDEL,RJF"
2024Q2,new_only,30,"AAOI,AAPL,AIOT,AMZN,AVGO,AXTI,BCO,BMEA,BRK-B,CIFR,CTAS,DDD,GCT,GOOG,GOOGL,IDCC,MEI,META,MSFT,MU,ONB,OSCR,PLCE,SAFT,SCHL,STGW,TSLA,WMG,WMK,WMT"
2024Q3,old_only,44,"APO,AVAV,AZZ,BTSGU,CAR,CCL,CEG,CNXC,CPRT,CRH,DRI,ES,GEHC,GEV,GIII,HG,ITW,KBH,KNF,LILA,LILAK,MNST,MSGE,MSTR,NWE,NXT,ODFL,PHIN,PRGS,QDEL"
2024Q3,new_only,15,"AAOI,AAPL,AMZN,AVGO,AXTI,BMEA,BRK-B,CIFR,GOOG,GOOGL,META,MSFT,MU,TSLA,WMT"
2024Q4,old_only,37,"APO,AVAV,AZZ,BTSGU,CAR,CEG,CRH,DRI,GEHC,GEV,GIII,HG,ITW,KNF,LILA,LILAK,MNST,MSGE,MSTR,NWE,NXT,ODFL,PHIN,QDEL,RJF,SHO,SILC,SJM,SOLV,SPG"
