quarter,old_rows,new_rows,common_keys,old_only_keys,new_only_keys,tradable_date_mismatch,entry_open_mismatch,entry_qoq_pct_mismatch,pre_llm_fundamental_score_mismatch,pre_llm_fundamental_bucket_mismatch,prior_pre_llm_fundamental_score_mismatch,score_change_mismatch,profitability_score_mismatch,operating_cash_flow_score_mismatch,fcf_proxy_score_mismatch,financing_dependence_score_mismatch,asset_efficiency_score_mismatch,revenue_bucket_mismatch,tier_structure_score_mismatch,hp_structure_score_mismatch,total_structure_score_mismatch,llm_business_improvement_score_mismatch,fundamental_rerating_score_mismatch,risk_penalty_score_mismatch,entry_raw_score_mismatch,entry_score_0_100_mismatch,base_entry_raw_score_mismatch,base_entry_score_0_100_mismatch,monitoring_score_0_100_mismatch,final_rank_score_0_100_mismatch,rank_score_label_mismatch,return_10d_pct_mismatch,return_20d_pct_mismatch,return_30d_pct_mismatch,return_60d_pct_mismatch,return_90d_pct_mismatch,post_llm_candidate_flag_mismatch,post_llm_high_priority_flag_mismatch,post_llm_demote_flag_mismatch,has_post_llm_mismatch,causal_change_mismatch,negative_revision_risk_mismatch,narrative_delta_bucket_mismatch
2021Q4,1179,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022Q1,1185,1197,1158,27,39,1158,820,1104,989,748,881,702,538,513,612,538,480,650,105,122,226,158,827,581,875,861,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,965,910,924,140,145,147,147
2022Q2,1194,1198,1166,28,32,1166,647,879,954,739,999,885,521,496,600,486,346,617,97,134,229,159,761,518,788,770,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,897,864,879,147,147,147,147
2022Q3,1203,1204,1176,27,28,1176,611,701,948,725,963,841,536,478,578,475,266,538,95,95,188,142,714,506,762,743,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,934,914,922,116,116,116,116
2022Q4,1204,1206,1179,25,27,1179,635,702,990,762,952,704,559,496,613,498,399,607,105,116,220,164,753,532,807,790,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,875,853,870,136,136,136,136
2023Q1,1203,1206,1169,34,37,1169,797,864,998,771,980,625,549,534,646,521,444,693,103,161,262,208,803,574,848,837,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,909,870,890,185,185,185,185
2023Q2,1204,1208,1169,35,39,1169,619,858,954,721,997,860,514,501,609,498,293,550,96,96,187,285,755,582,829,812,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,961,936,964,111,242,226,219
2023Q3,1229,1219,1196,33,23,612,609,700,965,695,976,835,542,511,595,469,275,529,94,178,272,360,736,563,828,819,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,967,917,922,187,305,298,299
2023Q4,1234,1224,1201,33,23,614,612,701,979,741,967,680,552,518,607,470,441,666,107,112,217,347,787,578,893,878,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,923,900,951,116,278,266,258
2024Q1,1245,1220,1198,47,22,820,811,887,1004,763,976,627,556,505,620,483,500,773,113,207,318,422,823,589,917,902,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,973,892,922,224,365,374,356
2024Q2,1243,1231,1201,42,30,604,602,871,957,739,1008,921,536,484,618,472,312,557,108,127,232,338,747,574,852,835,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,985,919,974,142,266,284,258
2024Q3,1258,1229,1214,44,15,596,593,678,933,718,970,852,505,478,600,413,280,492,100,136,234,360,699,519,815,801,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,970,918,961,143,275,293,261
2024Q4,1229,1233,1192,37,41,599,599,679,949,720,919,678,491,472,628,408,440,697,101,116,214,325,731,517,817,802,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,990,922,967,129,262,282,246
2025Q1,1230,1223,1181,49,42,775,770,849,967,705,945,650,492,458,604,446,500,802,109,104,213,322,795,573,885,868,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,951,905,972,114,257,279,248
2025Q2,1229,1227,1183,46,44,573,571,839,927,647,975,881,456,426,546,425,311,527,102,124,222,393,742,562,865,853,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,902,847,898,139,306,306,284
2025Q3,1247,1232,1205,42,27,570,569,671,923,672,953,858,422,422,564,401,272,495,90,144,232,375,695,521,813,797,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,916,880,924,152,296,311,283
2025Q4,1242,1233,1203,39,30,553,553,652,948,704,923,725,432,437,590,407,436,731,92,114,204,354,758,530,845,833,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,937,915,937,123,287,274,269
2026Q1,1236,1221,1185,51,36,763,757,814,959,694,935,603,439,424,592,416,502,833,111,158,266,402,780,561,888,866,1185,1185,1185,1185,1185,1185,1183,1180,932,121,925,868,928,172,338,349,314
2026Q2,0,1314,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
