rank,ticker,total_pnl,trades,win_rate_pct,avg_hold_days,avg_pnl_per_trade,tp_exits,sx_exits,best_trade,worst_trade,group
1,USO,82.4,84,73.8,1.8,0.981,10,74,14.96,-37.92,BroadETF
2,XOP,56.31,85,58.8,2.2,0.662,13,72,12.16,-10.48,SectorETF
3,QQQ,35.81,55,72.7,1.6,0.651,8,47,9.28,-8.49,BroadETF
4,SPY,26.71,31,71.0,1.3,0.861,0,31,7.96,-2.52,BroadETF
5,GLD,26.12,19,68.4,1.9,1.375,3,16,6.92,-1.6,BroadETF
6,SMH,17.0,83,59.0,1.9,0.205,9,74,14.12,-10.38,SectorETF
7,XHB,16.79,56,71.4,1.5,0.3,8,48,1.92,-3.79,SectorETF
8,IWM,12.26,41,68.3,1.5,0.299,1,40,3.35,-2.67,BroadETF
9,ITB,11.93,69,66.7,1.9,0.173,7,62,1.75,-2.27,SectorETF
10,XLE,11.88,62,62.9,1.7,0.192,7,55,1.67,-1.63,SectorETF
11,KRE,11.77,51,58.8,1.6,0.231,6,45,4.11,-1.48,SectorETF
12,SLV,7.92,65,67.7,2.0,0.122,5,60,11.69,-5.08,BroadETF
13,ARKK,7.65,53,58.5,2.0,0.144,5,48,2.75,-5.63,SectorETF
14,IBB,7.55,60,63.3,1.7,0.126,1,59,3.72,-3.34,SectorETF
15,XLY,7.46,50,70.0,1.6,0.149,3,47,1.62,-3.13,SectorETF
16,XLF,7.24,42,71.4,1.5,0.172,5,37,0.92,-0.55,SectorETF
17,XLV,7.09,20,80.0,1.6,0.355,0,20,2.45,-0.94,SectorETF
18,XLB,6.48,53,71.7,1.6,0.122,3,50,0.91,-1.67,SectorETF
19,XLI,5.22,46,71.7,1.4,0.113,2,44,1.11,-1.86,SectorETF
20,XBI,4.47,71,54.9,2.0,0.063,3,68,2.97,-5.3,SectorETF
21,XRT,4.18,40,70.0,1.8,0.104,4,36,2.04,-3.49,SectorETF
22,XLK,3.42,55,56.4,1.7,0.062,2,53,1.93,-1.87,SectorETF
23,HYG,2.6,4,50.0,1.0,0.65,1,3,2.75,-0.15,BroadETF
24,XLU,2.15,21,61.9,1.3,0.103,0,21,0.77,-0.57,SectorETF
25,XLC,1.65,10,50.0,1.8,0.165,1,9,1.64,-0.95,SectorETF
26,XLP,0.98,8,75.0,1.4,0.123,0,8,0.43,-0.14,SectorETF
27,XLRE,0.73,10,70.0,1.5,0.073,0,10,0.59,-0.89,SectorETF
28,LQD,0.63,1,100.0,1.0,0.63,0,1,0.63,0.63,BroadETF
29,DIA,-0.47,22,59.1,1.5,-0.022,0,22,5.79,-10.05,BroadETF
30,TLT,-2.24,6,66.7,1.8,-0.373,0,6,1.26,-4.76,BroadETF
