rank,ticker,total_pnl,trades,win_rate_pct,avg_hold_days,avg_pnl_per_trade,tp_exits,sx_exits,best_trade,worst_trade,group
1,ARWR,1849.71,289,53.6,3.2,6.4,113,176,487.5,-325.0,IWM50
2,NVAX,282.2,217,65.9,2.5,1.3,88,129,141.0,-33.95,IWM50
3,KLAC,264.31,280,61.1,2.5,0.944,60,220,188.39,-79.76,QQQ50
4,GTLS,108.17,158,62.7,2.2,0.685,39,119,81.21,-19.9,IWM50
5,SNPS,93.42,149,67.1,2.0,0.627,21,128,29.06,-30.3,QQQ50
6,MRVL,72.58,156,71.8,2.2,0.465,44,112,12.53,-6.42,QQQ50
7,ADBE,68.95,230,63.5,2.3,0.3,41,189,20.15,-19.67,QQQ50
8,META,56.86,50,64.0,2.1,1.137,6,44,12.15,-13.39,QQQ50+SPY50
9,TMO,56.28,154,60.4,2.0,0.365,16,138,42.67,-11.23,SPY50
10,ABNB,53.56,32,75.0,1.7,1.674,4,28,11.86,-5.98,QQQ50
11,INTU,53.05,155,60.6,2.1,0.342,26,129,17.91,-24.61,QQQ50+SPY50
12,ACLS,52.96,178,66.9,2.4,0.298,61,117,8.04,-11.06,IWM50
13,ORCL,50.12,205,61.0,2.2,0.244,41,164,25.32,-5.24,SPY50
14,MU,47.16,319,59.2,2.5,0.148,80,239,18.36,-15.48,QQQ50+SPY50
15,SIGI,45.57,169,63.3,1.9,0.27,26,143,18.24,-3.16,IWM50
16,NXPI,42.13,80,56.2,2.1,0.527,8,72,10.93,-5.55,QQQ50
17,ISRG,42.06,122,60.7,2.3,0.345,20,102,12.13,-15.86,QQQ50+SPY50
18,JPM,41.69,154,64.9,2.0,0.271,25,129,3.73,-4.34,Dow30+SPY50
19,MARA,40.14,131,61.1,2.5,0.306,62,69,31.2,-18.46,IWM50
20,SHW,37.89,159,66.0,1.8,0.238,9,150,7.3,-9.99,Dow30
21,UNH,36.76,194,60.8,2.0,0.189,22,172,12.41,-18.39,Dow30+SPY50
22,STRL,36.71,255,57.3,2.6,0.144,85,170,26.38,-24.67,IWM50
23,AMAT,36.15,266,61.3,2.5,0.136,50,216,19.02,-26.06,QQQ50
24,CRM,33.42,120,61.7,2.0,0.278,15,105,6.5,-6.52,Dow30+SPY50
25,PRAX,32.96,59,62.7,3.2,0.559,20,39,116.85,-99.15,IWM50
26,HON,31.17,174,66.1,1.8,0.179,18,156,5.82,-5.69,Dow30
27,MA,30.46,61,57.4,2.1,0.499,5,56,16.96,-14.55,SPY50
28,LRCX,30.36,277,60.3,2.4,0.11,63,214,11.61,-11.36,QQQ50
29,NXT,28.18,28,82.1,2.0,1.007,9,19,3.55,-2.96,IWM50
30,SPGI,27.45,166,58.4,2.0,0.165,15,151,8.04,-17.41,SPY50
31,DY,27.13,285,58.2,2.5,0.095,60,225,26.23,-18.13,IWM50
32,IONQ,26.04,41,63.4,3.0,0.635,16,25,20.82,-7.2,IWM50
33,MMM,25.96,139,63.3,1.7,0.187,7,132,4.74,-4.59,Dow30
34,GE,25.77,141,58.2,1.9,0.183,9,132,8.37,-8.19,SPY50
35,NOW,24.73,78,64.1,2.1,0.317,11,67,5.67,-5.74,SPY50
36,SPXC,24.31,239,65.3,2.1,0.102,21,218,5.43,-3.55,IWM50
37,IBM,24.23,130,63.8,1.8,0.186,4,126,11.02,-13.2,Dow30+SPY50
38,TTMI,23.22,183,63.4,2.3,0.127,38,145,11.35,-4.19,IWM50
39,AXP,22.95,175,64.6,2.0,0.131,14,161,3.96,-8.27,Dow30+SPY50
40,ONTO,22.28,44,68.2,2.8,0.506,6,38,14.71,-25.55,IWM50
41,AMZN,22.07,160,60.0,2.3,0.138,33,127,8.17,-6.48,Dow30+QQQ50+SPY50
42,CRDO,21.59,44,65.9,3.0,0.491,14,30,9.78,-20.53,IWM50
43,IRTC,21.57,77,58.4,2.6,0.28,12,65,14.5,-15.14,IWM50
44,XOM,21.27,99,63.6,1.5,0.215,4,95,5.63,-2.66,SPY50
45,ON,20.56,159,64.8,2.4,0.129,34,125,5.13,-7.62,QQQ50
46,RIOT,19.55,108,71.3,2.4,0.181,57,51,6.45,-12.08,IWM50
47,MRK,18.75,163,62.6,1.7,0.115,7,156,4.28,-2.92,Dow30
48,BLK,18.69,93,54.8,2.0,0.201,11,82,24.2,-46.71,SPY50
49,RTX,18.57,168,64.3,1.9,0.111,9,159,3.09,-3.61,SPY50
50,GOOGL,17.42,74,60.8,2.1,0.235,4,70,6.18,-6.33,QQQ50+SPY50
51,ACN,17.22,63,65.1,1.7,0.273,2,61,4.6,-5.9,SPY50
52,MCD,16.91,168,69.6,1.9,0.101,10,158,5.91,-3.44,Dow30+SPY50
53,INSP,16.74,65,61.5,2.4,0.258,11,54,12.26,-13.2,IWM50
54,AAPL,16.68,242,57.0,2.4,0.069,36,206,6.79,-3.7,Dow30+QQQ50+SPY50
55,CVX,16.58,132,59.8,2.0,0.126,9,123,5.18,-4.77,Dow30+SPY50
56,BAC,15.35,186,48.9,2.2,0.083,21,165,2.66,-2.89,SPY50
57,DXCM,15.33,142,59.9,2.7,0.108,27,115,9.07,-11.98,QQQ50
58,ABBV,15.02,43,72.1,1.6,0.349,3,40,3.88,-3.24,SPY50
59,CLSK,13.98,78,50.0,3.0,0.179,34,44,16.9,-14.91,IWM50
60,TMDX,13.53,59,62.7,2.8,0.229,15,44,7.1,-9.63,IWM50
61,CDNS,13.19,210,61.0,2.2,0.063,36,174,8.98,-15.9,QQQ50
62,JNJ,12.46,127,62.2,1.7,0.098,3,124,2.91,-2.91,Dow30+SPY50
63,PANW,12.45,86,57.0,2.2,0.145,5,81,2.85,-6.36,QQQ50
64,TXN,12.4,223,63.2,2.0,0.056,30,193,4.81,-7.37,QQQ50
65,BX,12.23,80,68.8,1.9,0.153,13,67,5.73,-12.68,SPY50
66,CTAS,12.11,141,52.5,2.0,0.086,12,129,4.26,-3.38,QQQ50
67,WDAY,12.01,64,64.1,1.9,0.188,6,58,9.15,-26.44,QQQ50
68,INTC,11.93,205,60.0,2.2,0.058,28,177,3.5,-4.21,QQQ50
69,T,11.9,81,65.4,1.7,0.147,7,74,3.49,-1.43,SPY50
70,GOOG,11.61,72,61.1,2.2,0.161,5,67,6.06,-6.33,QQQ50+SPY50
71,PFE,10.77,144,56.9,1.9,0.075,9,135,2.07,-0.92,SPY50
72,PM,10.67,35,65.7,1.5,0.305,2,33,5.38,-3.14,SPY50
73,LIN,10.52,82,52.4,1.8,0.128,6,76,8.24,-7.58,QQQ50+SPY50
74,ITRI,10.05,176,59.7,2.5,0.057,33,143,4.19,-7.68,IWM50
75,PRCT,9.47,29,65.5,2.6,0.327,11,18,4.37,-7.4,IWM50
76,PYPL,8.69,49,63.3,2.0,0.177,5,44,6.87,-15.03,QQQ50
77,GH,8.68,68,63.2,2.5,0.128,20,48,5.54,-16.62,IWM50
78,KO,8.18,118,61.9,1.8,0.069,5,113,1.1,-1.33,Dow30
79,HD,8.03,186,56.5,2.2,0.043,19,167,9.41,-6.82,Dow30
80,V,8.0,36,61.1,1.9,0.222,2,34,5.05,-4.05,Dow30+SPY50
81,HL,7.81,236,65.3,2.4,0.033,77,159,2.08,-7.52,IWM50
82,SCHW,7.56,195,61.0,2.2,0.039,28,167,3.08,-6.35,SPY50
83,CAVA,7.4,30,63.3,2.2,0.247,6,24,7.0,-9.09,IWM50
84,CTRE,6.67,45,68.9,1.9,0.148,6,39,0.97,-0.69,IWM50
85,VZ,6.58,63,52.4,1.7,0.104,2,61,2.02,-1.74,Dow30
86,ABT,6.44,105,61.0,1.8,0.061,4,101,3.84,-9.1,SPY50
87,BRK-B,6.17,43,58.1,1.7,0.143,1,42,6.7,-6.19,SPY50
88,PG,5.31,93,58.1,1.8,0.057,3,90,1.5,-2.19,Dow30
89,CSCO,5.18,167,59.3,2.2,0.031,23,144,4.0,-4.66,Dow30+QQQ50
90,MSFT,5.17,144,57.6,2.0,0.036,10,134,4.19,-6.67,Dow30+QQQ50+SPY50
91,ORLY,4.62,126,61.9,2.1,0.037,10,116,1.47,-1.17,QQQ50
92,AMGN,4.38,180,60.0,2.1,0.024,30,150,7.54,-16.54,Dow30+QQQ50
93,AVGO,3.07,72,58.3,2.1,0.043,10,62,16.88,-23.33,QQQ50+SPY50
94,HOOD,2.9,55,61.8,2.3,0.053,11,44,11.91,-15.81,Special
95,PIPR,2.23,128,64.1,2.1,0.017,23,105,2.17,-4.46,IWM50
96,PEP,2.2,92,55.4,1.9,0.024,10,82,4.02,-3.14,QQQ50
97,DIS,1.59,209,56.9,2.1,0.008,19,190,4.2,-6.28,Dow30+SPY50
98,FTNT,1.19,98,64.3,2.0,0.012,11,87,2.12,-5.73,QQQ50
99,SPSC,0.65,92,63.0,2.3,0.007,8,84,7.07,-12.2,IWM50
100,NKE,-0.01,173,57.2,2.1,-0.0,15,158,2.58,-9.39,Dow30
101,AMD,-0.45,295,56.9,2.6,-0.002,70,225,7.57,-14.19,QQQ50+SPY50
102,NVDA,-1.54,196,61.2,2.5,-0.008,39,157,8.19,-6.32,Dow30+QQQ50+SPY50
103,MDLZ,-1.74,28,50.0,1.7,-0.062,0,28,1.61,-1.52,QQQ50
104,BBIO,-2.05,55,63.6,2.5,-0.037,21,34,6.36,-17.29,IWM50
105,WMT,-3.22,182,51.6,2.3,-0.018,12,170,1.88,-2.8,Dow30+QQQ50+SPY50
106,ACAD,-4.09,145,63.4,2.5,-0.028,40,105,4.79,-7.3,IWM50
107,TREX,-4.1,183,55.7,2.6,-0.022,26,157,3.46,-14.62,IWM50
108,NFLX,-5.0,192,60.9,2.4,-0.026,29,163,3.22,-8.45,QQQ50+SPY50
109,SOFI,-5.15,31,58.1,3.0,-0.166,9,22,1.02,-2.84,Special
110,QCOM,-5.27,174,66.7,2.1,-0.03,29,145,7.35,-16.49,QQQ50
111,AEIS,-5.3,205,59.5,2.6,-0.026,46,159,11.12,-24.4,IWM50
112,NEE,-5.8,108,47.2,1.9,-0.054,2,106,1.45,-2.21,SPY50
113,MOD,-7.45,230,57.4,2.5,-0.032,36,194,6.88,-31.08,IWM50
114,BWXT,-7.97,44,43.2,2.2,-0.181,4,40,6.93,-6.52,IWM50
115,AHR,-8.13,9,33.3,3.9,-0.903,1,8,1.18,-3.19,IWM50
116,HWC,-8.23,98,51.0,2.2,-0.084,10,88,2.02,-5.58,IWM50
117,TMUS,-12.88,71,50.7,2.3,-0.181,9,62,6.36,-5.24,QQQ50
118,BKNG,-13.46,153,62.7,2.3,-0.088,30,123,2.92,-5.78,QQQ50
119,BE,-14.84,68,58.8,3.8,-0.218,24,44,13.73,-13.38,IWM50
120,TRV,-17.2,134,50.0,2.1,-0.128,9,125,4.43,-18.6,Dow30
121,MGNI,-17.71,87,60.9,2.6,-0.204,20,67,2.99,-17.51,IWM50
122,SFM,-17.93,54,59.3,2.3,-0.332,6,48,3.84,-15.67,IWM50
123,ADI,-19.46,208,59.1,2.3,-0.094,33,175,3.34,-16.88,QQQ50
124,ENSG,-21.5,80,52.5,2.1,-0.269,9,71,3.34,-8.88,IWM50
125,REGN,-21.57,210,59.5,2.7,-0.103,41,169,23.53,-35.13,QQQ50
126,SATS,-22.46,81,64.2,2.3,-0.277,12,69,3.9,-20.09,IWM50
127,SMCI,-23.7,126,52.4,2.6,-0.188,25,101,5.12,-31.2,IWM50
128,IREN,-24.75,37,51.4,3.4,-0.669,15,22,3.1,-15.9,Special
129,SKYW,-26.16,229,56.3,2.5,-0.114,46,183,3.81,-10.41,IWM50
130,COST,-26.44,118,62.7,1.8,-0.224,8,110,6.4,-22.33,QQQ50+SPY50
131,CELH,-29.1,166,58.4,2.6,-0.175,58,108,4.49,-10.68,IWM50
132,PLTR,-32.92,42,59.5,3.3,-0.784,14,28,4.22,-32.3,QQQ50+SPY50
133,GS,-33.01,93,63.4,2.0,-0.355,9,84,9.87,-41.06,Dow30
134,CDE,-34.45,264,57.6,2.5,-0.131,76,188,12.5,-42.5,IWM50
135,LLY,-36.2,165,64.8,1.9,-0.219,6,159,65.63,-76.83,SPY50
136,TTD,-38.27,74,56.8,2.7,-0.517,12,62,3.25,-15.2,QQQ50
