rank,ticker,trades,total_pnl,win_rate,avg_hold,avg_pnl,tp_exits,sx_exits,best_trade,worst_trade,group,delta_vs_no_rsi
1,ARWR,234,2650.16,59.8,3.3,11.325,101,133,487.5,-60.45,IWM50,800.45
2,KLAC,278,265.7,61.2,2.5,0.956,59,219,188.39,-79.76,QQQ50,1.39
3,NVAX,190,223.34,65.8,2.6,1.175,73,117,141.0,-33.95,IWM50,-58.86
4,INTU,153,94.54,61.4,2.1,0.618,27,126,27.22,-24.61,QQQ50+SPY50,41.49
5,SNPS,148,94.11,67.6,2.0,0.636,21,127,29.06,-30.3,QQQ50,0.69
6,GTLS,152,91.05,61.2,2.3,0.599,33,119,81.21,-19.9,IWM50,-17.12
7,USO,82,84.44,74.4,1.7,1.03,10,72,14.96,-37.92,ETF,2.04
8,ADBE,226,69.37,63.7,2.3,0.307,41,185,20.15,-19.67,QQQ50,0.42
9,MRVL,151,68.88,70.9,2.2,0.456,40,111,12.53,-6.42,QQQ50,-3.7
10,META,49,58.83,63.3,2.1,1.201,7,42,12.15,-13.39,QQQ50+SPY50,1.97
11,TMO,151,55.87,60.3,2.0,0.37,14,137,42.67,-11.23,SPY50,-0.41
12,ABNB,32,53.56,75.0,1.7,1.674,4,28,11.86,-5.98,QQQ50,0.0
13,XOP,83,52.81,59.0,2.2,0.636,12,71,12.16,-10.48,ETF,-3.5
14,MU,310,52.66,60.3,2.5,0.17,78,232,18.36,-15.48,QQQ50+SPY50,5.5
15,ORCL,204,50.76,61.3,2.2,0.249,41,163,25.32,-5.24,SPY50,0.64
16,ACLS,168,50.17,66.7,2.5,0.299,55,113,8.04,-11.06,IWM50,-2.79
17,SIGI,166,44.64,62.7,1.9,0.269,24,142,18.24,-3.16,IWM50,-0.93
18,NXPI,78,43.65,57.7,2.1,0.56,8,70,10.93,-5.55,QQQ50,1.52
19,MARA,108,41.6,63.9,2.7,0.385,52,56,31.2,-18.46,IWM50,1.46
20,JPM,152,40.68,64.5,2.0,0.268,23,129,3.73,-4.34,Dow30+SPY50,-1.01
21,SHW,158,37.87,65.8,1.7,0.24,9,149,7.3,-9.99,Dow30,-0.02
22,STRL,244,37.17,59.4,2.7,0.152,85,159,26.38,-24.67,IWM50,0.46
23,UNH,189,36.88,60.8,2.0,0.195,21,168,12.41,-18.39,Dow30+SPY50,0.12
