ticker,type,signal_date,close,ama,ama2,roc,rsi,vol_ratio
KRE,ETF,2026-04-08,68.81,67.38,66.03,1.2545,66.5,0.66
XLRE,ETF,2026-04-08,42.41,41.93,41.38,1.0108,59.1,0.27
MRVL,Stock,2026-04-08,115.33,108.07,101.16,2.8197,72.9,0.68
ACLS,Stock,2026-04-08,104.58,97.07,94.33,1.0207,67.0,0.37
UNH,Stock,2026-04-08,307.11,293.16,285.0,1.7531,66.6,0.68
NFLX,Stock,2026-04-08,99.1,98.24,96.56,1.1299,65.9,0.48
PIPR,Stock,2026-04-08,82.1,79.25,77.35,1.9624,65.8,0.55
BAC,Stock,2026-04-08,51.88,50.04,49.25,1.0425,65.1,0.59
AMD,Stock,2026-04-08,232.67,214.05,211.75,1.1417,65.1,0.62
ONTO,Stock,2026-04-08,240.0,212.51,208.37,1.0324,64.9,0.87
GS,Stock,2026-04-08,901.66,859.83,845.1,1.052,64.4,0.81
SNDK,Stock,2026-04-08,787.35,680.21,670.44,1.0827,63.7,0.76
SIGI,Stock,2026-04-08,80.76,79.56,77.61,1.7077,63.4,0.32
ARWR,Stock,2026-04-08,64.55,61.64,60.56,1.0555,60.6,0.45
MARA,Stock,2026-04-08,9.55,8.71,8.63,1.5323,59.3,0.73
BA,Stock,2026-04-08,218.61,205.72,205.17,1.101,57.0,0.64
