ticker,type,signal_date,close,ama,ama2,roc,rsi,vol_ratio,total_pnl,win_rate,trades,avg_pnl,avg_hold,structure
SLV,ETF,2026-04-10,69.08,66.66,66.5,1.0696,50.4,0.57,21.88,70.9,55,0.398,0.9,CSP/CC
KLAC,Stock,2026-04-10,1737.28,1648.13,1575.35,3.2846,70.1,0.81,317.57,56.5,276,1.151,1.5,CSP/CC
MU,Stock,2026-04-10,420.59,382.53,380.49,1.7493,57.3,0.66,58.44,57.9,304,0.192,1.5,CSP/CC
META,Stock,2026-04-10,629.86,592.17,587.83,1.8202,57.5,0.58,28.81,51.0,49,0.588,1.0,CSP/CC
LRCX,Stock,2026-04-10,263.66,244.24,234.21,3.6229,66.9,0.96,23.91,61.0,269,0.089,1.3,CSP/CC
TMDX,Stock,2026-04-10,114.0,104.28,103.49,1.4777,50.3,0.93,21.99,59.6,57,0.386,1.7,CSP/CC
INTC,Stock,2026-04-10,62.38,59.8,54.54,6.1446,75.4,0.87,16.64,63.9,202,0.082,1.2,CSP/CC
ON,Stock,2026-04-10,68.65,64.11,62.55,1.4396,64.5,0.83,15.91,64.1,156,0.102,1.4,CSP/CC
UNH,Stock,2026-04-10,304.33,300.51,291.75,1.028,63.7,0.58,13.2,62.2,185,0.071,1.0,CSP/CC
PIPR,Stock,2026-04-10,83.47,82.34,79.82,1.4696,68.4,0.78,9.92,65.6,122,0.081,1.1,Spread
MOD,Stock,2026-04-10,241.46,222.21,217.84,1.2595,63.6,0.72,9.45,50.9,234,0.04,1.5,Spread
TXN,Stock,2026-04-10,214.73,206.51,201.24,1.4881,66.4,0.76,8.55,62.7,217,0.039,1.0,Spread
BAC,Stock,2026-04-10,52.54,51.62,50.38,1.0967,66.8,0.73,7.63,48.1,185,0.041,1.1,Spread
GOOGL,Stock,2026-04-10,317.24,307.27,301.03,1.5574,61.5,0.62,5.71,53.8,78,0.073,1.0,Spread
GOOG,Stock,2026-04-10,315.72,306.86,299.96,1.6592,62.1,0.57,4.14,56.6,76,0.054,1.1,Spread
BWXT,Stock,2026-04-10,229.57,217.11,212.04,1.1662,62.3,0.73,2.0,47.5,40,0.05,1.1,Spread
AEIS,Stock,2026-04-10,379.64,358.85,343.04,3.5417,68.1,0.66,-0.09,58.1,198,-0.0,1.6,SKIP / Spread
CDE,Stock,2026-04-10,20.24,18.97,18.73,2.349,52.4,0.6,-1.43,59.0,251,-0.006,1.5,SKIP / Spread
BE,Stock,2026-04-10,166.7,148.09,147.43,2.3592,60.0,0.97,-2.64,61.8,68,-0.039,2.5,SKIP / Spread
NVDA,Stock,2026-04-10,188.63,180.15,179.32,1.2906,61.3,0.99,-5.68,60.9,192,-0.03,1.4,SKIP / Spread
NFLX,Stock,2026-04-10,103.01,102.36,99.83,1.4889,72.7,0.66,-6.55,59.3,189,-0.035,1.3,SKIP / Spread
ADI,Stock,2026-04-10,350.14,337.19,328.29,1.5728,66.9,0.76,-8.41,56.0,209,-0.04,1.2,SKIP / Spread
CAT,Stock,2026-04-10,790.66,746.95,733.24,1.3463,67.2,0.82,-21.02,58.6,227,-0.093,0.9,SKIP / Spread
GS,Stock,2026-04-10,907.8,888.86,865.43,1.4319,65.3,0.86,-46.49,58.2,91,-0.511,1.0,SKIP / Spread
SNDK,Stock,2026-04-10,851.77,787.89,730.35,5.7372,68.3,0.75,-66.82,53.3,15,-4.455,2.7,SKIP / Spread
RMBS,Stock,2026-04-10,110.44,96.1,95.42,2.3228,66.0,0.96,-78.32,55.0,169,-0.463,1.8,SKIP / Spread
