rank,ticker,total_pnl,trades,win_rate_pct,avg_hold_days,avg_pnl_per_trade,best_trade,worst_trade,group
1,ARWR,1430.08,278,52.5,3.7,5.144,406.25,-325.0,IWM50
2,KLAC,258.94,278,60.4,2.5,0.931,188.39,-79.76,QQQ50
3,NVAX,155.44,209,60.3,2.9,0.744,126.6,-33.95,IWM50
4,GTLS,128.36,154,61.7,2.4,0.834,102.96,-14.73,IWM50
5,SNPS,93.42,149,67.1,2.0,0.627,29.06,-30.3,QQQ50
6,MRVL,70.2,155,70.3,2.3,0.453,12.53,-6.42,QQQ50
7,ADBE,67.44,229,63.3,2.3,0.294,20.15,-19.67,QQQ50
8,ABNB,61.46,32,75.0,1.7,1.921,14.88,-5.98,QQQ50
9,META,56.86,50,64.0,2.1,1.137,12.15,-13.39,QQQ50+SPY50
10,TMO,56.28,154,60.4,2.0,0.365,42.67,-11.23,SPY50
11,ACLS,53.3,177,66.7,2.6,0.301,8.04,-11.06,IWM50
12,ORCL,52.75,203,60.6,2.3,0.26,25.32,-5.24,SPY50
13,INTU,51.99,154,60.4,2.1,0.338,17.91,-24.61,QQQ50+SPY50
14,MARA,50.1,123,56.9,3.3,0.407,31.2,-17.31,IWM50
15,SIGI,44.21,169,62.7,1.9,0.262,16.83,-3.16,IWM50
16,NXPI,42.13,80,56.2,2.1,0.527,10.93,-5.55,QQQ50
17,ISRG,42.02,122,60.7,2.4,0.344,12.13,-15.86,QQQ50+SPY50
18,JPM,41.69,154,64.9,2.0,0.271,3.73,-4.34,Dow30+SPY50
19,SHW,37.89,159,66.0,1.8,0.238,7.3,-9.99,Dow30
20,AMAT,37.53,265,61.1,2.5,0.142,19.02,-26.06,QQQ50
21,PRAX,37.16,58,62.1,3.4,0.641,116.85,-99.15,IWM50
22,UNH,36.76,194,60.8,2.0,0.189,12.41,-18.39,Dow30+SPY50
23,STRL,36.48,251,57.4,2.7,0.145,26.38,-24.67,IWM50
24,SPGI,33.42,166,58.4,2.1,0.201,14.01,-17.41,SPY50
25,CRM,33.42,120,61.7,2.0,0.278,6.5,-6.52,Dow30+SPY50
26,HON,31.64,174,66.1,1.8,0.182,5.82,-5.69,Dow30
27,MA,30.46,61,57.4,2.1,0.499,16.96,-14.55,SPY50
28,LRCX,30.12,272,59.9,2.4,0.111,11.61,-11.36,QQQ50
29,DY,26.23,284,57.7,2.6,0.092,26.23,-18.13,IWM50
