rank,ticker,group,is_etf,total_pnl,trades,win_rate,avg_hold,avg_pnl,tp_exits,sx_exits
1,ARWR,IWM50,False,1028.07,168,63.7,2.5,6.119,73,95
2,KLAC,QQQ50,False,284.13,173,58.4,1.9,1.642,40,133
3,MELI,QQQ50,False,197.68,83,72.3,1.5,2.382,21,62
4,KTOS,IWM50,False,191.36,109,65.1,1.9,1.756,26,83
5,GTLS,IWM50,False,125.53,102,64.7,1.5,1.231,24,78
6,SNPS,QQQ50,False,104.55,93,74.2,1.2,1.124,18,75
7,INTU,QQQ50+SPY50,False,93.81,81,70.4,1.2,1.158,22,59
8,NVAX,IWM50,False,90.87,141,67.4,1.7,0.644,56,85
9,ADBE,QQQ50,False,75.51,133,61.7,1.5,0.568,33,100
10,MU,QQQ50+SPY50,False,73.87,211,62.6,1.7,0.35,55,156
11,STRL,IWM50,False,62.63,143,58.7,2.2,0.438,49,94
12,ONTO,IWM50,False,60.33,32,75.0,2.0,1.885,8,24
13,USO,ETF,True,59.08,81,65.4,0.8,0.729,5,76
14,LLY,SPY50,False,49.69,66,63.6,1.1,0.753,5,61
15,QQQ,ETF,True,46.62,54,64.8,0.6,0.863,7,47
16,NXPI,QQQ50,False,45.65,50,68.0,1.2,0.913,9,41
17,CRM,Dow30+SPY50,False,45.27,57,68.4,1.3,0.794,11,46
18,TMO,SPY50,False,44.19,64,59.4,1.5,0.691,6,58
19,SMH,ETF,True,43.97,83,68.7,0.9,0.53,10,73
20,MRVL,QQQ50,False,38.34,96,70.8,1.5,0.399,28,68
21,MARA,IWM50,False,37.88,79,69.6,1.9,0.479,39,40
22,GE,SPY50,False,37.49,62,64.5,1.0,0.605,10,52
23,ABNB,QQQ50,False,36.92,19,63.2,1.0,1.943,3,16
24,XOP,ETF,True,32.34,81,55.6,1.2,0.399,10,71
25,NXT,IWM50,False,31.86,25,80.0,1.0,1.274,10,15
26,JPM,Dow30+SPY50,False,29.05,82,64.6,1.3,0.354,17,65
27,HON,Dow30,False,28.48,67,68.7,1.2,0.425,9,58
28,QCOM,QQQ50,False,28.42,120,67.5,1.2,0.237,23,97
