rank,ticker,group,total_pnl,trades,win_rate,avg_hold,avg_pnl_per_trade,tp_exits,sx_exits,best_trade,worst_trade
1,ARWR,IWM50,2013.32,235,56.6,2.3,8.567,92,143,487.5,-60.45
2,KLAC,QQQ50,317.57,276,56.5,1.5,1.151,53,223,206.52,-75.17
3,MELI,QQQ50,149.71,137,65.7,1.3,1.093,27,110,143.82,-254.99
4,GTLS,IWM50,118.21,149,59.7,1.3,0.793,31,118,82.4,-18.95
5,SNPS,QQQ50,110.31,147,67.3,1.0,0.75,20,127,23.85,-29.32
6,KTOS,IWM50,91.01,159,64.8,1.6,0.572,31,128,44.38,-52.5
7,INTU,QQQ50+SPY50,80.07,154,60.4,1.1,0.52,28,126,21.76,-24.61
8,NXPI,QQQ50,71.8,80,66.2,1.0,0.897,14,66,10.25,-5.69
9,TMO,SPY50,65.83,155,51.6,1.0,0.425,11,144,36.79,-4.54
10,ONTO,IWM50,62.0,46,71.7,1.6,1.348,8,38,16.75,-22.56
11,USO,ETF,59.08,81,65.4,0.8,0.729,5,76,12.88,-26.96
12,MU,QQQ50+SPY50,58.44,304,57.9,1.5,0.192,67,237,22.72,-13.97
13,NVAX,IWM50,56.92,189,66.7,1.7,0.301,68,121,25.98,-42.46
14,ADBE,QQQ50,53.74,224,60.3,1.3,0.24,39,185,28.45,-17.24
15,MRVL,QQQ50,47.76,146,67.1,1.2,0.327,32,114,6.22,-6.11
16,BLK,SPY50,47.34,93,64.5,1.0,0.509,9,84,23.18,-35.91
17,QQQ,ETF,46.62,54,64.8,0.6,0.863,7,47,11.03,-8.69
18,ABNB,QQQ50,45.63,31,64.5,0.7,1.472,4,27,14.18,-3.76
19,MARA,IWM50,44.13,107,59.8,1.6,0.412,46,61,31.2,-14.04
20,SMH,ETF,43.97,83,68.7,0.9,0.53,10,73,13.84,-8.85
21,STRL,IWM50,38.96,238,50.0,1.7,0.164,68,170,29.73,-23.96
22,GE,SPY50,38.26,141,60.3,0.8,0.271,11,130,7.91,-7.19
23,CRM,Dow30+SPY50,34.33,118,61.9,1.0,0.291,13,105,9.44,-6.97
