ticker,group,all_vix_pnl,vix_lt15,vix_15_20,vix_20_25,vix_25_30,vix_gt30
ARWR,IWM50,2650.16,1328.29,991.67,404.32,44.02,27.88
KLAC,QQQ50,265.70,91.12,98.85,77.09,10.60,15.71
NVAX,IWM50,223.34,45.62,215.27,-35.47,-44.16,44.45
INTU,QQQ50+SPY50,94.54,-9.14,9.03,24.70,54.06,18.71
SNPS,QQQ50,94.11,22.80,15.65,12.48,41.94,0.25
GTLS,IWM50,91.05,9.56,22.94,63.77,96.66,-7.90
USO,ETF,84.44,12.57,37.18,-5.36,30.76,28.53
ADBE,QQQ50,69.37,-13.74,-48.90,52.56,60.78,20.34
MRVL,QQQ50,68.88,31.22,20.69,14.00,5.81,2.55
META,QQQ50+SPY50,58.83,1.14,15.32,23.25,13.63,3.60
TMO,SPY50,55.87,14.55,3.85,44.44,-9.51,-1.74
ABNB,QQQ50,53.56,0.92,22.40,30.82,8.70,
XOP,ETF,52.81,24.88,-2.10,10.42,16.31,11.53
MU,QQQ50+SPY50,52.66,8.19,30.68,0.36,6.09,3.12
ORCL,SPY50,50.76,23.51,-0.20,24.64,0.84,-0.78
ACLS,IWM50,50.17,8.32,28.93,6.31,-11.52,21.51
SIGI,IWM50,44.64,2.79,25.25,9.40,5.77,5.91
NXPI,QQQ50,43.65,14.35,19.91,17.41,-0.80,6.55
MARA,IWM50,41.60,14.50,19.24,2.84,-3.96,1.92
JPM,Dow30+SPY50,40.68,0.95,1.67,26.14,10.17,4.48
SHW,Dow30,37.87,6.02,1.83,17.55,3.16,10.68
STRL,IWM50,37.17,-4.38,30.04,16.57,-4.28,9.81
UNH,Dow30+SPY50,36.88,17.50,1.65,-10.90,7.25,19.40
QQQ,ETF,35.81,-5.76,7.46,18.70,15.23,0.58
AMAT,QQQ50,34.44,20.08,-16.81,9.41,11.29,8.25
CRM,Dow30+SPY50,33.42,14.97,2.94,9.69,0.47,8.12
SPGI,SPY50,33.04,-20.35,-16.44,20.04,21.41,9.34
ISRG,QQQ50+SPY50,32.95,5.87,28.44,-1.45,-10.69,0.05
LRCX,QQQ50,30.61,-1.55,21.50,2.26,-4.07,3.04
HON,Dow30,30.57,6.62,6.01,8.99,1.48,3.58
MA,SPY50,30.46,-7.89,17.88,4.70,17.34,0.28
RIOT,IWM50,30.04,0.96,23.09,4.43,-0.62,-0.53
NXT,IWM50,28.18,3.64,18.92,5.62,,
SPY,ETF,26.71,2.16,2.54,9.97,2.56,9.47
DY,IWM50,26.61,0.93,50.85,-23.46,-24.83,9.34
AMZN,Dow30+QQQ50+SPY50,26.13,5.65,9.38,-2.50,8.31,7.72
GLD,ETF,26.12,-1.31,8.31,1.10,3.59,14.43
IONQ,IWM50,26.01,0.34,30.30,-3.05,2.09,1.97
MMM,Dow30,25.94,9.22,8.56,11.50,-5.08,2.33
GE,SPY50,25.77,0.76,16.03,-17.17,12.02,10.56
SPXC,IWM50,25.14,2.65,14.75,-1.97,3.28,3.92
NOW,SPY50,24.73,12.80,8.23,2.84,8.74,-0.04
XOM,SPY50,24.28,2.71,3.74,10.33,-1.46,9.14
IBM,Dow30+SPY50,24.23,-8.80,17.66,8.57,7.83,-1.72
CLSK,IWM50,24.07,27.53,6.91,-9.59,-3.38,1.66
ONTO,IWM50,22.28,28.28,-15.81,-2.75,12.89,5.32
AXP,Dow30+SPY50,22.02,3.86,4.97,8.51,0.85,1.14
TTMI,IWM50,21.79,1.38,25.93,-3.76,-1.26,1.95
IRTC,IWM50,21.57,-0.20,15.41,14.85,12.39,5.31
ON,QQQ50,20.46,3.32,7.79,15.76,-2.48,1.42
SMH,ETF,19.11,-12.79,29.13,-2.88,2.55,5.66
TMDX,IWM50,18.97,-2.88,19.88,1.07,-1.02,-8.00
MRK,Dow30,18.75,-3.63,4.04,11.92,6.31,1.37
