Ticker,Trades_no_regime,Win Rate_no_regime,Total PnL_no_regime,Avg R:R_no_regime,no_regime_pnl_num,Trades_regime,Win Rate_regime,Total PnL_regime,Avg R:R_regime,regime_pnl_num,pnl_delta_vs_regime
COST,212,33.0%,$-110.06,1.33R,-110.06,145,31.7%,$-70.84,1.41R,-70.84,-39.22
ASML,333,40.5%,$-225.70,1.03R,-225.7,227,37.4%,$-194.56,1.13R,-194.56,-31.139999999999986
IWM,255,31.0%,$-3.92,2.17R,-3.92,184,31.5%,$25.61,2.62R,25.61,-29.53
HD,246,31.7%,$27.14,2.44R,27.14,184,31.0%,$49.70,2.93R,49.7,-22.560000000000002
GEV,15,33.3%,$-51.21,1.01R,-51.21,11,36.4%,$-30.72,1.08R,-30.72,-20.490000000000002
CRM,181,32.6%,$-48.45,1.54R,-48.45,142,32.4%,$-29.73,1.70R,-29.73,-18.720000000000002
BE,88,39.8%,$-4.24,1.35R,-4.24,64,48.4%,$14.40,1.91R,14.4,-18.64
AMAT,244,41.4%,$2.46,1.44R,2.46,184,40.8%,$19.22,1.76R,19.22,-16.759999999999998
PEP,179,31.3%,$-30.79,1.34R,-30.79,132,33.3%,$-15.01,1.46R,-15.01,-15.78
LLY,228,34.2%,$110.91,2.65R,110.91,158,35.4%,$122.84,2.72R,122.84,-11.930000000000007
AXP,249,35.3%,$-3.92,1.79R,-3.92,178,33.1%,$7.16,2.13R,7.16,-11.08
ASTS,72,48.6%,$-6.93,0.85R,-6.93,49,51.0%,$3.95,1.12R,3.95,-10.879999999999999
IBM,238,32.8%,$-23.99,1.79R,-23.99,174,31.0%,$-13.49,2.02R,-13.49,-10.499999999999998
GOOG,175,32.6%,$-27.49,1.46R,-27.49,125,28.0%,$-18.14,1.86R,-18.14,-9.349999999999998
TSLA,151,37.1%,$49.26,1.97R,49.26,117,35.9%,$57.66,2.23R,57.66,-8.399999999999999
TMUS,167,30.5%,$-19.34,1.81R,-19.34,122,27.9%,$-12.56,2.17R,-12.56,-6.779999999999999
LIN,224,36.2%,$18.70,1.95R,18.7,160,35.6%,$25.14,2.14R,25.14,-6.440000000000001
GOOGL,175,33.1%,$-14.64,1.67R,-14.64,126,29.4%,$-8.70,2.07R,-8.7,-5.940000000000001
HON,226,36.7%,$-13.18,1.54R,-13.18,174,35.1%,$-8.44,1.71R,-8.44,-4.74
TRV,210,40.0%,$-17.68,1.25R,-17.68,158,37.3%,$-14.68,1.37R,-14.68,-3.0
MU,258,39.9%,$-17.83,1.33R,-17.83,202,36.6%,$-14.87,1.52R,-14.87,-2.959999999999999
PLTR,58,46.6%,$18.29,1.99R,18.29,45,55.6%,$20.98,1.64R,20.98,-2.6900000000000013
AAOI,112,43.8%,$-16.71,0.78R,-16.71,84,40.5%,$-14.28,0.75R,-14.28,-2.4300000000000015
NKE,226,39.4%,$42.23,2.40R,42.23,163,36.8%,$44.34,3.12R,44.34,-2.1100000000000065
MMM,221,34.4%,$0.01,1.91R,0.01,158,33.5%,$2.08,2.02R,2.08,-2.0700000000000003
MP,64,29.7%,$-17.04,1.11R,-17.04,44,22.7%,$-15.04,1.43R,-15.04,-2.0
AVGO,134,30.6%,$-18.57,1.78R,-18.57,101,25.7%,$-16.58,2.28R,-16.58,-1.990000000000002
IREN,46,52.2%,$12.94,1.94R,12.94,34,61.8%,$14.43,1.87R,14.43,-1.4900000000000002
HOOD,51,52.9%,$14.33,1.39R,14.33,41,53.7%,$15.54,1.48R,15.54,-1.209999999999999
KO,220,40.9%,$-0.68,1.42R,-0.68,153,43.1%,$0.33,1.33R,0.33,-1.01
HIMS,68,42.6%,$5.60,1.72R,5.6,50,40.0%,$6.13,2.14R,6.13,-0.5300000000000002
XE,0,0.0%,$0.00,0.00R,0.0,0,0.0%,$0.00,0.00R,0.0,0.0
OKLO,46,39.1%,$28.54,3.41R,28.54,31,38.7%,$28.07,3.45R,28.07,0.46999999999999886
LRCX,269,34.6%,$-23.67,1.26R,-23.67,194,28.4%,$-24.17,1.53R,-24.17,0.5
WMT,213,30.5%,$-12.88,1.66R,-12.88,165,28.5%,$-13.39,1.66R,-13.39,0.5099999999999998
UEC,166,46.4%,$-0.30,1.12R,-0.3,127,41.7%,$-1.07,1.22R,-1.07,0.77
CVX,240,35.4%,$-18.72,1.58R,-18.72,172,32.0%,$-19.74,1.78R,-19.74,1.0199999999999996
FLEX,250,38.4%,$-0.97,1.56R,-0.97,184,33.7%,$-2.20,1.82R,-2.2,1.2300000000000002
BRK-B,220,34.5%,$-40.50,1.47R,-40.5,164,32.9%,$-42.07,1.46R,-42.07,1.5700000000000003
MRK,240,40.8%,$8.23,1.58R,8.23,180,38.9%,$5.79,1.70R,5.79,2.4400000000000004
SNDK,12,58.3%,$-28.10,0.35R,-28.1,8,50.0%,$-30.73,0.43R,-30.73,2.629999999999999
NNE,19,52.6%,$2.16,1.05R,2.16,15,46.7%,$-0.69,1.07R,-0.69,2.85
CRWV,13,53.8%,$2.56,0.94R,2.56,10,50.0%,$-0.37,0.98R,-0.37,2.93
NFLX,179,38.0%,$-3.70,1.46R,-3.7,136,33.1%,$-6.71,1.56R,-6.71,3.01
XOM,247,35.6%,$7.89,1.93R,7.89,178,35.4%,$4.88,1.93R,4.88,3.01
IONQ,57,40.4%,$7.75,2.12R,7.75,43,37.2%,$4.62,2.27R,4.62,3.13
SMR,40,55.0%,$9.41,1.51R,9.41,31,54.8%,$6.22,1.57R,6.22,3.1900000000000004
NBIS,16,50.0%,$3.30,1.16R,3.3,12,41.7%,$-0.28,1.38R,-0.28,3.58
VZ,236,40.7%,$8.88,1.71R,8.88,176,40.3%,$4.94,1.66R,4.94,3.9400000000000004
GLW,272,37.1%,$-6.76,1.55R,-6.76,193,32.6%,$-11.43,1.72R,-11.43,4.67
SLV,217,42.9%,$11.48,1.93R,11.48,142,38.0%,$6.49,2.13R,6.49,4.99
URAA,26,57.7%,$18.76,2.46R,18.76,21,52.4%,$13.76,2.59R,13.76,5.000000000000002
DIS,242,45.0%,$40.34,1.84R,40.34,178,43.3%,$35.31,2.05R,35.31,5.030000000000001
CSCO,232,37.1%,$14.13,2.19R,14.13,163,33.7%,$8.22,2.38R,8.22,5.91
CCJ,266,34.6%,$-7.65,1.71R,-7.65,188,30.3%,$-14.05,1.82R,-14.05,6.4
COIN,60,35.0%,$-9.70,1.77R,-9.7,48,31.2%,$-16.24,1.98R,-16.24,6.539999999999999
AMZN,241,39.4%,$51.79,2.37R,51.79,184,39.1%,$44.99,2.49R,44.99,6.799999999999997
PG,206,39.3%,$25.85,1.99R,25.85,150,38.7%,$18.51,2.00R,18.51,7.34
GLD,201,37.8%,$20.77,1.97R,20.77,134,34.3%,$11.84,2.20R,11.84,8.93
INTC,254,34.3%,$-16.57,1.53R,-16.57,181,29.8%,$-26.62,1.41R,-26.62,10.05
NVDA,233,39.1%,$28.06,2.69R,28.06,163,35.6%,$17.32,2.93R,17.32,10.739999999999998
CAT,239,34.3%,$2.40,1.94R,2.4,175,31.4%,$-9.45,2.06R,-9.45,11.85
MCD,191,38.7%,$2.69,1.62R,2.69,143,33.6%,$-10.40,1.71R,-10.4,13.09
UUUU,209,39.7%,$59.99,3.29R,59.99,158,41.8%,$46.18,2.97R,46.18,13.810000000000002
V,155,36.8%,$-9.31,1.60R,-9.31,115,32.2%,$-24.65,1.66R,-24.65,15.339999999999998
P,82,39.0%,$7.91,2.00R,7.91,56,32.1%,$-7.48,1.42R,-7.48,15.39
ABBV,104,36.5%,$32.52,2.54R,32.52,83,37.3%,$14.88,2.08R,14.88,17.64
SPY,262,30.5%,$29.42,2.52R,29.42,190,27.4%,$11.47,2.79R,11.47,17.950000000000003
JNJ,213,39.9%,$18.92,1.82R,18.92,155,36.8%,$-0.80,1.70R,-0.8,19.720000000000002
JD,158,48.7%,$35.49,1.62R,35.49,110,45.5%,$15.46,1.55R,15.46,20.03
AMD,249,40.2%,$-25.98,1.24R,-25.98,188,38.8%,$-46.29,1.04R,-46.29,20.31
UNH,188,37.2%,$90.79,2.41R,90.79,132,34.1%,$69.32,2.71R,69.32,21.470000000000013
ADI,262,37.0%,$-28.34,1.46R,-28.34,200,31.0%,$-50.92,1.57R,-50.92,22.580000000000002
AAPL,224,42.0%,$82.31,2.70R,82.31,160,40.0%,$58.55,2.80R,58.55,23.760000000000005
TXN,259,42.5%,$18.97,1.52R,18.97,192,40.1%,$-5.27,1.44R,-5.27,24.24
JPM,255,37.6%,$-7.47,1.57R,-7.47,193,32.1%,$-32.65,1.56R,-32.65,25.18
KLAC,263,35.4%,$-173.35,1.34R,-173.35,191,32.5%,$-200.16,1.30R,-200.16,26.810000000000002
MA,166,34.9%,$-3.98,1.83R,-3.98,110,30.9%,$-32.21,1.77R,-32.21,28.23
AMGN,206,41.7%,$39.79,1.71R,39.79,149,39.6%,$11.38,1.64R,11.38,28.409999999999997
SHW,206,35.0%,$47.97,2.48R,47.97,157,33.1%,$17.63,2.30R,17.63,30.34
BA,262,35.1%,$-92.41,1.34R,-92.41,197,30.5%,$-124.67,1.35R,-124.67,32.260000000000005
ORCL,243,41.6%,$93.37,2.97R,93.37,176,38.1%,$61.09,3.15R,61.09,32.28
GS,275,35.3%,$-10.04,1.80R,-10.04,211,28.4%,$-57.71,2.17R,-57.71,47.67
QQQ,247,31.6%,$178.12,4.01R,178.12,187,29.4%,$129.45,4.09R,129.45,48.670000000000016
BABA,146,51.4%,$129.68,1.84R,129.68,99,41.4%,$78.95,2.42R,78.95,50.730000000000004
MSFT,230,37.8%,$61.95,2.22R,61.95,166,29.5%,$8.51,2.51R,8.51,53.440000000000005
META,110,49.1%,$216.69,2.11R,216.69,85,44.7%,$138.24,2.10R,138.24,78.44999999999999
LEU,204,46.1%,$-496.56,0.97R,-496.56,156,45.5%,$-684.64,0.88R,-684.64,188.07999999999998
