Ticker,Trades,Win Rate,Total PnL,Avg R:R
AVGO,134,30.6%,$-18.57,1.78R
AMD,249,40.2%,$-25.98,1.24R
INTC,254,34.3%,$-16.57,1.53R
GOOG,175,32.6%,$-27.49,1.46R
MU,258,39.9%,$-17.83,1.33R
GOOGL,175,33.1%,$-14.64,1.67R
MSFT,230,37.8%,$61.95,2.22R
NVDA,233,39.1%,$28.06,2.69R
AAPL,224,42.0%,$82.31,2.70R
AMZN,241,39.4%,$51.79,2.37R
TSLA,151,37.1%,$49.26,1.97R
PLTR,58,46.6%,$18.29,1.99R
META,110,49.1%,$216.69,2.11R
BRK-B,220,34.5%,$-40.50,1.47R
CSCO,232,37.1%,$14.13,2.19R
NFLX,179,38.0%,$-3.70,1.46R
COST,212,33.0%,$-110.06,1.33R
WMT,213,30.5%,$-12.88,1.66R
AMAT,244,41.4%,$2.46,1.44R
LRCX,269,34.6%,$-23.67,1.26R
TXN,259,42.5%,$18.97,1.52R
TMUS,167,30.5%,$-19.34,1.81R
LIN,224,36.2%,$18.70,1.95R
KLAC,263,35.4%,$-173.35,1.34R
PEP,179,31.3%,$-30.79,1.34R
ADI,262,37.0%,$-28.34,1.46R
JPM,255,37.6%,$-7.47,1.57R
XOM,247,35.6%,$7.89,1.93R
LLY,228,34.2%,$110.91,2.65R
ABBV,104,36.5%,$32.52,2.54R
V,155,36.8%,$-9.31,1.60R
JNJ,213,39.9%,$18.92,1.82R
CAT,239,34.3%,$2.40,1.94R
MA,166,34.9%,$-3.98,1.83R
PG,206,39.3%,$25.85,1.99R
CVX,240,35.4%,$-18.72,1.58R
KO,220,40.9%,$-0.68,1.42R
GS,275,35.3%,$-10.04,1.80R
HD,246,31.7%,$27.14,2.44R
MRK,240,40.8%,$8.23,1.58R
IBM,238,32.8%,$-23.99,1.79R
AXP,249,35.3%,$-3.92,1.79R
UNH,188,37.2%,$90.79,2.41R
VZ,236,40.7%,$8.88,1.71R
MCD,191,38.7%,$2.69,1.62R
DIS,242,45.0%,$40.34,1.84R
URAA,26,57.7%,$18.76,2.46R
BA,262,35.1%,$-92.41,1.34R
CRM,181,32.6%,$-48.45,1.54R
XE,0,0.0%,$0.00,0.00R
AMGN,206,41.7%,$39.79,1.71R
HON,226,36.7%,$-13.18,1.54R
UEC,166,46.4%,$-0.30,1.12R
NNE,19,52.6%,$2.16,1.05R
UUUU,209,39.7%,$59.99,3.29R
SHW,206,35.0%,$47.97,2.48R
NKE,226,39.4%,$42.23,2.40R
TRV,210,40.0%,$-17.68,1.25R
MMM,221,34.4%,$0.01,1.91R
SMR,40,55.0%,$9.41,1.51R
OKLO,46,39.1%,$28.54,3.41R
LEU,204,46.1%,$-496.56,0.97R
BE,88,39.8%,$-4.24,1.35R
IREN,46,52.2%,$12.94,1.94R
HOOD,51,52.9%,$14.33,1.39R
COIN,60,35.0%,$-9.70,1.77R
AAOI,112,43.8%,$-16.71,0.78R
CRWV,13,53.8%,$2.56,0.94R
ASTS,72,48.6%,$-6.93,0.85R
GEV,15,33.3%,$-51.21,1.01R
FLEX,250,38.4%,$-0.97,1.56R
CCJ,266,34.6%,$-7.65,1.71R
IWM,255,31.0%,$-3.92,2.17R
BABA,146,51.4%,$129.68,1.84R
SNDK,12,58.3%,$-28.10,0.35R
SPY,262,30.5%,$29.42,2.52R
HIMS,68,42.6%,$5.60,1.72R
NBIS,16,50.0%,$3.30,1.16R
ASML,333,40.5%,$-225.70,1.03R
IONQ,57,40.4%,$7.75,2.12R
QQQ,247,31.6%,$178.12,4.01R
MP,64,29.7%,$-17.04,1.11R
GLD,201,37.8%,$20.77,1.97R
SLV,217,42.9%,$11.48,1.93R
JD,158,48.7%,$35.49,1.62R
P,82,39.0%,$7.91,2.00R
GLW,272,37.1%,$-6.76,1.55R
ORCL,243,41.6%,$93.37,2.97R
