ticker,variant,fvg_form_date,fvg_age_bars,fvg_age_calendar_days,fvg_low,fvg_gap_size,fvg_gap_pct,support_ratcheted_count,break_date,broken_support,break_high,break_low,break_close,break_range_pct,support_distance_pct,stop_source,entry_date,entry,stop,risk,r_multiple,target,exit_date,exit_price,reason,pnl,realized_R,hold_days,prior_close,prior_sma5,prior_sma10,prior_sma20,prior_sma200,ret5,gap_pct,risk_pct,close_vs_sma5,close_vs_sma10,sma10_sma20_spread,sma20_sma200_spread,atr14,risk_atr,volume_zscore_20,vol_profile,vol_regime,atr_pct,atr_pct_252_median,bearish_fvg,bearish_fvg_gap_size,bearish_fvg_gap_pct,bearish_fvg_count_3,bearish_fvg_count_5,bearish_fvg_count_since_support,bearish_fvg_sequence_max_since_support,last_bearish_fvg_age_bars,bearish_fvg_gap_sum_since_support,bearish_fvg_gap_max_since_support,bearish_fvg_after_support_before_break
AAOI,adaptive-v1,2015-06-25,2,4,18.549999237060547,0.07999992370605469,0.0043313441624338225,0,2015-06-29,18.549999237060547,18.559999465942383,17.18000030517578,17.329999923706055,0.0796306501351378,-0.07039811417919457,BREAK_HIGH,2015-06-30,17.5,18.559999465942383,1.0599994659423828,3.0,14.320001602172852,2015-07-13,19.260000228881836,GAP_STOP,-1.760000228881836,-1.660378410961862,13,17.329999923706055,18.471999740600587,18.523999977111817,18.359500026702882,13.514750003814697,-0.03775681824175081,0.009809583210753441,0.06057139805385044,-0.06182329108550553,-0.06445692371415808,0.008959936282016325,0.3584787007914092,1.0942858287266322,0.9686678179647572,-0.1841554375644713,EXTREME_VOL,NORMAL_RELATIVE_VOL,0.06314401809256424,0.05122906635694541,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
AAOI,adaptive-v1,2015-08-28,2,4,20.450000762939453,0.720001220703125,0.036492713502694556,0,2015-09-01,20.450000762939453,20.5,19.510000228881836,19.670000076293945,0.05033044063438008,-0.039654330636508514,BREAK_HIGH,2015-09-02,20.040000915527344,20.5,0.45999908447265625,3.0,18.660003662109375,2015-09-03,20.5,STOP,-0.45999908447265625,-1.0,1,19.670000076293945,20.316000366210936,20.176000022888182,20.91750011444092,14.40700002193451,0.025547432915626,0.01881041371623171,0.022954045082714588,-0.03179761164955491,-0.025079299465712593,-0.035448791083826696,0.45189838846354136,1.0000716618129182,0.45996612246643936,-0.6271958322900166,HIGH_VOL,NORMAL_RELATIVE_VOL,0.050842483880729254,0.05180598869528684,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
AAOI,adaptive-v1,2017-07-25,6,8,93.56999969482422,1.802001953125,0.019636496354612884,0,2017-08-02,93.56999969482422,101.3000030517578,92.36000061035156,93.5,0.09561499937332872,-0.0007486598376921791,BREAK_HIGH,2017-08-03,95.47000122070312,101.3000030517578,5.830001831054673,3.0,77.9799957275391,2017-08-04,77.9799957275391,TARGET_3R,17.49000549316402,3.0,1,93.5,97.01199951171876,95.5,86.21150016784668,46.06607513427734,-0.053260449802084664,0.021069531772225935,0.061066321949416816,-0.03620170215432491,-0.020942408376963352,0.10774084448210944,0.8714748308066189,6.228857312883652,0.935966508495227,0.06680386374880892,EXTREME_VOL,NORMAL_RELATIVE_VOL,0.06661879479019948,0.05486197645028627,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
AAOI,adaptive-v1,2018-08-09,5,7,39.75,0.2999992370605469,0.007604543251172137,0,2018-08-16,39.75,41.849998474121094,39.369998931884766,39.58000183105469,0.06265789357014397,-0.004295052073795788,BREAK_HIGH,2018-08-17,39.90999984741211,41.849998474121094,1.9399986267089844,3.0,34.090003967285156,2018-08-22,41.849998474121094,STOP,-1.9399986267089844,-1.0,5,39.58000183105469,41.476000213623045,40.40299949645996,39.709499740600585,36.496100130081174,-0.012967497826763985,0.00833749371124343,0.04860933686109197,-0.04571314429556796,-0.020369716992853077,0.01746432869690161,0.08804775302199563,2.553785596575055,0.7596560295863382,-0.11605921447732391,EXTREME_VOL,NORMAL_RELATIVE_VOL,0.06452211921251962,0.056934494089584994,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
AAOI,adaptive-v1,2021-02-09,1,1,12.079999923706056,0.26000022888183594,0.021996635837113063,2,2021-02-10,12.079999923706056,12.539999961853027,11.630000114440918,11.75,0.07744679552443484,-0.028085099889877146,BREAK_HIGH,2021-02-11,11.899999618530272,12.539999961853027,0.6400003433227557,3.0,9.979998588562005,2021-02-12,12.59000015258789,GAP_STOP,-0.690000534057619,-1.0781252561135704,1,11.75,11.91599998474121,11.438000011444093,11.125500059127807,10.389499986171723,0.08195215206802886,0.012765924981299717,0.05378154317972995,-0.013930848015590674,0.027277495037921082,0.028088620795062396,0.07084075979938305,0.8890714645385742,0.7198525302517883,-0.38136352438724325,EXTREME_VOL,NORMAL_RELATIVE_VOL,0.0756656565564744,0.0659566730841232,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
AAOI,adaptive-v1,2023-02-16,1,1,2.8299999237060547,0.11800003051757768,0.043510337450215,0,2023-02-17,2.8299999237060547,3.01200008392334,2.7929999828338623,2.799999952316284,0.07821432314965253,-0.010714275678809638,BREAK_HIGH,2023-02-21,2.859999895095825,3.01200008392334,0.15200018882751465,3.0,2.4039993286132812,2023-02-23,3.0399999618530273,GAP_STOP,-0.18000006675720215,-1.1842094943807007,2,2.799999952316284,2.784000015258789,2.7020000219345093,2.5545000076293944,2.2997749996185304,0.056603717566302336,0.021428551357619275,0.053146921119877115,0.005747103796623988,0.036269403991940535,0.05774124637486165,0.11076083880080267,0.1752143587384906,0.8675098885838269,0.20839397786189048,EXTREME_VOL,NORMAL_RELATIVE_VOL,0.0625765577579905,0.07102318128446292,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
AAOI,adaptive-v1,2023-12-14,4,6,21.600000381469727,2.1700000762939453,0.111682966660371,2,2023-12-20,21.600000381469727,22.767000198364254,20.600000381469727,20.6200008392334,0.10509213039271105,-0.04752664899856338,BREAK_HIGH,2023-12-21,21.190000534057617,22.767000198364254,1.576999664306637,3.0,16.459001541137706,2023-12-26,22.767000198364254,STOP,-1.576999664306637,-1.0,5,20.6200008392334,22.209000396728516,20.722500228881835,17.855750036239623,7.842400014996529,-0.04625346721473389,0.027643049060390338,0.0744218794035425,-0.07154754960197059,-0.004946284884368262,0.16055053340374503,1.276822146548913,2.095357281821115,0.7526161184960479,-0.37698497875271564,EXTREME_VOL,NORMAL_RELATIVE_VOL,0.10161771079244122,0.07930775537025841,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
AAOI,adaptive-v1,2024-10-14,1,1,18.100000381469727,1.3700008392333984,0.08188887487861031,3,2024-10-15,18.100000381469727,18.790000915527344,16.924999237060547,17.399999618530273,0.1071840068594397,-0.040229929786549046,BREAK_HIGH,2024-10-16,17.959999084472656,18.790000915527344,0.8300018310546875,3.0,15.469993591308594,2024-10-16,18.790000915527344,STOP,-0.8300018310546875,-1.0,0,17.399999618530273,17.302000045776367,16.120499992370604,15.205499982833862,12.889975008964539,0.05775068763103608,0.03218387805859529,0.04621391277086795,0.005664060368432906,0.07937096409945237,0.06017559505243002,0.1796376620015907,1.4392143658229288,0.5767047986490188,0.7179689054622147,EXTREME_VOL,NORMAL_RELATIVE_VOL,0.08271347111354103,0.08398998765235423,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
AAOI,adaptive-v1,2024-11-04,2,2,16.329999923706055,0.1100006103515625,0.006781788841445582,0,2024-11-06,16.329999923706055,18.0,15.90999984741211,16.209999084472656,0.1289327742522746,-0.007402889945154016,BREAK_HIGH,2024-11-07,16.829999923706055,18.0,1.1700000762939453,3.0,13.319999694824219,2024-11-07,18.0,STOP,-1.1700000762939453,-1.0,0,16.209999084472656,16.321999931335448,16.512000179290773,17.25750002861023,12.787724995613098,-0.008562770258754293,0.03824804899756528,0.06951872142589441,-0.006861956092020873,-0.018289794787967856,-0.043198600497380044,0.3495363744943306,1.2887144088745117,0.9078815820145562,2.029361401964887,EXTREME_VOL,NORMAL_RELATIVE_VOL,0.07950120182973694,0.08355783491231114,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
AAOI,adaptive-v1,2025-07-03,12,19,26.420000076293945,0.4099998474121094,0.015763162007082197,3,2025-07-22,26.420000076293945,28.229999542236328,25.399999618530273,26.350000381469727,0.10740037505639707,-0.002656534869481257,BREAK_HIGH,2025-07-23,27.200000762939453,28.229999542236328,1.029998779296875,3.0,24.110004425048828,2025-07-29,24.110004425048828,TARGET_3R,3.089996337890625,3.0,6,26.350000381469727,28.322999954223633,28.492000007629393,27.407000064849854,23.197300086021425,-0.09883718920213658,0.03225807852615735,0.037867601117874565,-0.06966068481243934,-0.0751789844723465,0.03958842413296735,0.18147370440602148,2.5314287458147327,0.4068843655978051,0.03327535329447011,EXTREME_VOL,NORMAL_RELATIVE_VOL,0.09606940072740662,0.09961885745194898,False,0.0,0.0,0.0,0.0,0,0,-1,0.0,0.0,False
