ticker,variant,r_multiple,data_start,data_end,trades,total_R,avg_R,pf_R,win_rate,target_rate,stop_rate,gap_stop_rate,time_exit_rate,avg_hold_days,target_3R_count,target_4R_count,avg_effective_r,pnl_1share,avg_trade_1share
AAOI,legacy,3.0,2013-09-26,2026-05-08,24,-18.95589549319309,-0.7898289788830454,0.3219356719297862,0.125,0.125,0.7083333333333334,0.16666666666666666,0.0,4.083333333333333,24,0,3.0,-42.1139976978302,-1.7547499040762584
AAOI,r3-core,3.0,2013-09-26,2026-05-08,9,-5.660378410961862,-0.628930934551318,0.34640518666052217,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,4.222222222222222,9,0,3.0,-10.870007038116455,-1.2077785597907171
AAOI,r3-v5-broad,3.0,2013-09-26,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
AAOI,r3-v5-priority,3.0,2013-09-26,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
AAOI,adaptive-v1,3.0,2013-09-26,2026-05-08,10,-2.9227131614561337,-0.29227131614561336,0.6724412061029243,0.2,0.2,0.5,0.3,0.0,3.4,10,0,3.0,11.973001718521077,1.1973001718521077
AAOI,adaptive-v2,3.0,2013-09-26,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
AAOI,adaptive-v2-extreme-research,3.0,2013-09-26,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
AAPL,legacy,3.0,1999-01-04,2026-05-08,151,-22.33474135647533,-0.1479121944137439,0.8150118716367368,0.23841059602649006,0.1986754966887417,0.6556291390728477,0.09271523178807947,0.052980132450331126,5.503311258278146,151,0,3.0,-17.54754847288142,-0.11620893028398291
AAPL,r3-core,3.0,1999-01-04,2026-05-08,61,1.933508675805757,0.0316968635377993,1.04208014280881,0.2786885245901639,0.2459016393442623,0.6557377049180327,0.06557377049180328,0.03278688524590164,5.245901639344262,61,0,3.0,9.444862872361977,0.15483381757970455
AAPL,r3-v5-broad,3.0,1999-01-04,2026-05-08,27,3.2879331227586857,0.12177530084291428,1.1730491117241415,0.2962962962962963,0.25925925925925924,0.7037037037037037,0.0,0.037037037037037035,4.777777777777778,27,0,3.0,0.12590026855458802,0.004662972909429186
AAPL,r3-v5-priority,3.0,1999-01-04,2026-05-08,21,5.287933122758686,0.25180633917898504,1.3777095087684776,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.0,0.047619047619047616,5.285714285714286,21,0,3.0,-0.815173745155434,-0.038817797388353996
