ticker,name,exchange,sector_yf
A,Agilent Technologies,NYSE,Healthcare
AAPL,Apple Inc.,NYSE,Technology
ABBV,AbbVie,NYSE,Healthcare
ABNB,Airbnb,NYSE,Consumer Cyclical
ABT,Abbott Laboratories,NYSE,Healthcare
ACGL,Arch Capital Group,NYSE,Financial Services
ACN,Accenture,NYSE,Technology
ADBE,Adobe Inc.,NYSE,Technology
ADI,Analog Devices,NYSE,Technology
ADM,Archer Daniels Midland,NYSE,Consumer Defensive
ADP,Automatic Data Processing,NYSE,Industrials
ADSK,Autodesk,NYSE,Technology
AEE,Ameren,NYSE,Utilities
AEHR,Aehr Test Systems,NASDAQ,Technology
AEP,American Electric Power,NYSE,Utilities
AES,AES Corporation,NYSE,Utilities
AFL,Aflac,NYSE,Financial Services
AIG,American International Group,NYSE,Financial Services
AIZ,Assurant,NYSE,Financial Services
AJG,Arthur J. Gallagher & Co.,NYSE,Financial Services
AKAM,Akamai Technologies,NYSE,Technology
ALB,Albemarle Corporation,NYSE,Basic Materials
ALGN,Align Technology,NYSE,Healthcare
ALL,Allstate,NYSE,Financial Services
ALLE,Allegion,NYSE,Industrials
AMAT,Applied Materials,NYSE,Technology
AMCR,Amcor,NYSE,Basic Materials
AMD,Advanced Micro Devices,NYSE,Technology
AME,Ametek,NYSE,Industrials
AMGN,Amgen,NYSE,Healthcare
AMP,Ameriprise Financial,NYSE,Financial Services
AMSF,AMERITAS Life Partners,NASDAQ,Financial Services
AMT,American Tower,NYSE,Real Estate
AMTB,Amerant Bancorp,NASDAQ,Financial Services
AMZN,Amazon,NYSE,Consumer Cyclical
ANDE,Andersons Inc,NASDAQ,Consumer Defensive
ANET,Arista Networks,NYSE,Technology
AON,Aon plc,NYSE,Financial Services
AOS,A. O. Smith,NYSE,Industrials
APA,APA Corporation,NYSE,Energy
APD,Air Products,NYSE,Basic Materials
APH,Amphenol,NYSE,Technology
APO,Apollo Global Management,NYSE,Financial Services
APOG,Apogee Enterprises,NASDAQ,Industrials
APP,AppLovin,NYSE,Technology
APTV,Aptiv,NYSE,Consumer Cyclical
ARE,Alexandria Real Estate Equities,NYSE,Real Estate
ARES,Ares Management,NYSE,Financial Services
ARWR,Arrowhead Pharmaceuticals,NASDAQ,Healthcare
ASRV,AmeriServ Financial,NASDAQ,Financial Services
ATO,Atmos Energy,NYSE,Utilities
ATRC,AtriCure Inc,NASDAQ,Healthcare
AVAV,AeroVironment Inc,NASDAQ,Industrials
AVB,AvalonBay Communities,NYSE,Real Estate
AVGO,Broadcom,NYSE,Technology
AVY,Avery Dennison,NYSE,Basic Materials
AWK,American Water Works,NYSE,Utilities
AXNX,Axonics Inc,NASDAQ,Healthcare
AXON,Axon Enterprise,NYSE,Industrials
AXP,American Express,NYSE,Financial Services
AZO,AutoZone,NYSE,Consumer Cyclical
BA,Boeing,NYSE,Industrials
BAC,Bank of America,NYSE,Financial Services
BALL,Ball Corporation,NYSE,Basic Materials
BAX,Baxter International,NYSE,Healthcare
BBY,Best Buy,NYSE,Consumer Cyclical
BCML,BayCom Corp,NASDAQ,Financial Services
BDX,Becton Dickinson,NYSE,Healthcare
BEN,Franklin Resources,NYSE,Financial Services
BF-B,Brown–Forman,NYSE,Consumer Defensive
BG,Bunge Global,NYSE,Consumer Defensive
BIIB,Biogen,NYSE,Healthcare
BK,BNY Mellon,NYSE,Financial Services
BKNG,Booking Holdings,NYSE,Consumer Cyclical
BKR,Baker Hughes,NYSE,Energy
BLDR,Builders FirstSource,NYSE,Industrials
BLFS,BioLife Solutions,NASDAQ,Healthcare
BLK,BlackRock,NYSE,Financial Services
BMBL,Bumble Inc,NASDAQ,Communication Services
BMY,Bristol Myers Squibb,NYSE,Healthcare
BR,Broadridge Financial Solutions,NYSE,Industrials
BRK-B,Berkshire Hathaway,NYSE,Financial Services
BRKL,Brookline Bancorp,NASDAQ,Financial Services
BRO,Brown & Brown,NYSE,Financial Services
BSX,Boston Scientific,NYSE,Healthcare
BX,Blackstone Inc.,NYSE,Financial Services
BXP,"BXP, Inc.",NYSE,Real Estate
C,Citigroup,NYSE,Financial Services
CAG,Conagra Brands,NYSE,Consumer Defensive
