ticker,cik,doc_type,accession,document,status,text_len,table_count,html_path,text_path
CAL,14707,primary_8k,0000014707-23-000056,cal-20231121x8k.htm,cached,3551,6,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CAL_000001470723000056_cal-20231121x8k.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CAL_000001470723000056_cal-20231121x8k.htm.txt
CAL,14707,earnings_exhibit,0000014707-23-000056,cal-20231121xex99d1.htm,cached,27476,54,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CAL_000001470723000056_cal-20231121xex99d1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CAL_000001470723000056_cal-20231121xex99d1.htm.txt
CAL,14707,periodic_10q_10k,0000014707-23-000060,cal-20231028x10q.htm,cached,174295,68,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CAL_000001470723000060_cal-20231028x10q.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CAL_000001470723000060_cal-20231028x10q.htm.txt
CALM,16160,primary_8k,0001562762-23-000358,calm8k20231003.htm,cached,3776,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALM_000156276223000358_calm8k20231003.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALM_000156276223000358_calm8k20231003.htm.txt
CALM,16160,earnings_exhibit,0001562762-23-000358,exhibit991.htm,cached,15887,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALM_000156276223000358_exhibit991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALM_000156276223000358_exhibit991.htm.txt
CALM,16160,periodic_10q_10k,0001562762-23-000360,calm2024q1.htm,cached,87390,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALM_000156276223000360_calm2024q1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALM_000156276223000360_calm2024q1.htm.txt
CALX,1406666,primary_8k,0001406666-23-000039,calx-20231023.htm,cached,5083,17,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALX_000140666623000039_calx-20231023.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALX_000140666623000039_calx-20231023.htm.txt
CALX,1406666,earnings_exhibit,0001406666-23-000039,ex991pressrelease23q3.htm,cached,2109,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALX_000140666623000039_ex991pressrelease23q3.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALX_000140666623000039_ex991pressrelease23q3.htm.txt
CALX,1406666,earnings_exhibit,0001406666-23-000039,ex992stockholderletter23q3.htm,cached,33905,16,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALX_000140666623000039_ex992stockholderletter23q3.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALX_000140666623000039_ex992stockholderletter23q3.htm.txt
CALX,1406666,periodic_10q_10k,0001406666-23-000040,calx-20230930.htm,cached,188866,47,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALX_000140666623000040_calx-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALX_000140666623000040_calx-20230930.htm.txt
CALY,837465,primary_8k,0000837465-23-000034,modg-20231108.htm,cached,3553,4,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALY_000083746523000034_modg-20231108.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALY_000083746523000034_modg-20231108.htm.txt
CALY,837465,earnings_exhibit,0000837465-23-000034,earningsreleaseq32023.htm,cached,39110,17,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALY_000083746523000034_earningsreleaseq32023.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALY_000083746523000034_earningsreleaseq32023.htm.txt
CALY,837465,periodic_10q_10k,0000837465-23-000036,modg-20230930.htm,cached,211344,67,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CALY_000083746523000036_modg-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALY_000083746523000036_modg-20230930.htm.txt
CAR,723612,primary_8k,0000723612-23-000051,car-20231101.htm,cached,3313,7,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CAR_000072361223000051_car-20231101.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CAR_000072361223000051_car-20231101.htm.txt
