ticker,filed,tradable_date,form,items,acceptance_datetime_utc,primary_document,ex99_1_document,periodic_filing_form,periodic_filing_date,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,llm_confidence,semantic_char_count,semantic_element_count,table_count,edgartools_available,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,quality_flags,quality_ok,json_path,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
GOOGL,2023-02-02,2023-02-03,8-K,"2.02,9.01",2023-02-02T21:01:29.000Z,goog-20230202.htm,googexhibit991q42022.htm,10-K,2023-02-03,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,22862,73,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2023-02-02_8-K_0001652044-23-000013.json,102.930000,-8.0832,-11.6973,-7.5780,1.7390,1.7099
GOOGL,2023-04-20,2023-04-21,8-K,"2.02,8.01,9.01",2023-04-20T20:24:04.000Z,goog-20230420.htm,googex991q12023blogpost.htm,10-Q,2023-04-26,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,in_session_llm_json,0.65,8230,29,3,True,1,0,6,6,missing_guidance_evidence,False,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2023-04-20_8-K_0001652044-23-000034.json,105.470001,1.6403,10.5243,18.5645,16.7157,13.0179
GOOGL,2023-04-25,2023-04-26,8-K,"2.02,9.01",2023-04-25T20:01:48.000Z,goog-20230425.htm,googexhibit991q12023.htm,10-Q,2023-04-26,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,25421,81,12,True,6,3,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2023-04-25_8-K_0001652044-23-000041.json,104.919998,2.7164,13.9058,18.7667,12.7907,16.4792
GOOGL,2023-07-25,2023-07-26,8-K,"2.02,9.01",2023-07-25T20:01:21.000Z,goog-20230720.htm,googexhibit991q22023.htm,10-Q,2023-07-26,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,24414,74,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2023-07-25_8-K_0001652044-23-000067.json,130.070007,1.1225,-0.2230,-0.1461,0.7996,6.7195
GOOGL,2023-10-24,2023-10-25,8-K,"2.02,5.02,9.01",2023-10-24T20:01:23.000Z,goog-20231018.htm,googexhibit991q32023.htm,10-Q,2023-10-25,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,22414,70,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2023-10-24_8-K_0001652044-23-000088.json,128.160004,1.6308,4.2603,6.6557,10.4245,14.7316
GOOGL,2024-01-30,2024-01-31,8-K,"2.02,9.01",2024-01-30T21:01:26.000Z,goog-20240130.htm,googexhibit991q42023.htm,10-K,2024-01-31,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,23708,77,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2024-01-30_8-K_0001652044-24-000014.json,143.619995,2.7225,-1.7407,-4.5119,8.2649,13.3408
GOOGL,2024-04-25,2024-04-26,8-K,"2.02,8.01,9.01",2024-04-25T20:01:35.000Z,goog-20240425.htm,googexhibit991q12024.htm,10-Q,2024-04-26,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,24354,73,12,True,6,2,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2024-04-25_8-K_0001652044-24-000047.json,174.369995,-3.5958,-0.1090,1.1642,5.5399,-4.0661
GOOGL,2024-07-23,2024-07-24,8-K,"2.02,8.01,9.01",2024-07-23T20:01:54.000Z,goog-20240723.htm,googexhibit991q22024.htm,10-Q,2024-07-24,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,21031,66,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2024-07-23_8-K_0001652044-24-000076.json,173.600006,-8.2661,-5.4378,-4.5968,-6.7684,-4.8733
GOOGL,2024-10-29,2024-10-30,8-K,"2.02,8.01,9.01",2024-10-29T20:01:46.000Z,goog-20241029.htm,googexhibit991q32024.htm,10-Q,2024-10-30,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,22517,67,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2024-10-29_8-K_0001652044-24-000115.json,180.679993,-0.1826,-1.4169,-6.4921,5.8446,8.0917
GOOGL,2025-02-04,2025-02-05,8-K,"2.02,8.01,9.01",2025-02-04T21:01:27.000Z,goog-20250204.htm,googexhibit991q42024.htm,10-K,2025-02-05,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,23505,75,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2025-02-04_8-K_0001652044-25-000010.json,191.070007,-3.8206,-8.1907,-9.0072,-23.1957,-14.5706
GOOGL,2025-04-24,2025-04-25,8-K,"2.02,8.01,9.01",2025-04-24T20:01:26.000Z,goog-20250423.htm,googexhibit991q12025.htm,10-Q,2025-04-25,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,22176,70,12,True,6,2,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2025-04-24_8-K_0001652044-25-000040.json,165.070007,-0.5210,-0.6724,4.7434,1.0299,16.4173
GOOGL,2025-07-23,2025-07-24,8-K,"2.02,8.01,9.01",2025-07-23T20:01:33.000Z,goog-20250723.htm,googexhibit991q22025.htm,10-Q,2025-07-24,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,in_session_llm_json,0.65,21805,66,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2025-07-23_8-K_0001652044-25-000056.json,197.029999,-1.0100,2.5022,5.8164,28.1683,27.7420
GOOGL,2025-10-29,2025-10-30,8-K,"2.02,9.01",2025-10-29T20:01:48.000Z,goog-20251029.htm,googexhibit991q32025.htm,10-Q,2025-10-30,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,24924,73,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2025-10-29_8-K_0001652044-25-000087.json,291.589996,-0.5110,0.4184,7.9907,7.5346,15.2337
GOOGL,2026-02-04,2026-02-05,8-K,"2.02,9.01",2026-02-04T21:01:37.000Z,goog-20260204.htm,googexhibit991q42025.htm,10-K,2026-02-05,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,24320,78,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/GOOGL/json/GOOGL_2026-02-04_8-K_0001652044-26-000012.json,312.220001,-3.2669,0.2178,-1.8769,-3.9171,
