ticker,filed,tradable_date,form,items,acceptance_datetime_utc,primary_document,ex99_1_document,periodic_filing_form,periodic_filing_date,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,semantic_char_count,semantic_element_count,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,quality_flags,quality_ok,json_path,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
LITE,2021-01-19,2021-01-20,8-K,"1.01,2.02,8.01,9.01",2021-01-19T13:34:58.000Z,tm213409d1_8k.htm,tm213409d1_ex99-1.htm,10-Q,2021-02-02,-2,avoid,0,0,1,0,3,,13406,16,6,0,6,6,missing_guidance_evidence,False,Growth/earnings_8k_sec_parser/LITE/json/LITE_2021-01-19_8-K_0001104659-21-005024.json,97.129997,-1.5546,-10.3573,-5.5493,-11.9633,-5.3125
LITE,2021-02-02,2021-02-03,8-K,"2.02,9.01",2021-02-02T12:42:37.000Z,lite-20210202.htm,lite_ex991xq2fy21.htm,10-Q,2021-02-02,-1,avoid,0,0,2,0,3,,25466,60,6,4,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2021-02-02_8-K_0001633978-21-000002.json,90.230003,4.4331,-0.2438,-4.5661,3.7349,-7.2149
LITE,2021-05-12,2021-05-13,8-K,"2.02,9.01",2021-05-12T12:00:49.000Z,lite-20210512.htm,lite_ex991xq3fy21.htm,10-Q,2021-05-12,-2,avoid,0,0,1,0,3,,23271,55,6,6,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2021-05-12_8-K_0001633978-21-000008.json,68.510002,17.1800,18.7126,19.9533,20.4350,16.3334
LITE,2021-08-18,2021-08-19,8-K,"2.02,9.01",2021-08-18T11:45:43.000Z,lite-20210818.htm,lite_ex991xq4fy21.htm,10-K,2021-08-31,-1,avoid,0,0,2,0,3,,28873,70,6,5,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2021-08-18_8-K_0001628280-21-017219.json,81.839996,6.3905,7.7346,3.6046,3.4335,11.7669
LITE,2021-11-04,2021-11-05,8-K,"2.02,9.01",2021-11-04T12:01:55.000Z,lite-20211104.htm,lite_ex991xq1fy22.htm,10-Q,2021-11-04,-2,avoid,0,0,1,0,3,,18892,56,6,6,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2021-11-04_8-K_0001628280-21-021618.json,89.599998,0.5134,-3.1027,-2.8125,19.4755,-3.6049
LITE,2022-02-03,2022-02-04,8-K,"2.02,9.01",2022-02-03T13:00:02.000Z,lite-20220203.htm,lite_ex991xq2fy22.htm,10-Q,2022-02-03,-2,avoid,0,0,1,0,3,,21181,56,6,6,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2022-02-03_8-K_0001628280-22-001736.json,86.709999,7.6692,14.0930,7.2425,7.3348,2.4334
LITE,2022-05-04,2022-05-05,8-K,"2.02,9.01",2022-05-04T11:47:31.000Z,lite-20220504.htm,lite_ex991xq3fy22.htm,10-Q,2022-05-04,-2,avoid,0,0,1,0,3,,22133,56,6,6,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2022-05-04_8-K_0001628280-22-012145.json,88.989998,-2.0339,-4.9219,-3.4723,-13.9342,4.9893
LITE,2022-08-16,2022-08-17,8-K,"2.02,9.01",2022-08-16T11:47:43.000Z,lite_8kxq4fy22.htm,lite_ex991xq4fy22.htm,10-K,2022-08-24,-1,avoid,0,0,2,0,3,,24320,66,6,6,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2022-08-16_8-K_0001628280-22-022980.json,89.000000,-3.6742,-11.8652,-15.7416,-21.6292,-35.1573
LITE,2022-11-08,2022-11-09,8-K,"2.02,9.01",2022-11-08T12:35:51.000Z,lite-20221108.htm,lite_ex991xq1fy23.htm,10-Q,2022-11-08,0,avoid,0,0,1,0,1,,20152,57,6,6,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2022-11-08_8-K_0001628280-22-028758.json,58.009998,-5.4646,-7.7228,-6.2058,-2.5858,5.9128
LITE,2023-02-09,2023-02-10,8-K,"2.02,9.01",2023-02-09T12:46:47.000Z,lite-20230209.htm,lite_ex991xq2fy23.htm,10-Q,2023-02-09,0,avoid,0,0,1,0,1,,22385,57,6,5,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2023-02-09_8-K_0001628280-23-002866.json,58.139999,-2.0296,-8.5311,-13.4159,-19.4358,-25.5246
LITE,2023-04-06,2023-04-10,8-K,"2.02,8.01,9.01",2023-04-06T01:10:12.000Z,lite-20230405.htm,lite_preliminaryearningsxp.htm,10-Q,2023-05-09,-3,avoid,0,0,1,0,4,,7898,14,1,3,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2023-04-06_8-K_0001628280-23-010935.json,46.080002,0.0434,4.8177,-3.2986,10.8073,18.3811
LITE,2023-05-09,2023-05-10,8-K,"2.02,9.01",2023-05-09T11:52:39.000Z,lite-20230509.htm,lite_ex991xq3fy23.htm,10-Q,2023-05-09,0,avoid,0,0,1,0,1,,22835,57,6,5,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2023-05-09_8-K_0001628280-23-016629.json,45.200001,6.7920,21.3717,12.9646,20.6858,16.0619
LITE,2023-08-17,2023-08-18,8-K,"2.02,9.01",2023-08-17T11:44:47.000Z,lite-20230817.htm,lite_ex991xq4fy23.htm,10-K,2023-08-23,0,avoid,0,0,1,0,1,,26607,67,6,6,6,6,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2023-08-17_8-K_0001628280-23-029741.json,45.509998,12.2391,9.4924,6.2624,-9.3606,-3.8233
LITE,2023-10-30,2023-10-31,8-K,"1.01,2.02,9.01",2023-10-30T11:06:30.000Z,d575524d8k.htm,d575524dex991.htm,10-Q,2023-11-08,2,low,0,0,2,0,0,,13368,10,5,6,6,1,,True,Growth/earnings_8k_sec_parser/LITE/json/LITE_2023-10-30_8-K_0001193125-23-265658.json,39.759998,1.9618,11.4688,7.6459,30.8853,43.1841
