ticker,filed,tradable_date,form,items,acceptance_datetime_utc,primary_document,ex99_1_document,periodic_filing_form,periodic_filing_date,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,semantic_char_count,semantic_element_count,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,quality_flags,quality_ok,json_path,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
MU,2021-01-07,2021-01-08,8-K,"2.02,9.01",2021-01-07T21:00:45.000Z,mu-20210107.htm,a2021q1ex991-pressrelease.htm,10-Q,2021-01-08,2,low,0,0,2,0,0,,16043,64,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2021-01-07_8-K_0000723125-21-000009.json,82.540001,3.5861,-5.0279,1.7810,8.1900,15.4471
MU,2021-03-31,2021-04-01,8-K,"2.02,9.01",2021-03-31T20:00:40.000Z,mu-20210331.htm,a2021q2ex991-pressrelease.htm,10-Q,2021-04-01,1,low,0,0,2,0,1,,20046,72,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2021-03-31_8-K_0000723125-21-000028.json,93.000000,2.7849,-3.7742,-8.5806,-9.5161,-8.6237
MU,2021-06-30,2021-07-01,8-K,"2.02,9.01",2021-06-30T20:00:41.000Z,mu-20210630.htm,a2021q3ex991-pressrelease.htm,10-Q,2021-07-01,1,low,0,0,2,0,1,,21010,74,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2021-06-30_8-K_0000723125-21-000049.json,82.239998,-3.2588,-6.1406,-5.5934,-11.0408,-12.8891
MU,2021-09-28,2021-09-29,8-K,2.02,2021-09-28T20:01:35.000Z,mu-20210928.htm,a2021q4ex991-pressrelease.htm,10-K,2021-10-08,2,low,0,0,3,0,1,,22951,78,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2021-09-28_8-K_0000723125-21-000060.json,71.160004,-2.7263,-5.0450,-2.8949,21.0511,30.6071
MU,2021-12-20,2021-12-21,8-K,"2.02,9.01",2021-12-20T21:00:41.000Z,mu-20211220.htm,a2022q1ex991-pressrelease.htm,10-Q,2022-01-06,2,low,0,0,3,0,1,,18394,71,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2021-12-20_8-K_0000723125-21-000086.json,88.989998,4.6747,5.5062,-4.4050,1.7755,-11.9564
MU,2022-03-29,2022-03-30,8-K,"2.02,9.01",2022-03-29T20:00:37.000Z,mu-20220329.htm,a2022q2ex991-pressrelease.htm,10-Q,2022-03-30,2,low,0,0,3,0,1,,19670,74,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2022-03-29_8-K_0000723125-22-000012.json,84.300003,-14.5552,-13.7248,-19.1103,-12.4081,-31.3642
MU,2022-06-30,2022-07-01,8-K,"2.02,9.01",2022-06-30T20:00:27.000Z,mu-20220630.htm,a2022q3ex991-pressrelease.htm,10-Q,2022-07-01,2,low,0,0,3,0,1,,18708,71,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2022-06-30_8-K_0000723125-22-000034.json,53.290001,8.4819,19.4220,17.3579,5.6483,-6.1550
MU,2022-09-29,2022-09-30,8-K,"2.02,9.01",2022-09-29T20:00:31.000Z,mu-20220929.htm,a2022q4ex991-pressrelease.htm,10-K,2022-10-07,2,low,0,0,3,0,1,,21445,75,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2022-09-29_8-K_0000723125-22-000044.json,50.540001,1.6621,6.2525,7.0439,9.0621,0.2177
MU,2022-12-21,2022-12-22,8-K,"2.02,2.05,9.01",2022-12-21T21:00:43.000Z,mu-20221221.htm,a2023q1ex991-pressrelease.htm,10-Q,2022-12-22,2,low,0,0,2,0,0,,16425,69,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2022-12-21_8-K_0000723125-22-000070.json,49.500000,1.7576,17.2929,24.8889,16.3636,17.5151
MU,2023-03-28,2023-03-29,8-K,"2.02,9.01",2023-03-28T20:01:45.000Z,mu-20230328.htm,a2023q2ex991-pressrelease.htm,10-Q,2023-03-29,1,low,0,0,2,0,1,,17370,70,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2023-03-28_8-K_0000723125-23-000018.json,60.910000,3.8746,1.6746,5.6641,17.6982,9.6536
MU,2023-06-28,2023-06-29,8-K,"2.02,9.01",2023-06-28T20:00:29.000Z,mu-20230628.htm,a2023q3ex991-pressrelease.htm,10-Q,2023-06-29,1,low,0,0,2,0,1,,17134,71,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2023-06-28_8-K_0000723125-23-000038.json,67.839996,-7.9009,-4.2453,5.2329,-3.7294,0.5454
MU,2023-09-27,2023-09-28,8-K,"2.02,9.01",2023-09-27T20:00:28.000Z,mu-20230927.htm,a2023q4ex991-pressrelease.htm,10-K,2023-10-06,1,low,0,0,2,0,1,,17913,73,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2023-09-27_8-K_0000723125-23-000051.json,65.970001,5.3206,4.8052,0.1516,17.4928,31.3627
MU,2023-12-20,2023-12-21,8-K,"2.02,9.01",2023-12-20T21:00:33.000Z,mu-20231220.htm,a2024q1ex991-pressrelease.htm,10-Q,2023-12-21,1,low,0,0,2,0,1,,15224,69,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2023-12-20_8-K_0000723125-23-000071.json,85.000000,-3.1294,-3.0824,4.9882,-5.0471,13.2353
MU,2024-03-20,2024-03-21,8-K,"2.02,9.01",2024-03-20T20:00:45.000Z,mu-20240320.htm,a2024q2ex991-pressrelease.htm,10-Q,2024-03-21,1,low,0,0,2,0,1,,17180,73,6,6,6,6,,True,Growth/earnings_8k_sec_parser/MU/json/MU_2024-03-20_8-K_0000723125-24-000004.json,113.370003,9.6410,7.7887,-3.7488,13.7867,27.1853
