quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,A,True,included,,Equity,Healthcare,sp500,ok,1090872,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-03,10-Q,2023-04-30,3473000000,2024-07-01,127.4000015258789,270458789.73821
2024Q3,2024-07-01,AACB,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002034334,,,,,,,,
2024Q3,2024-07-01,AACBR,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002034334,,,,,,,,
2024Q3,2024-07-01,AACBU,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002034334,,,,,,,,
2024Q3,2024-07-01,AACG,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,1420529,,,,,,,,
2024Q3,2024-07-01,AACIU,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002092897,,,,,,,,
2024Q3,2024-07-01,AACOU,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002099906,,,,,,,,
2024Q3,2024-07-01,AAL,True,included,,Equity,,nasdaq,ok,6201,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-25,10-Q,2023-03-31,12189000000,2024-07-01,11.039999961853027,433080385.26961964
2024Q3,2024-07-01,AAME,False,raw_close_below_floor;adv_60d_below_hard_floor,,Equity,,nasdaq,ok,8177,Revenues,2024-05-14,10-Q,2023-03-31,46269000,2024-07-01,1.690000057220459,8622.900028824806
2024Q3,2024-07-01,AAMI,True,included,,Equity,,russell2000,ok,1748824,Revenues,2024-05-09,10-Q,2023-03-31,91800000,2024-07-01,21.920000076293945,6001877.93343544
2024Q3,2024-07-01,AAOI,True,included,,Equity,,nasdaq;russell2000,ok,1158114,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,53030000,2024-07-01,8.079999923706055,20164530.614291828
