quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,A,True,included,,Equity,Healthcare,sp500,ok,1090872,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-03,10-Q,2023-04-30,3473000000,2024-07-01,127.4000015258789,270458789.73821
2024Q3,2024-07-01,AAL,True,included,,Equity,,nasdaq,ok,6201,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-25,10-Q,2023-03-31,12189000000,2024-07-01,11.039999961853027,433080385.26961964
2024Q3,2024-07-01,AAMI,True,included,,Equity,,russell2000,ok,1748824,Revenues,2024-05-09,10-Q,2023-03-31,91800000,2024-07-01,21.920000076293945,6001877.93343544
2024Q3,2024-07-01,AAOI,True,included,,Equity,,nasdaq;russell2000,ok,1158114,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,53030000,2024-07-01,8.079999923706055,20164530.614291828
2024Q3,2024-07-01,AAON,True,included,,Equity,,nasdaq,ok,824142,SalesRevenueGoodsNet,2018-05-03,10-Q,2017-03-31,86078000,2024-07-01,83.58000183105469,89373066.5957896
2024Q3,2024-07-01,AAP,True,included,,Equity,,russell2000,ok,1158449,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-30,10-Q,2023-04-22,3417594000,2024-07-01,59.709999084472656,107436594.0956815
2024Q3,2024-07-01,AAPL,True,included,,Equity,Technology,dow;sp500;nasdaq,ok,320193,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-04-01,211990000000,2024-07-01,216.75,13273980616.253763
2024Q3,2024-07-01,AAT,True,included,,Equity,,russell2000,ok,1500217,Revenues,2024-05-03,10-Q,2023-03-31,107754000,2024-07-01,22.399999618530273,6466550.578985214
2024Q3,2024-07-01,ABBV,True,included,,Equity,Healthcare,sp500,ok,1551152,Revenues,2024-05-03,10-Q,2023-03-31,12225000000,2024-07-01,170.3699951171875,926009006.1737314
2024Q3,2024-07-01,ABCL,True,included,,Equity,,nasdaq,ok,1703057,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-07,10-Q,2023-03-31,12192000,2024-07-01,2.7799999713897705,5677005.878811677
2024Q3,2024-07-01,ABEO,True,included,,Equity,,nasdaq;russell2000,ok,318306,RevenueFromContractWithCustomerExcludingAssessedTax,2024-03-18,10-K,2022-12-31,1414000,2024-07-01,4.199999809265137,3312333.9932652316
2024Q3,2024-07-01,ABG,True,included,,Equity,,russell2000,ok,1144980,Revenues,2024-04-26,10-Q,2023-03-31,3582300000,2024-07-01,228.24000549316406,39683515.21753947
2024Q3,2024-07-01,ABM,True,included,,Equity,,russell2000,ok,771497,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-06,10-Q,2023-04-30,3975300000,2024-07-01,50.15999984741211,30752394.617506664
2024Q3,2024-07-01,ABNB,True,included,,Equity,,sp500;nasdaq,ok,1559720,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,1818000000,2024-07-01,151.6300048828125,597045999.6620432
2024Q3,2024-07-01,ABSI,True,included,,Equity,,nasdaq;russell2000,ok,1672688,Revenues,2024-05-14,10-Q,2023-03-31,1269000,2024-07-01,3.009999990463257,6254347.1408935385
2024Q3,2024-07-01,ABT,True,included,,Equity,Healthcare,sp500,ok,1800,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,9747000000,2024-07-01,103.19999694824219,605251212.5718689
2024Q3,2024-07-01,ABTC,True,included,low_liquidity_keep,Equity,,nasdaq,ok,1755953,Revenues,2024-05-14,10-Q,2023-03-31,5076000,2024-07-01,6.050000190734863,621697.6662012736
2024Q3,2024-07-01,ABUS,True,included,,Equity,,nasdaq;russell2000,ok,1447028,Revenues,2024-05-02,10-Q,2023-03-31,6687000,2024-07-01,3.119999885559082,3317494.1349307694
2024Q3,2024-07-01,ABX,True,included,low_liquidity_keep,Equity,,russell2000,ok,1814287,Revenues,2024-05-13,10-Q,2023-03-31,10273389,2024-07-01,9.0,587590.238348643
2024Q3,2024-07-01,ACA,True,included,,Equity,,russell2000,ok,1739445,Revenues,2024-05-03,10-Q,2023-03-31,549200000,2024-07-01,80.76000213623047,19508544.872055054
2024Q3,2024-07-01,ACAD,True,included,,Equity,,nasdaq;russell2000,ok,1070494,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,118462000,2024-07-01,16.040000915527344,26462734.935582478
2024Q3,2024-07-01,ACCO,True,included,,Equity,,russell2000,ok,712034,Revenues,2024-05-03,10-Q,2023-03-31,402600000,2024-07-01,4.590000152587891,3119175.2211491265
2024Q3,2024-07-01,ACDC,True,included,,Equity,,nasdaq;russell2000,ok,0001881487,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,857500000,2024-07-01,7.28000020980835,8215390.590583484
2024Q3,2024-07-01,ACEL,True,included,,Equity,,russell2000,ok,1698991,Revenues,2019-11-01,10-Q,2018-09-30,0,2024-07-01,9.920000076293945,3043545.1285092034
