quarter,selected_count,valid_90d_count,avg_return_90d_pct,median_return_90d_pct,win_rate_90d_ge_30_pct,loss_rate_90d_le_neg30_pct,best_return_90d_pct,worst_return_90d_pct,tickers
2021Q4,10,10,20.943550000000002,7.325150000000001,10.0,0.0,157.5581,-17.0,"KLXE,DNOW,TH,RES,SMCI,SXC,TWI,RELL,UTI,ARLO"
2022Q1,10,10,-3.0637400000000015,-12.564599999999999,10.0,10.0,56.6802,-31.0811,"UFCS,ARLO,ZETA,HLIT,ORGO,GNE,GTX,LMB,EZPW,KOS"
2022Q2,10,10,13.734860000000001,6.89345,20.0,0.0,84.3609,-19.5402,"KOS,TH,YOU,TWI,GTLS,STLD,SMCI,DCGO,PAYO,WTTR"
2022Q3,10,10,7.31883,-5.835050000000001,20.0,30.0,127.4011,-42.2222,"RDNW,INSW,KLXE,HAE,POWL,DCGO,HIMS,STKL,ARLO,ALTG"
2022Q4,10,10,12.830770000000001,7.20965,20.0,0.0,50.3132,-4.3722,"NTNX,FET,POWL,LMB,WTTR,NOG,GTX,DCGO,NRDS,RNGR"
2023Q1,10,10,11.447489999999998,-0.37760000000000016,20.0,10.0,133.9759,-41.0774,"MELI,RPD,OKTA,AXON,AAOI,MMS,HIMS,WTTR,ARLO,ATRO"
2023Q2,10,10,11.2257,7.35365,20.0,0.0,38.498,-17.5,"ARLO,GRBK,TAP,EXAS,SHAK,INTA,SLQT,CCL,CTLP,GBTG"
2023Q3,10,10,9.663699999999999,3.7118,20.0,0.0,42.682,-14.2233,"AAOI,SMCI,VRT,APP,ANF,ARLO,CIFR,MTRX,SMHI,HLX"
2023Q4,10,10,28.03361,24.02815,50.0,0.0,83.6631,-17.1763,"ANF,POWL,CDRE,NTNX,GIII,MTRX,NPKI,RSI,CTLP,AIOT"
2024Q1,10,10,19.29184,27.14015,40.0,10.0,59.2905,-33.3878,"MU,ANF,FTAI,NET,SHAK,VRT,RSI,HRTG,AIOT,RBBN"
2024Q2,10,10,-1.8792300000000002,1.2194,0.0,0.0,16.1049,-21.1196,"SLQT,CIFR,NTRA,VST,REAL,MLR,WAB,LFST,NPKI,ARLO"
2024Q3,10,10,18.934649999999998,9.666300000000001,40.0,10.0,99.2771,-37.957,"EVER,VERX,CRTO,DRS,GLW,RBLX,COMP,AAOI,RSI,SWIM"
2024Q4,10,10,5.41933,7.315200000000001,10.0,10.0,49.4349,-55.5265,"VSCO,GEV,XMTR,COMP,PAR,CNK,TRUP,CDE,MU,LFST"
2025Q1,10,10,-15.930039999999996,-23.394199999999998,10.0,20.0,65.1837,-58.3333,"SLQT,IRTC,ULCC,REAL,ONC,RELY,AIOT,RBBN,ORN,PTON"
2025Q2,10,10,25.465700000000002,30.25845,50.0,0.0,65.8039,-29.8561,"ATRO,LMB,CRDO,AAOI,HCI,ESE,LFST,COMP,CWK,ORN"
2025Q3,10,10,49.588789999999996,0.32975,40.0,10.0,337.7016,-35.8529,"LITE,PGY,CRDO,AFRM,WDC,CIFR,CTOS,SWIM,CRSR,MPAA"
2025Q4,10,10,16.20688,12.70365,20.0,10.0,79.9906,-38.888,"IREN,MU,CIFR,VSCO,BTSGU,WDC,REAL,ORN,TALO,ANGO"
2026Q1,10,0,,,,,,,"AAOI,LITE,MSGE,MU,STGW,NNBR,LZ,MAX,MQ,ACVA"
2026Q2,1,0,,,,,,,AXTI
