quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,AAMI,2024-08-01,<$100M,91.8,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,100,,,6,4,6,6,1,51114,2024-08-02,23.690001,-5.4453,-2.0684,-1.0975,2.4061,11.3972
2024Q3,AAOI,2024-08-06,<$100M,53.03,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,43.3,,,6,6,6,6,1,18967,2024-08-07,8.300000,3.6145,10.6024,42.2892,80.0000,99.2771
2024Q3,AAON,2024-08-01,<$100M,86.078,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,4,6,2,1,16358,2024-08-02,92.879997,-5.9109,0.1292,-3.8652,14.7718,22.9759
2024Q3,ABCL,2024-08-06,<$100M,12.192,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,7.3,,,3,1,6,6,2,22914,2024-08-07,2.750000,-1.4545,-5.0909,-13.0909,-4.3636,-1.0909
2024Q3,ABEO,2024-08-12,<$100M,1.414,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,3,2,6,6,1,11904,2024-08-13,4.990000,10.6212,9.4188,11.8237,25.6513,28.8577
2024Q3,ABSI,2024-08-14,<$100M,1.269,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1.3,,,1,6,6,6,2,59121,2024-08-15,3.740000,20.0535,8.2888,2.9412,9.6257,-16.0428
2024Q3,ABTC,2024-08-14,<$100M,5.076,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,5.5,,,0,3,6,6,1,19809,2024-08-15,3.700000,3.3784,-18.6486,-29.3243,-23.9189,3.1081
2024Q3,ABX,2024-07-18,<$100M,10.273,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,3,6,6,6,1,9110,2024-07-19,9.070000,4.5204,13.1202,15.8765,8.8203,7.6075
2024Q3,ACEL,2024-07-30,<$100M,0.0,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,311,,,6,3,6,6,2,39560,2024-07-31,11.750000,-8.4255,-5.1064,-0.7660,-1.1064,-2.3830
2024Q3,ACHV,2024-08-13,<$100M,0.0,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,1,6,3,1,12022,2024-08-14,4.300000,6.5116,0.6977,5.3488,16.0465,8.1395
2024Q3,ACIC,2024-08-07,<$100M,90.32,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,271,,,5,2,6,6,1,11592,2024-08-08,10.790000,4.6339,2.1316,3.5218,-12.0482,23.2623
2024Q3,ACLX,2024-08-08,<$100M,17.912,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,27.4,,,2,1,6,2,1,8569,2024-08-09,53.700001,23.5940,25.6611,38.3054,50.5587,84.6555
2024Q3,ACMR,2024-08-07,<$100M,74.256,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,3000,,,6,6,6,6,1,21746,2024-08-08,18.049999,12.4100,-1.0526,-13.5734,30.7202,4.9862
2024Q3,ACRE,2024-08-06,<$100M,26.501,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,3,6,6,2,60853,2024-08-07,6.850000,1.3139,3.3577,2.1898,-3.2117,-7.7372
2024Q3,ACTG,2024-08-08,<$100M,14.803,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,50.2,,,6,0,6,6,1,22410,2024-08-09,4.800000,-0.8333,-0.2083,-2.0833,-5.2083,-2.5000
2024Q3,ACU,2024-07-19,<$100M,45.838,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,55.4,,,6,0,6,5,2,24090,2024-07-22,39.000000,9.5897,-3.8205,8.5897,7.9487,4.3077
2024Q3,ADCT,2024-08-06,<$100M,18.992,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,17,,,4,6,6,6,1,24179,2024-08-07,2.950000,-0.6780,3.7288,-8.4746,12.8814,3.3898
2024Q3,ADMA,2024-08-08,<$100M,56.914,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,107.2,,,6,6,6,6,1,23093,2024-08-09,15.100000,20.6622,14.0397,21.7218,37.2185,30.5960
2024Q3,ADPT,2024-08-01,<$100M,37.647,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,43.2,,,3,5,6,6,1,19166,2024-08-02,4.050000,6.1728,8.6420,10.8642,23.9506,19.5062
2024Q3,AEHR,2024-07-09,<$100M,42.692,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,16.6,,,6,4,6,6,2,15782,2024-07-10,14.770000,25.9309,26.3372,-10.0203,-10.0880,-15.0305
2024Q3,AEMD,2024-08-14,<$100M,0.574,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,2,2,6,6,1,16372,2024-08-15,26.400000,54.5455,3.0303,18.1818,21.2121,24.2424
2024Q3,AEVA,2024-08-07,<$100M,1.148,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2,,,2,2,6,6,1,13411,2024-08-08,2.800000,7.1429,13.5714,-11.0714,23.2143,53.9286
