quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,adv_bucket,sector_gics
2024Q3,AAOI,2024-08-06,<$100M,53.03,20164530.61,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,43.3,,,6,6,6,6,1,18967,2024-08-07,8.300000,3.6145,10.6024,42.2892,80.0000,99.2771,$10M-$50M ADV,
2024Q3,AAON,2024-08-01,<$100M,86.078,89373066.6,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,4,6,2,1,16358,2024-08-02,92.879997,-5.9109,0.1292,-3.8652,14.7718,22.9759,>$50M ADV,
2024Q3,ACLX,2024-08-08,<$100M,17.912,26041638.11,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,27.4,,,2,1,6,2,1,8569,2024-08-09,53.700001,23.5940,25.6611,38.3054,50.5587,84.6555,$10M-$50M ADV,
2024Q3,ACMR,2024-08-07,<$100M,74.256,30468577.55,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,3000,,,6,6,6,6,1,21746,2024-08-08,18.049999,12.4100,-1.0526,-13.5734,30.7202,4.9862,$10M-$50M ADV,
2024Q3,ADMA,2024-08-08,<$100M,56.914,26403480.56,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,107.2,,,6,6,6,6,1,23093,2024-08-09,15.100000,20.6622,14.0397,21.7218,37.2185,30.5960,$10M-$50M ADV,
2024Q3,AGIO,2024-08-01,<$100M,5.609,31093391.24,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,8.6,,,4,3,6,5,1,13279,2024-08-02,42.139999,6.1699,8.4480,6.1462,0.7831,5.4343,$10M-$50M ADV,
2024Q3,AIR,2024-07-18,<$100M,9.8,19077623.61,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,657,,,6,5,6,6,2,53229,2024-07-19,67.980003,-3.2951,-11.4298,-6.4137,-0.0147,-8.2083,$10M-$50M ADV,
2024Q3,AISP,2024-08-15,<$100M,2.939,11335178.79,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,6.4,,,6,6,6,4,1,19816,2024-08-16,2.850000,14.0351,1.0526,-8.0702,-25.6140,29.6491,$10M-$50M ADV,
2024Q3,AKR,2024-07-30,<$100M,81.839,15961893.63,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,6,6,6,2,124389,2024-07-31,21.580000,-1.2975,-0.6487,4.3095,8.8044,12.8360,$10M-$50M ADV,
2024Q3,ALAB,2024-08-06,<$100M,17.664,134679799.94,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,76.9,,,6,3,6,6,1,22657,2024-08-07,43.119999,-4.7078,3.6874,-7.2356,21.8692,122.4258,>$50M ADV,
