quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,adv_bucket_fine
2024Q3,AAON,2024-08-01,<$100M,86.078,89373066.6,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,4,6,2,1,16358,2024-08-02,92.879997,-5.9109,0.1292,-3.8652,14.7718,22.9759,$75M-$100M ADV
2024Q3,ACLX,2024-08-08,<$100M,17.912,26041638.11,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,27.4,,,2,1,6,2,1,8569,2024-08-09,53.700001,23.5940,25.6611,38.3054,50.5587,84.6555,$25M-$50M ADV
2024Q3,ACMR,2024-08-07,<$100M,74.256,30468577.55,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,3000,,,6,6,6,6,1,21746,2024-08-08,18.049999,12.4100,-1.0526,-13.5734,30.7202,4.9862,$25M-$50M ADV
2024Q3,ADMA,2024-08-08,<$100M,56.914,26403480.56,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,107.2,,,6,6,6,6,1,23093,2024-08-09,15.100000,20.6622,14.0397,21.7218,37.2185,30.5960,$25M-$50M ADV
2024Q3,AGIO,2024-08-01,<$100M,5.609,31093391.24,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,8.6,,,4,3,6,5,1,13279,2024-08-02,42.139999,6.1699,8.4480,6.1462,0.7831,5.4343,$25M-$50M ADV
2024Q3,ALAB,2024-08-06,<$100M,17.664,134679799.94,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,76.9,,,6,3,6,6,1,22657,2024-08-07,43.119999,-4.7078,3.6874,-7.2356,21.8692,122.4258,>$100M ADV
2024Q3,ALT,2024-08-08,<$100M,0.021,25807924.01,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,2,6,6,1,14886,2024-08-09,6.400000,17.8125,3.2813,-0.3125,-2.5000,16.5625,$25M-$50M ADV
2024Q3,AMBA,2024-08-27,<$100M,62.142,32047242.27,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct,regex_fallback,63.7,,77,6,6,6,6,1,16120,2024-08-28,63.500000,-18.7717,-14.4567,-11.1181,-6.5669,7.7323,$25M-$50M ADV
2024Q3,ARDX,2024-08-01,<$100M,11.369,35414026.0,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,37.1,,,4,0,6,6,1,17239,2024-08-02,5.645000,3.1001,7.1745,-0.2657,21.3463,3.9858,$25M-$50M ADV
2024Q3,ARQT,2024-08-14,<$100M,2.781,27527183.94,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,30.9,,,0,4,6,6,1,15727,2024-08-15,9.200000,15.0000,13.6957,10.4348,5.8696,13.8044,$25M-$50M ADV
2024Q3,ASTS,2024-08-14,<$100M,0.5,76965378.1,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,5,6,6,2,29860,2024-08-15,21.799999,54.9541,51.7431,36.8807,15.2294,27.9358,$75M-$100M ADV
2024Q3,AUR,2024-07-31,<$100M,63.0,26307084.07,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,1,6,6,6,1,32098,2024-08-01,3.770000,-6.6313,2.3873,12.9974,57.0292,76.1273,$25M-$50M ADV
2024Q3,AX,2024-07-30,<$100M,31.334,32599887.48,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,0,6,6,2,42306,2024-07-31,71.050003,-12.0338,-10.7108,-2.2801,-11.4989,-6.6854,$25M-$50M ADV
2024Q3,AXSM,2024-08-05,<$100M,94.576,50573009.19,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,87.2,,,6,6,6,6,1,20486,2024-08-06,84.699997,1.7355,4.4982,10.6139,-0.6375,3.0106,$50M-$75M ADV
2024Q3,BBIO,2024-08-01,<$100M,1.826,52955635.54,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2.2,,,1,4,6,6,1,28893,2024-08-02,24.441000,-1.5589,1.8371,17.5893,1.4688,-4.2183,$50M-$75M ADV
2024Q3,BEAM,2024-08-06,<$100M,24.208,34520905.66,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,6,6,3,1,12500,2024-08-07,25.510000,-1.9992,3.0576,-8.6241,-8.3105,-6.1936,$25M-$50M ADV
