metric,bucket,value
combined_rows,,21989
base_rows,All pre-LLM rows,21989
base_tier_count,No Tier,15293
base_tier_count,Tier 0,6696
base_tier_count,Tier 1,3877
base_tier_count,Tier 2,2302
base_tier_count,Tier 3,1268
base_tier_count,Tier 4,737
post_llm_coverage,has_post_llm,2781
post_llm_sub_tier_count,Tier 2.1 - LLM-supported,1035
post_llm_sub_tier_count,Tier 2.2 - Causal re-rating,483
post_llm_sub_tier_count,Tier 2.3 - Best balanced LLM subset,424
post_llm_sub_tier_count,Tier 3.1 - Cleaner LLM-positive Tier 3,613
post_llm_sub_tier_count,Tier 3.2 - LLM inflection / high priority,247
post_llm_sub_tier_count,Tier 3.3 - Persistent re-rating setup,236
post_llm_sub_tier_count,Tier 3.4 - Persistent high-priority re-rating,126
post_llm_sub_tier_count,Tier 4.1 - LLM-supported aggressive,297
post_llm_sub_tier_count,Tier 4.2 - Causal re-rating candidate,142
post_llm_sub_tier_count,Tier 4.3 - Clean high-priority,83
