quarter,ticker,cik,revenue_bucket,pipeline_status,pipeline_missing_reason,repair_status,repair_notes,event_accession,event_dates,primary_8k_doc,primary_8k_cached,primary_8k_text_len,exhibit_docs,exhibit_cached_count,exhibit_doc_count,exhibit_text_len,periodic_accession,periodic_doc,periodic_cached,periodic_text_len,earnings_event_ready_for_local_extraction,periodic_doc_ready,coverage_reasons,periodic_reasons
2024Q3,A,1090872,$2B-$10B,doc_quality_passed,,,,0001090872-24-000024,2024-08-21,a-20240821.htm,True,5275,exhibit991-q324pressrelease.htm,1,1,23681,0001090872-24-000033,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AAP,1158449,$2B-$10B,doc_quality_passed,,,,0001158449-24-000192,2024-08-22,aap-20240822.htm,True,3605,aap_exhibit991xq2x2024.htm,1,1,20771,0001158449-24-000195,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AAT,1500217,$100M-$500M,doc_quality_passed,,,,0001500217-24-000043,2024-07-30,a2q24supplementalng.htm,True,95247,a2q24earningsreleaseng.htm,1,1,30180,0001500217-24-000047,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ABG,1144980,$2B-$10B,doc_quality_passed,,,,0001144980-24-000127,2024-08-02,abg-20240802.htm,True,3494,a2024q2ex991.htm,1,1,32840,0001144980-24-000130,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ABM,771497,$2B-$10B,doc_quality_passed,,,,0000950170-24-104226,2024-09-06,abm-20240906.htm,True,3339,abm-ex99_1.htm,1,1,32676,0000771497-24-000017,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ABNB,1559720,$1B-$2B,doc_quality_passed,,,,0001193125-24-194849,2024-08-06,d831385d8k.htm,True,3907,d831385dex991.htm,1,1,53078,0001559720-24-000024,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ACA,1739445,$500M-$1B,doc_quality_passed,,,,0001739445-24-000111,2024-08-01,aca-20240801.htm,True,13994,exh991earningsrelease63020.htm,1,1,32627,0001739445-24-000114,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ACAD,1070494,$100M-$500M,doc_quality_passed,,,,0000950170-24-091826,2024-08-06,acad-20240806.htm,True,3506,acad-ex99_1.htm,1,1,14545,0000950170-24-092163,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ACCO,712034,$100M-$500M,doc_quality_passed,,,,0000950170-24-089332,2024-08-01,acco-20240801.htm,True,3583,acco-ex99_1.htm,1,1,35219,0000950170-24-089733,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ACDC,0001881487,$500M-$1B,doc_quality_passed,,,,0001104659-24-086919,2024-08-08,tm2421111d1_8k.htm,True,4197,tm2421111d1_ex99-1.htm,1,1,26520,0000950170-24-094812,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ACGL,947484,$2B-$10B,doc_quality_passed,,,,0000947484-24-000091,2024-07-30,acgl-20240730.htm,True,4172,ex-991release63024.htm;ex-992supplement63024.htm,2,2,125519,0000947484-24-000105,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ACH,75252,$2B-$10B,doc_quality_passed,,,,0001193125-24-182567,2024-07-23;2024-08-02,d857019d8k.htm,True,3460,d857019dex991.htm;tmb-20240802xex99d1.htm;tmb-20240802xex99d2.htm,1,3,13725,0001558370-24-010720,,False,0,True,False,ready,missing_periodic_doc_name
