ticker,indexes,name
A,SPY,Agilent Technologies
AAPL,DOW;QQQ;SPY,Apple Inc.
ABBV,SPY,AbbVie
ABNB,QQQ;SPY,Airbnb
ABT,SPY,Abbott Laboratories
ACGL,SPY,Arch Capital Group
ACN,SPY,Accenture
ADBE,QQQ;SPY,Adobe Inc.
ADI,QQQ;SPY,Analog Devices
ADM,SPY,Archer Daniels Midland
ADP,QQQ;SPY,Automatic Data Processing
ADSK,QQQ;SPY,Autodesk
AEE,SPY,Ameren
AEP,QQQ;SPY,American Electric Power
AES,SPY,AES Corporation
AFL,SPY,Aflac
AIG,SPY,American International Group
AIZ,SPY,Assurant
AJG,SPY,Arthur J. Gallagher & Co.
AKAM,SPY,Akamai Technologies
ALB,SPY,Albemarle Corporation
ALGN,SPY,Align Technology
ALL,SPY,Allstate
ALLE,SPY,Allegion
ALNY,QQQ,Alnylam Pharmaceuticals
AMAT,QQQ;SPY,Applied Materials
AMCR,SPY,Amcor
AMD,QQQ;SPY,Advanced Micro Devices
AME,SPY,Ametek
AMGN,DOW;QQQ;SPY,Amgen
AMP,SPY,Ameriprise Financial
AMT,SPY,American Tower
AMZN,DOW;QQQ;SPY,Amazon
ANET,SPY,Arista Networks
AON,SPY,Aon plc
AOS,SPY,A. O. Smith
APA,SPY,APA Corporation
APD,SPY,Air Products
APH,SPY,Amphenol
APO,SPY,Apollo Global Management
APP,QQQ;SPY,AppLovin
APTV,SPY,Aptiv
ARE,SPY,Alexandria Real Estate Equities
ARES,SPY,Ares Management
ARM,QQQ,Arm Holdings
ASML,QQQ,ASML Holding
ATO,SPY,Atmos Energy
AVB,SPY,AvalonBay Communities
AVGO,QQQ;SPY,Broadcom
AVY,SPY,Avery Dennison
AWK,SPY,American Water Works
AXON,QQQ;SPY,Axon Enterprise
AXP,DOW;SPY,American Express
AZO,SPY,AutoZone
BA,DOW;SPY,Boeing
BAC,SPY,Bank of America
BALL,SPY,Ball Corporation
BAX,SPY,Baxter International
BBY,SPY,Best Buy
BDX,SPY,Becton Dickinson
BEN,SPY,Franklin Resources
BF-B,SPY,Brown–Forman
BG,SPY,Bunge Global
BIIB,SPY,Biogen
BK,SPY,BNY Mellon
BKNG,QQQ;SPY,Booking Holdings
