sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,score_change,entry_qoq_pct,profitability_score,operating_cash_flow_score,financing_dependence_score,tradable_date,entry_open,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags,hp1_quality_pullback,hp2_dislocation_momentum_priority,hp2_dislocation_momentum_watch,hp3_large_quality_theme_exception,hp4_score_reacceleration_watch
HP000001,2021Q4,BBY,2021-11-23,>$10B,strong,8.0,,,1.0,2.0,1.0,11/24/21,120.220001,0000764478-21-000065,bby-20211123xex99.htm,earnings_exhibit,31590,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BBY_000076447821000065_bby-20211123xex99.htm.txt,18,,,,,HP3 - Large-revenue theme-leader exception,
HP000002,2021Q4,CL,2021-10-29,>$10B,strong,8.0,,,2.0,2.0,1.0,11/1/21,75.989998,0001157523-21-001285,a52517651ex99.htm,earnings_exhibit,32843,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CL_000115752321001285_a52517651ex99.htm.txt,18,,,,,HP3 - Large-revenue theme-leader exception,
HP000003,2021Q4,EMR,2021-10-12,>$10B,strong,8.0,,,2.0,2.0,1.0,10/13/21,92.790001,0000950103-21-015731,dp159638_ex0201.htm,earnings_exhibit,850186,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/EMR_000095010321015731_dp159638_ex0201.htm.txt,18,,,,,HP3 - Large-revenue theme-leader exception,
HP000004,2021Q4,KMB,2021-10-25,>$10B,strong,8.0,,,2.0,2.0,1.0,10/26/21,129.070007,0000055785-21-000088,kmb_q3x2021x8kex-991.htm,earnings_exhibit,31185,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/KMB_000005578521000088_kmb_q3x2021x8kex-991.htm.txt,18,,,,,HP3 - Large-revenue theme-leader exception,
HP000005,2021Q4,STX,2021-10-22,>$10B,strong,9.0,,,2.0,2.0,1.0,10/25/21,88.589996,0001137789-21-000105,stxq122pressreleasefinanci.htm,earnings_exhibit,20669,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/STX_000113778921000105_stxq122pressreleasefinanci.htm.txt,18,,,,,HP3 - Large-revenue theme-leader exception,
HP000006,2022Q1,ADBE,2022-03-22,>$10B,strong,7.0,0.0000,-22.7137,2.0,2.0,1.0,3/23/22,437.51001,0000796343-22-000087,adbeex991q122.htm,earnings_exhibit,17344,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ADBE_000079634322000087_adbeex991q122.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000007,2022Q1,ADUS,2022-02-24,$500M-$1B,strong,6.0,1.0000,-21.8198,1.0,2.0,0.0,2/25/22,70.370003,0001193125-22-052191,d97438dex991.htm,earnings_exhibit,24056,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ADUS_000119312522052191_d97438dex991.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000008,2022Q1,ADV,2022-03-01,$2B-$10B,good,3.0,0.0000,-26.3282,-1.0,1.0,1.0,3/2/22,156.0,0000947871-22-000311,ss832426_ex9901.htm,earnings_exhibit,25652,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ADV_000094787122000311_ss832426_ex9901.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000009,2022Q1,AFL,2022-02-02,>$10B,strong,6.0,2.0000,14.0989,1.0,2.0,1.0,2/3/22,63.689999,0000004977-22-000005,aflex991-q42021.htm,earnings_exhibit,40791,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AFL_000000497722000005_aflex991-q42021.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000010,2022Q1,AGYS,2022-01-25,<$100M,good,4.0,8.0000,-20.2104,1.0,2.0,-1.0,1/26/22,38.689999,0001564590-22-002320,agys-ex991_6.htm,earnings_exhibit,20751,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AGYS_000156459022002320_agys-ex991_6.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000011,2022Q1,ALGN,2022-02-02,$1B-$2B,strong,7.0,4.0000,-27.0402,2.0,2.0,1.0,2/3/22,480.359985,0001097149-22-000004,algn_q4earningspressrelease.htm,earnings_exhibit,29107,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ALGN_000109714922000004_algn_q4earningspressrelease.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000012,2022Q1,ALRM,2022-02-24,$500M-$1B,good,3.0,-2.0000,-24.9629,1.0,1.0,1.0,2/25/22,65.769997,0001459200-22-000007,ex991earningsreleasedecemb.htm,earnings_exhibit,36879,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ALRM_000145920022000007_ex991earningsreleasedecemb.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000013,2022Q1,AMCX,2022-02-16,$2B-$10B,strong,8.0,2.0000,-25.8945,2.0,2.0,1.0,2/17/22,36.66,0001514991-22-000005,amcx-21622ex991.htm,earnings_exhibit,25669,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMCX_000151499122000005_amcx-21622ex991.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000014,2022Q1,AMWD,2022-02-24,$1B-$2B,strong,6.0,0.0000,-27.8163,1.0,1.0,1.0,2/25/22,48.889999,0000794619-22-000011,ex991202201318k.htm,earnings_exhibit,20561,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMWD_000079461922000011_ex991202201318k.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000015,2022Q1,ANGI,2022-01-12,$1B-$2B,good,4.0,-2.0000,-28.5953,1.0,2.0,-1.0,1/13/22,85.400002,0001104659-22-003606,tm222793d1_8k.htm,primary_8k,4211,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ANGI_000110465922003606_tm222793d1_8k.htm.txt,14,,HP1 - Quality pullback re-rater,,,,
HP000016,2022Q1,APTV,2022-02-03,$2B-$10B,good,4.0,0.0000,-28.0419,2.0,1.0,-1.0,2/4/22,129.279999,0001521332-22-000007,aptv2021ex991.htm,earnings_exhibit,42074,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/APTV_000152133222000007_aptv2021ex991.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000017,2022Q1,ASIX,2022-02-18,$1B-$2B,good,3.0,0.0000,-31.3003,1.0,1.0,0.0,2/22/22,34.130001,0001673985-22-000007,exhibit99q42021prearningsf.htm,earnings_exhibit,25935,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ASIX_000167398522000007_exhibit99q42021prearningsf.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000018,2022Q1,ASTH,2022-01-12,$500M-$1B,strong,6.0,1.0000,-24.2371,1.0,1.0,1.0,1/13/22,64.300003,0001104659-22-003350,tm222706d1_ex99-1.htm,earnings_exhibit,31494,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ASTH_000110465922003350_tm222706d1_ex99-1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
