sample_id,quarter,ticker,event_date,causal_change,proof_alignment,durability,operating_leverage_quality,negative_revision_risk,story_vs_numbers_gap_penalty,narrative_delta_score,narrative_delta_bucket,score_addition,detected_driver_category,detected_driver_name,evidence_positive,evidence_risk,confidence,blocking_issues
S000001,2022Q4,ABNB,2022-11-01,,,,,,,,,,,,,,,
S000002,2022Q4,ACAD,2022-11-02,,,,,,,,,,,,,,,
S000003,2022Q4,ACCO,2022-10-13,,,,,,,,,,,,,,,
S000004,2022Q4,ACVA,2022-11-09,,,,,,,,,,,,,,,
S000005,2022Q4,AFRM,2022-11-08,,,,,,,,,,,,,,,
S000006,2022Q4,ALKS,2022-11-02,,,,,,,,,,,,,,,
S000007,2022Q4,ALTG,2022-11-09,,,,,,,,,,,,,,,
S000008,2022Q4,AMC,2022-11-08,,,,,,,,,,,,,,,
S000009,2022Q4,ANGO,2022-10-06,,,,,,,,,,,,,,,
S000010,2022Q4,APP,2022-11-09,,,,,,,,,,,,,,,
S000011,2022Q4,APPN,2022-11-03,,,,,,,,,,,,,,,
S000012,2022Q4,ARLO,2022-11-08,,,,,,,,,,,,,,,
S000013,2022Q4,ARRY,2022-11-08,,,,,,,,,,,,,,,
S000014,2022Q4,ASAN,2022-12-01,,,,,,,,,,,,,,,
S000015,2022Q4,ATRO,2022-11-08,,,,,,,,,,,,,,,
S000016,2022Q4,AVAV,2022-12-06,,,,,,,,,,,,,,,
S000017,2022Q4,AVNS,2022-11-02,,,,,,,,,,,,,,,
S000018,2022Q4,BARK,2022-11-09,,,,,,,,,,,,,,,
S000019,2022Q4,BBSI,2022-11-02,,,,,,,,,,,,,,,
S000020,2022Q4,BE,2022-11-03,,,,,,,,,,,,,,,
S000021,2022Q4,BHF,2022-11-07,,,,,,,,,,,,,,,
S000022,2022Q4,BHFAL,2022-11-07,,,,,,,,,,,,,,,
S000023,2022Q4,BHFAM,2022-11-07,,,,,,,,,,,,,,,
S000024,2022Q4,BHFAN,2022-11-07,,,,,,,,,,,,,,,
S000025,2022Q4,BHFAO,2022-11-07,,,,,,,,,,,,,,,
S000026,2022Q4,BHFAP,2022-11-07,,,,,,,,,,,,,,,
S000027,2022Q4,BHR,2022-10-11,,,,,,,,,,,,,,,
S000028,2022Q4,BMEA,2022-11-07,,,,,,,,,,,,,,,
S000029,2022Q4,BNED,2022-12-06,,,,,,,,,,,,,,,
S000030,2022Q4,BOX,2022-11-30,,,,,,,,,,,,,,,
S000031,2022Q4,BRSP,2022-11-02,,,,,,,,,,,,,,,
S000032,2022Q4,BTU,2022-11-03,,,,,,,,,,,,,,,
S000033,2022Q4,CALM,2022-12-28,,,,,,,,,,,,,,,
S000034,2022Q4,CCL,2022-12-21,,,,,,,,,,,,,,,
S000035,2022Q4,CFLT,2022-11-02,,,,,,,,,,,,,,,
S000036,2022Q4,CHEF,2022-10-26,,,,,,,,,,,,,,,
S000037,2022Q4,CLNE,2022-11-08,,,,,,,,,,,,,,,
S000038,2022Q4,CMCO,2022-10-27,,,,,,,,,,,,,,,
S000039,2022Q4,CNK,2022-11-04,,,,,,,,,,,,,,,
S000040,2022Q4,CNNE,2022-11-09,,,,,,,,,,,,,,,
S000041,2022Q4,COMP,2022-11-10,,,,,,,,,,,,,,,
S000042,2022Q4,CRNC,2022-11-29,,,,,,,,,,,,,,,
S000043,2022Q4,CRSP,2022-11-01,,,,,,,,,,,,,,,
S000044,2022Q4,CTOS,2022-11-08,,,,,,,,,,,,,,,
S000045,2022Q4,CVGW,2022-12-20,,,,,,,,,,,,,,,
S000046,2022Q4,CVNA,2022-11-03,,,,,,,,,,,,,,,
S000047,2022Q4,CVSA,2022-11-03,,,,,,,,,,,,,,,
S000048,2022Q4,CXM,2022-12-06,,,,,,,,,,,,,,,
S000049,2022Q4,CZR,2022-11-01,,,,,,,,,,,,,,,
S000050,2022Q4,DASH,2022-11-03,,,,,,,,,,,,,,,
S000051,2022Q4,DBD,2022-11-08,,,,,,,,,,,,,,,
S000052,2022Q4,DCGO,2022-11-07,,,,,,,,,,,,,,,
S000053,2022Q4,DDOG,2022-11-03,,,,,,,,,,,,,,,
S000054,2022Q4,DK,2022-11-07,,,,,,,,,,,,,,,
S000055,2022Q4,DNOW,2022-11-02,,,,,,,,,,,,,,,
S000056,2022Q4,DNUT,2022-11-15,,,,,,,,,,,,,,,
S000057,2022Q4,DOCN,2022-11-07,,,,,,,,,,,,,,,
S000058,2022Q4,DRH,2022-10-21,,,,,,,,,,,,,,,
S000059,2022Q4,DSGR,2022-11-03,,,,,,,,,,,,,,,
S000060,2022Q4,DUOL,2022-11-10,,,,,,,,,,,,,,,
S000061,2022Q4,ECVT,2022-11-01,,,,,,,,,,,,,,,
S000062,2022Q4,EQT,2022-10-11,,,,,,,,,,,,,,,
S000063,2022Q4,EVCM,2022-11-10,,,,,,,,,,,,,,,
S000064,2022Q4,EVH,2022-11-02,,,,,,,,,,,,,,,
S000065,2022Q4,EXAS,2022-11-03,,,,,,,,,,,,,,,
S000066,2022Q4,EXTR,2022-10-27,,,,,,,,,,,,,,,
S000067,2022Q4,FA,2022-11-08,,,,,,,,,,,,,,,
S000068,2022Q4,FET,2022-11-09,,,,,,,,,,,,,,,
S000069,2022Q4,FIVN,2022-10-11,,,,,,,,,,,,,,,
S000070,2022Q4,FLNC,2022-12-12,,,,,,,,,,,,,,,
S000071,2022Q4,FTAI,2022-10-28,,,,,,,,,,,,,,,
S000072,2022Q4,FUBO,2022-10-17,,,,,,,,,,,,,,,
S000073,2022Q4,GBTG,2022-11-10,,,,,,,,,,,,,,,
S000074,2022Q4,GH,2022-11-03,,,,,,,,,,,,,,,
S000075,2022Q4,GTLB,2022-12-05,,,,,,,,,,,,,,,
S000076,2022Q4,GTM,2022-11-01,,,,,,,,,,,,,,,
S000077,2022Q4,GTX,2022-10-26,,,,,,,,,,,,,,,
S000078,2022Q4,HAE,2022-11-07,,,,,,,,,,,,,,,
S000079,2022Q4,HGV,2022-11-09,,,,,,,,,,,,,,,
S000080,2022Q4,HIMS,2022-11-07,,,,,,,,,,,,,,,
S000081,2022Q4,HLIT,2022-10-31,,,,,,,,,,,,,,,
S000082,2022Q4,HLMN,2022-11-03,,,,,,,,,,,,,,,
S000083,2022Q4,HOOD,2022-10-31,,,,,,,,,,,,,,,
S000084,2022Q4,HP,2022-10-18,,,,,,,,,,,,,,,
S000085,2022Q4,HQY,2022-12-06,,,,,,,,,,,,,,,
S000086,2022Q4,HRTG,2022-11-09,,,,,,,,,,,,,,,
S000087,2022Q4,HST,2022-11-02,,,,,,,,,,,,,,,
