sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,profitability_score,operating_cash_flow_score,financing_dependence_score,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags
S000001,2022Q4,ABNB,2022-11-01,$2B-$10B,mixed,2,-1,2,-1,2022-11-02,102.644997,2.4502,-7.1752,-1.6026,-17.2877,8.2469,0001193125-22-274904,d408297dex991.htm,earnings_exhibit,53020,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ABNB_000119312522274904_d408297dex991.htm.txt,18,
S000002,2022Q4,ACAD,2022-11-02,$100M-$500M,weak,-3,-1,-1,0,2022-11-03,15.490000,2.7760,-3.1633,-1.6139,5.3583,22.2079,0000950170-22-021222,acad-ex99_1.htm,earnings_exhibit,13192,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ACAD_000095017022021222_acad-ex99_1.htm.txt,18,
S000003,2022Q4,ACCO,2022-10-13,$500M-$1B,weak,-3,-1,-1,0,2022-10-14,4.710000,-8.4926,-3.3970,11.2526,19.1083,30.7856,0000950170-22-019529,acco-ex99_1.htm,earnings_exhibit,13522,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ACCO_000095017022019529_acco-ex99_1.htm.txt,18,
S000004,2022Q4,ACVA,2022-11-09,$100M-$500M,weak,-1,-1,2,-1,2022-11-10,7.160000,7.2626,23.4637,23.3240,17.3184,44.9721,0000950170-22-023840,acva-ex99_1.htm,earnings_exhibit,24787,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ACVA_000095017022023840_acva-ex99_1.htm.txt,18,
S000005,2022Q4,AFRM,2022-11-08,$100M-$500M,weak,-1,-1,2,-1,2022-11-09,13.345000,-2.8850,-4.0090,-15.0244,-29.3368,28.9621,0001820953-22-000038,fq123shareholderletter-d.htm,earnings_exhibit,59341,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AFRM_000182095322000038_fq123shareholderletter-d.htm.txt,18,
S000006,2022Q4,ALKS,2022-11-02,$500M-$1B,mixed,1,-1,1,0,2022-11-03,24.830000,-8.2159,-2.2553,2.7386,4.1885,15.5457,0000950170-22-020969,alks-ex99_1.htm,earnings_exhibit,23201,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ALKS_000095017022020969_alks-ex99_1.htm.txt,18,
S000007,2022Q4,ALTG,2022-11-09,$500M-$1B,mixed,0,-1,1,0,2022-11-10,13.230000,-7.9365,-8.9947,-7.1806,14.6636,32.7286,0000950170-22-023878,altg-ex99_1.htm,earnings_exhibit,27294,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ALTG_000095017022023878_altg-ex99_1.htm.txt,18,
S000008,2022Q4,AMC,2022-11-08,$1B-$2B,weak,-4,-1,-1,-1,2022-11-09,53.700001,35.3817,38.3613,10.6145,-26.8156,15.0838,0001411579-22-000078,amc-20221108xex99d1.htm,earnings_exhibit,48388,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMC_000141157922000078_amc-20221108xex99d1.htm.txt,18,
S000009,2022Q4,ANGO,2022-10-06,$100M-$500M,weak,-2,-1,-1,1,2022-10-07,17.160000,-13.4033,-22.3193,-15.5012,-29.1375,-9.7902,0000914121-22-004104,an58259826-ex99_1.htm,earnings_exhibit,18001,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ANGO_000091412122004104_an58259826-ex99_1.htm.txt,18,
S000010,2022Q4,APP,2022-11-09,$1B-$2B,weak,-1,-1,2,-1,2022-11-10,15.650000,-15.0160,-7.9233,-31.6294,-34.9521,-18.9776,0001193125-22-281229,d420405dex992.htm,earnings_exhibit,31936,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/APP_000119312522281229_d420405dex992.htm.txt,18,
S000011,2022Q4,APPN,2022-11-03,$100M-$500M,mixed,1,-1,-1,0,2022-11-04,41.000000,-4.8780,-8.4146,-10.0732,-20.9756,11.3902,0001441683-22-000098,appnex991earningsrelease-0.htm,earnings_exhibit,22360,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/APPN_000144168322000098_appnex991earningsrelease-0.htm.txt,18,
S000012,2022Q4,ARLO,2022-11-08,$100M-$500M,weak,-2,-1,-1,1,2022-11-09,4.300000,-6.5116,-13.0233,-22.3256,-11.1628,2.0930,0001736946-22-000054,arloex99122q3earningsrelea.htm,earnings_exhibit,28917,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ARLO_000173694622000054_arloex99122q3earningsrelea.htm.txt,18,
S000013,2022Q4,ARRY,2022-11-08,$100M-$500M,weak,-4,-1,-1,-1,2022-11-09,20.500000,2.3415,2.1951,-0.0488,-5.1707,0.9756,0001820721-22-000143,exhibit9912022q3pressrelea.htm,earnings_exhibit,31944,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ARRY_000182072122000143_exhibit9912022q3pressrelea.htm.txt,18,
S000014,2022Q4,ASAN,2022-12-01,$100M-$500M,weak,-4,-1,-1,-1,2022-12-02,15.800000,-2.7848,-17.4051,-16.1392,-1.8987,-3.0380,0001477720-22-000061,asana8-kex991q3fy23.htm,earnings_exhibit,26007,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ASAN_000147772022000061_asana8-kex991q3fy23.htm.txt,18,
S000015,2022Q4,ATRO,2022-11-08,$100M-$500M,weak,-2,-1,-1,1,2022-11-09,8.100000,0.1234,-1.4815,29.0123,25.6790,80.2469,0000008063-22-000049,ex99120221108-pr.htm,earnings_exhibit,7859,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ATRO_000000806322000049_ex99120221108-pr.htm.txt,18,
S000016,2022Q4,AVAV,2022-12-06,$100M-$500M,weak,-2,-1,-1,1,2022-12-07,88.610001,-8.3512,-6.7035,-2.8214,3.5775,3.0132,0001558370-22-018403,avav-20221206xex99d1.htm,earnings_exhibit,29676,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AVAV_000155837022018403_avav-20221206xex99d1.htm.txt,18,
