sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,profitability_score,operating_cash_flow_score,financing_dependence_score,return_90d_pct,outcome_label,accession,exhibit_doc,text_path
S001,2023Q2,CVNA,2023-05-04,$2B-$10B,weak,-4.0,-1.0,-1.0,-1.0,416.351,winner_30p,0001690820-23-000162,ex99_1q12023.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CVNA_000169082023000162_ex99_1q12023.htm.txt
S002,2023Q2,GRPN,2023-05-10,$100M-$500M,weak,-2.0,-1.0,-1.0,1.0,112.2995,winner_30p,0001490281-23-000054,a2023q18-kxexhibit991.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GRPN_000149028123000054_a2023q18-kxexhibit991.htm.txt
S003,2022Q4,MTRX,2022-10-07,$100M-$500M,mixed,0.0,-1.0,-1.0,1.0,95.6962,winner_30p,0000866273-22-000101,a063022exhibit99.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/MTRX_000086627322000101_a063022exhibit99.htm.txt
S004,2023Q2,PLTR,2023-05-08,$1B-$2B,weak,-4.0,-1.0,-1.0,-1.0,95.1193,winner_30p,0001321655-23-000042,a2023q1ex991earningsrelease.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/PLTR_000132165523000042_a2023q1ex991earningsrelease.htm.txt
S005,2022Q4,EXAS,2022-11-03,$1B-$2B,weak,-3.0,-1.0,-1.0,0.0,92.8863,winner_30p,0001124140-22-000069,exas-20221103xex99.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/EXAS_000112414022000069_exas-20221103xex99.htm.txt
S006,2023Q2,COOK,2023-05-10,$100M-$500M,weak,-4.0,-1.0,-1.0,-1.0,84.3137,winner_30p,0001857853-23-000045,q1-23earningspressrelease.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/COOK_000185785323000045_q1-23earningspressrelease.htm.txt
S007,2023Q2,TDAY,2023-05-04,$500M-$1B,mixed,2.0,-1.0,1.0,1.0,84.0237,winner_30p,0001579684-23-000021,gciq12023ex991earningsrele.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TDAY_000157968423000021_gciq12023ex991earningsrele.htm.txt
S008,2022Q4,PTON,2022-11-03,$500M-$1B,weak,-3.0,-1.0,-1.0,0.0,82.7772,winner_30p,0001639825-22-000132,q12023shareholderletter.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/PTON_000163982522000132_q12023shareholderletter.htm.txt
S009,2022Q4,LTH,2022-11-09,$500M-$1B,weak,-4.0,-1.0,-1.0,-1.0,81.7922,winner_30p,0001869198-22-000067,lth-20220930xex991.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/LTH_000186919822000067_lth-20220930xex991.htm.txt
S010,2023Q2,VRT,2023-04-26,$2B-$10B,mixed,2.0,-1.0,1.0,0.0,81.0,winner_30p,0001628280-23-013042,q12023exhibit991vrt42623.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/VRT_000162828023013042_q12023exhibit991vrt42623.htm.txt
S011,2022Q4,ATRO,2022-11-08,$100M-$500M,weak,-2.0,-1.0,-1.0,1.0,80.2469,winner_30p,0000008063-22-000049,ex99120221108-pr.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ATRO_000000806322000049_ex99120221108-pr.htm.txt
S012,2022Q4,COMP,2022-11-10,$2B-$10B,mixed,0.0,-1.0,1.0,-1.0,77.13,winner_30p,0001563190-22-000185,exhibit9918-k3q22pr.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/COMP_000156319022000185_exhibit9918-k3q22pr.htm.txt
S013,2022Q4,FUBO,2022-10-17,$100M-$500M,weak,-4.0,-1.0,-1.0,-1.0,-51.1931,loser_nonpositive,0001493152-22-028568,ex99-1.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/FUBO_000149315222028568_ex99-1.htm.txt
S014,2023Q2,DRVN,2023-05-03,$500M-$1B,mixed,0.0,-1.0,1.0,-1.0,-48.9419,loser_nonpositive,0001193125-23-133100,d272537dex991.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/DRVN_000119312523133100_d272537dex991.htm.txt
S015,2023Q2,LESL,2023-05-03,$100M-$500M,weak,-2.0,-1.0,-1.0,1.0,-39.0038,loser_nonpositive,0000950170-23-017214,lesl-ex99_1.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/LESL_000095017023017214_lesl-ex99_1.htm.txt
S016,2023Q2,RRGB,2023-05-24,$100M-$500M,mixed,1.0,-1.0,1.0,0.0,-36.3581,loser_nonpositive,0001171759-23-000029,exhibit991q1-2023.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/RRGB_000117175923000029_exhibit991q1-2023.htm.txt
S017,2023Q2,PTCT,2023-04-27,$100M-$500M,weak,-3.0,-1.0,-1.0,0.0,-30.0469,loser_nonpositive,0001070081-23-000026,tmb-20230427xex99d1.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/PTCT_000107008123000026_tmb-20230427xex99d1.htm.txt
S018,2022Q4,SG,2022-11-08,$100M-$500M,weak,-4.0,-1.0,-1.0,-1.0,-29.8517,loser_nonpositive,0001628280-22-028916,q322sweetgreenearningsrele.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SG_000162828022028916_q322sweetgreenearningsrele.htm.txt
S019,2022Q4,LFCR,2022-10-06,$100M-$500M,weak,-4.0,-1.0,-1.0,-1.0,-29.1715,loser_nonpositive,0001005286-22-000060,q1fy23financialpressreleas.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/LFCR_000100528622000060_q1fy23financialpressreleas.htm.txt
S020,2022Q4,UIS,2022-11-07,$1B-$2B,weak,-2.0,-1.0,-1.0,1.0,-28.8973,loser_nonpositive,0000746838-22-000039,q32022earningsrelease.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/UIS_000074683822000039_q32022earningsrelease.htm.txt
S021,2023Q2,MAGN,2023-05-04,$100M-$500M,weak,-3.0,-1.0,-1.0,0.0,-28.7634,loser_nonpositive,0000041719-23-000015,q12023earningsreleaseex-991.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/MAGN_000004171923000015_q12023earningsreleaseex-991.htm.txt
S022,2023Q2,NDLS,2023-05-10,$100M-$500M,mixed,2.0,-1.0,1.0,1.0,-27.4123,loser_nonpositive,0001275158-23-000040,a2023q1ex991pressrelease.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/NDLS_000127515823000040_a2023q1ex991pressrelease.htm.txt
S023,2023Q2,HIMS,2023-05-08,$100M-$500M,weak,-2.0,-1.0,-1.0,1.0,-26.6821,loser_nonpositive,0001773751-23-000123,hims-20230331x8xkearningre.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HIMS_000177375123000123_hims-20230331x8xkearningre.htm.txt
S024,2022Q4,GH,2022-11-03,$100M-$500M,mixed,1.0,-1.0,-1.0,1.0,-25.6257,loser_nonpositive,0001576280-22-000091,gh-09302022xexhibit991.htm,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GH_000157628022000091_gh-09302022xexhibit991.htm.txt
