metric,bucket,value
post_llm_rows,,0
post_llm_candidate_count,,0
post_llm_high_priority_count,,0
post_llm_demote_count,,0
post_llm_sub_tier_count,Tier 1.1 - LLM-supported candidate,0
post_llm_sub_tier_count,Tier 1.2 - Causal re-rating candidate,0
post_llm_sub_tier_count,Tier 1.3 - Best balanced production subset,0
post_llm_sub_tier_count,Tier 1.4 - Clean high-priority subset,0
post_llm_sub_tier_count,Tier 2.1 - LLM-supported,0
post_llm_sub_tier_count,Tier 2.2 - Causal re-rating,0
post_llm_sub_tier_count,Tier 2.3 - Best balanced LLM subset,0
post_llm_sub_tier_count,Tier 3.1 - Cleaner LLM-positive Tier 3,0
post_llm_sub_tier_count,Tier 3.2 - LLM inflection / high priority,0
post_llm_sub_tier_count,Tier 3.3 - Persistent re-rating setup,0
post_llm_sub_tier_count,Tier 3.4 - Persistent high-priority re-rating,0
post_llm_sub_tier_count,Tier 4.1 - LLM-supported aggressive,0
post_llm_sub_tier_count,Tier 4.2 - Causal re-rating candidate,0
post_llm_sub_tier_count,Tier 4.3 - Clean high-priority,0
