sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,profitability_score,operating_cash_flow_score,financing_dependence_score,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags,score_change,entry_qoq_pct,hp1_quality_pullback,hp2_dislocation_momentum_priority,hp2_dislocation_momentum_watch,hp3_large_quality_theme_exception,hp4_score_reacceleration_watch,hp_production_extension,hp_research_extension
HPX000001,2021Q4,AAPL,2021-10-28,>$10B,strong,8,2,2,1,2021-10-29,147.220001,2.1872,7.2341,8.8439,21.7837,8.1511,0000320193-21-000104,a8-kex991q4202109252021.htm,earnings_exhibit,14050,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019321000104_a8-kex991q4202109252021.htm.txt,18,,,,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000002,2022Q1,AAPL,2022-01-27,>$10B,strong,8,2,2,1,2022-01-28,165.710007,3.5906,1.9130,-0.3561,7.9959,-1.2492,0000320193-22-000006,a8-kex991q1202212252021.htm,earnings_exhibit,13123,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019322000006_a8-kex991q1202212252021.htm.txt,17,,0.0,12.5594,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000003,2022Q1,BRK-B,2022-03-01,>$10B,strong,6,2,2,0,2022-03-02,319.480011,3.2866,9.5311,10.1415,-0.4038,-1.0955,0001193125-22-060362,d269783dex991.htm,earnings_exhibit,6826,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BRK-B_000119312522060362_d269783dex991.htm.txt,18,,3.0,10.6271,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000004,2022Q1,META,2022-02-02,>$10B,good,4,2,2,1,2022-02-03,244.649994,-11.0157,-18.8841,-23.3722,-4.3981,-8.6818,0001326801-22-000015,fb-12312021xexhibit991.htm,earnings_exhibit,21034,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/META_000132680122000015_fb-12312021xexhibit991.htm.txt,18,,-3.0,-25.4707,HP1 - Quality pullback re-rater,,,,,HP production extension,HP research extension
HPX000005,2022Q1,TSLA,2022-01-03,>$10B,good,3,1,2,-1,2022-01-04,396.516663,-11.7641,-21.8192,-25.0860,-32.3627,-3.7073,0001564590-22-000009,tsla-ex991_6.htm,earnings_exhibit,1344,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TSLA_000156459022000009_tsla-ex991_6.htm.txt,5,,3.0,51.5736,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000006,2022Q2,AMZN,2022-04-28,>$10B,strong,8,1,2,1,2022-04-29,129.848999,-16.2188,-17.3509,-7.4236,-17.2885,-5.8291,0001018724-22-000011,amzn-20220331xex991.htm,earnings_exhibit,54353,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMZN_000101872422000011_amzn-20220331xex991.htm.txt,18,,2.0,-16.553,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000007,2022Q2,GOOG,2022-04-26,>$10B,strong,8,2,2,1,2022-04-27,114.373001,-1.1270,2.0359,-1.3762,1.9668,-7.8104,0001652044-22-000025,googexhibit991q12022.htm,earnings_exhibit,19012,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOG_000165204422000025_googexhibit991q12022.htm.txt,18,,1.0,-24.687,HP1 - Quality pullback re-rater,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000008,2022Q2,GOOGL,2022-04-26,>$10B,strong,8,2,2,1,2022-04-27,114.469498,-1.7109,1.7502,-1.8809,1.1916,-8.2550,0001652044-22-000025,googexhibit991q12022.htm,earnings_exhibit,19012,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOGL_000165204422000025_googexhibit991q12022.htm.txt,18,,1.0,-24.3177,HP1 - Quality pullback re-rater,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000009,2022Q3,AAPL,2022-07-28,>$10B,strong,8,2,2,1,2022-07-29,161.240005,2.2513,8.0067,0.0868,-5.8794,-10.1960,0000320193-22-000069,a8-kex991q3202206252022.htm,earnings_exhibit,10505,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019322000069_a8-kex991q3202206252022.htm.txt,18,,1.0,-0.3707,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000010,2022Q3,META,2022-07-27,>$10B,strong,7,2,2,1,2022-07-28,161.059998,5.7059,8.5620,-1.1735,-15.3297,-19.3965,0001326801-22-000079,meta06302022-exhibit991.htm,earnings_exhibit,19024,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/META_000132680122000079_meta06302022-exhibit991.htm.txt,18,,0.0,-20.6288,HP1 - Quality pullback re-rater,,,,,HP production extension,HP research extension
